Period,Scenario,LoadLevel,P_Coal_Hardcoal,P_Oil,RES_Hydro_Large
2022,sc01,01-09 06:00:00+01:00,3.06327007710408e-05,0.0003063742852840981,0.0
2022,sc01,01-09 07:00:00+01:00,3.06327007710408e-05,0.00035243653954407985,0.0
2022,sc01,01-09 08:00:00+01:00,3.06327007710408e-05,0.0003720458056032176,0.0
2022,sc01,01-09 09:00:00+01:00,3.06327007710408e-05,0.0003318018319455459,0.0
2022,sc01,01-09 10:00:00+01:00,3.06327007710408e-05,0.0002878823463394041,0.0
2022,sc01,01-09 11:00:00+01:00,3.06327007710408e-05,0.0002779741949741355,0.0
2022,sc01,01-09 12:00:00+01:00,3.06327007710408e-05,0.00028024943842628897,0.0
2022,sc01,01-09 13:00:00+01:00,3.06327007710408e-05,0.00025945464738917786,0.0
2022,sc01,01-09 14:00:00+01:00,3.06327007710408e-05,0.00024224329794525254,0.0
2022,sc01,01-09 15:00:00+01:00,3.06327007710408e-05,0.00023524207637390593,0.0
2022,sc01,01-09 16:00:00+01:00,3.06327007710408e-05,0.00026085852161897185,0.0
2022,sc01,01-09 17:00:00+01:00,3.06327007710408e-05,0.00030614807877771727,0.0
2022,sc01,01-09 18:00:00+01:00,3.06327007710408e-05,0.00035575720530729737,0.0
2022,sc01,01-09 19:00:00+01:00,3.06327007710408e-05,0.00037138333224930617,0.0
2022,sc01,01-09 20:00:00+01:00,3.06327007710408e-05,0.0003470293494987111,0.0
2022,sc01,01-09 21:00:00+01:00,3.06327007710408e-05,0.0003071328597248845,0.0
2022,sc01,01-09 22:00:00+01:00,3.06327007710408e-05,0.00025415022155918953,0.0
2022,sc01,01-09 23:00:00+01:00,3.06327007710408e-05,0.00021890881358302525,0.0
2022,sc01,01-10 00:00:00+01:00,3.06327007710408e-05,0.0001971280798133785,0.0
2022,sc01,01-10 01:00:00+01:00,3.06327007710408e-05,0.00018567380686903333,0.0
2022,sc01,01-10 02:00:00+01:00,3.06327007710408e-05,0.00018039534501117658,0.0
2022,sc01,01-10 03:00:00+01:00,3.06327007710408e-05,0.00017679405469712379,0.0
2022,sc01,01-10 04:00:00+01:00,3.06327007710408e-05,0.00019724689850490965,0.0
2022,sc01,01-10 05:00:00+01:00,3.06327007710408e-05,0.00024617708714632313,0.0
2022,sc01,01-10 06:00:00+01:00,3.06327007710408e-05,0.00030423849610432653,0.0
2022,sc01,01-10 07:00:00+01:00,3.06327007710408e-05,0.0003494188599250511,0.0
2022,sc01,01-10 08:00:00+01:00,3.06327007710408e-05,0.0003642289931359663,0.0
2022,sc01,01-10 09:00:00+01:00,3.06327007710408e-05,0.0003177842682990976,0.0
2022,sc01,01-10 10:00:00+01:00,3.06327007710408e-05,0.0002686971725624319,0.0
2022,sc01,01-10 11:00:00+01:00,3.06327007710408e-05,0.00025431759141801525,0.0
2022,sc01,01-10 12:00:00+01:00,3.06327007710408e-05,0.00026095213776249174,0.0
