Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Diesel_Bel_Air,Gas_Turbines,Boutoute,Secondary_Plants,Kounoune_Power,Tobene_Power,ICS,Contour_Global,KPS_KarPowerShip,Aggreko_Boutoute,CES_Sendou,Solar_CICAD,Solar_DIASS,Manantali,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Malicounda,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,PV_Kahone,PV_Sakal,Malicounda_Power,Centrale_Kahone_Solaire,Centrale_Kael_Solaire,Felou_Gouina
2022,sc01,01-02 13:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.781734305,7.512091313,,59.86748041,15.76110091,39.19351996,9.798380016,9.635073654,9.108565065,6.532253329,,15.18094178,16.11655232,7.110341299
2022,sc01,01-02 14:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.805137378,7.611338121,,42.5973817,15.73036262,39.7113294,9.927832376,9.762368474,8.90250975,6.618554902,,14.83751625,16.55072517,7.110341299
2022,sc01,01-02 15:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.768838733,7.147721709,,29.54849682,14.6986925,37.29246115,9.323115313,9.167730031,8.136144058,6.215410194,,13.5602401,15.50758262,7.110341299
2022,sc01,01-02 16:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.602270938,6.193725699,,23.58216339,12.60859038,32.31509066,8.078772687,7.944126452,6.788229071,5.385848445,,11.31371512,13.82304838,7.110341299
2022,sc01,01-02 17:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.373135742,3.901570471,,19.67375401,9.094731485,20.35601989,5.089004985,5.004188221,4.657373214,3.392669982,,7.762288689,9.454536555,7.110341299
2022,sc01,01-02 18:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.143522932,1.483126467,,21.64277575,3.931116855,7.738051146,1.934512792,1.902270906,2.063011066,1.289675191,,3.438351777,3.708794644,7.110341299
2022,sc01,01-02 19:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.023522477,0.219402355,,26.11752583,0.431421553,1.144707942,0.286176986,0.281407369,0.272324519,0.190784657,,0.453874199,0.465185189,7.110341299
2022,sc01,01-02 20:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,30.6548368,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,7.110341299
2022,sc01,01-02 21:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,28.33020578,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,7.110341299
2022,sc01,01-02 22:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,38.66592358,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,7.110341299
2022,sc01,01-02 23:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,46.90749785,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,7.110341299
