Period,Scenario,LoadLevel,Manantali
2022,sc01,01-16 07:00:00+01:00,0.00453816402536583
2022,sc01,01-16 08:00:00+01:00,0.004547026906981967
2022,sc01,01-16 09:00:00+01:00,0.004555889788598105
2022,sc01,01-16 10:00:00+01:00,0.004564752670214242
2022,sc01,01-16 11:00:00+01:00,0.00457361555183038
2022,sc01,01-16 12:00:00+01:00,0.004582478433446517
2022,sc01,01-16 13:00:00+01:00,0.0045913413150626544
2022,sc01,01-16 14:00:00+01:00,0.004600204196678791
2022,sc01,01-16 15:00:00+01:00,0.004609067078294929
2022,sc01,01-16 16:00:00+01:00,0.004617929959911066
2022,sc01,01-16 17:00:00+01:00,0.004626792841527204
2022,sc01,01-16 18:00:00+01:00,0.004635655723143341
2022,sc01,01-16 19:00:00+01:00,0.004644518604759479
2022,sc01,01-16 20:00:00+01:00,0.004653381486375616
2022,sc01,01-16 21:00:00+01:00,0.004662244367991754
2022,sc01,01-16 22:00:00+01:00,0.004671107249607891
2022,sc01,01-16 23:00:00+01:00,0.0046799701312240285
2022,sc01,01-17 00:00:00+01:00,0.004688692946815305
2022,sc01,01-17 01:00:00+01:00,0.004697415762406582
2022,sc01,01-17 02:00:00+01:00,0.004706138577997858
2022,sc01,01-17 03:00:00+01:00,0.004714861393589135
2022,sc01,01-17 04:00:00+01:00,0.004723584209180412
2022,sc01,01-17 05:00:00+01:00,0.004732307024771689
2022,sc01,01-17 06:00:00+01:00,0.004741029840362966
2022,sc01,01-17 07:00:00+01:00,0.004749752655954243
2022,sc01,01-17 08:00:00+01:00,0.0047584754715455195
2022,sc01,01-17 09:00:00+01:00,0.004767198287136796
2022,sc01,01-17 10:00:00+01:00,0.004775921102728073
2022,sc01,01-17 11:00:00+01:00,0.00478464391831935
2022,sc01,01-17 12:00:00+01:00,0.004793366733910627
2022,sc01,01-17 13:00:00+01:00,0.004802089549501904
2022,sc01,01-17 14:00:00+01:00,0.004810812365093181
2022,sc01,01-17 15:00:00+01:00,0.004819535180684458
2022,sc01,01-17 16:00:00+01:00,0.0048282579962757345
2022,sc01,01-17 17:00:00+01:00,0.004836980811867011
2022,sc01,01-17 18:00:00+01:00,0.004845703627458288
2022,sc01,01-17 19:00:00+01:00,0.004854426443049565
2022,sc01,01-17 20:00:00+01:00,0.004863149258640842
2022,sc01,01-17 21:00:00+01:00,0.004871872074232119
2022,sc01,01-17 22:00:00+01:00,0.004880594889823396
2022,sc01,01-17 23:00:00+01:00,0.004889317705414673
2022,sc01,01-18 00:00:00+01:00,0.004898029462884961
2022,sc01,01-18 01:00:00+01:00,0.00490674122035525
2022,sc01,01-18 02:00:00+01:00,0.004915452977825538
2022,sc01,01-18 03:00:00+01:00,0.004924164735295827
2022,sc01,01-18 04:00:00+01:00,0.004932876492766115
2022,sc01,01-18 05:00:00+01:00,0.004941588250236404
2022,sc01,01-18 06:00:00+01:00,0.004950300007706692
2022,sc01,01-18 07:00:00+01:00,0.004959011765176981
2022,sc01,01-18 08:00:00+01:00,0.0049677235226472695
2022,sc01,01-18 09:00:00+01:00,0.004976435280117558
2022,sc01,01-18 10:00:00+01:00,0.0049851470375878466
2022,sc01,01-18 11:00:00+01:00,0.004993858795058135
2022,sc01,01-18 12:00:00+01:00,0.005002570552528424
2022,sc01,01-18 13:00:00+01:00,0.005011282309998712
2022,sc01,01-18 14:00:00+01:00,0.005019994067469001
2022,sc01,01-18 15:00:00+01:00,0.005028705824939289
2022,sc01,01-18 16:00:00+01:00,0.005037417582409578
2022,sc01,01-18 17:00:00+01:00,0.005046129339879866
2022,sc01,01-18 18:00:00+01:00,0.005054841097350155
2022,sc01,01-18 19:00:00+01:00,0.005063552854820443
2022,sc01,01-18 20:00:00+01:00,0.005072264612290732
2022,sc01,01-18 21:00:00+01:00,0.0050809763697610205
2022,sc01,01-18 22:00:00+01:00,0.005089688127231309
2022,sc01,01-18 23:00:00+01:00,0.0050983998847015976
2022,sc01,01-19 00:00:00+01:00,0.005107111642171886
2022,sc01,01-19 01:00:00+01:00,0.0051158233996421755
2022,sc01,01-19 02:00:00+01:00,0.005124535157112464
2022,sc01,01-19 03:00:00+01:00,0.005133246914582753
2022,sc01,01-19 04:00:00+01:00,0.005141958672053041
2022,sc01,01-19 05:00:00+01:00,0.00515067042952333
2022,sc01,01-19 06:00:00+01:00,0.005159382186993618
2022,sc01,01-19 07:00:00+01:00,0.005168093944463907
2022,sc01,01-19 08:00:00+01:00,0.005176805701934195
2022,sc01,01-19 09:00:00+01:00,0.005185517459404484
2022,sc01,01-19 10:00:00+01:00,0.005194229216874772
2022,sc01,01-19 11:00:00+01:00,0.005202940974345061
2022,sc01,01-19 12:00:00+01:00,0.005211652731815349
2022,sc01,01-19 13:00:00+01:00,0.005220364489285638
2022,sc01,01-19 14:00:00+01:00,0.0052290762467559265
2022,sc01,01-19 15:00:00+01:00,0.005237788004226215
2022,sc01,01-19 16:00:00+01:00,0.005246499761696504
2022,sc01,01-19 17:00:00+01:00,0.005255211519166792
2022,sc01,01-19 18:00:00+01:00,0.005263923276637081
2022,sc01,01-19 19:00:00+01:00,0.005272635034107369
2022,sc01,01-19 20:00:00+01:00,0.005281346791577658
2022,sc01,01-19 21:00:00+01:00,0.005290058549047946
2022,sc01,01-19 22:00:00+01:00,0.005298770306518235
