Period,Scenario,LoadLevel,Aggreko_Boutoute,Boutoute,CES_Sendou,Centrale_C_Cap_CTag,Contour_Global,Diesel_Bel_Air,Gas_Turbines,ICS,KPS_KarPowerShip,Kounoune_Power,Malicounda_Power,Manantali,Secondary_Plants,Tobene_Power
2022,sc01,01-02 08:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.020431215112375094,0.0,0.0,0.0,5.928108044928004e-05,0.014811235325180425,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-02 09:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.014499210966356434,0.0,0.0,0.0,5.928108044928004e-05,0.014279116375648071,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-02 10:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.008133273523032258,0.013715552688831983,0.0011514775970557572,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.011591975078940192
2022,sc01,01-02 11:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.0056461450775080295,0.014034804276555369,0.003528437871812155,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.008598220011410675
2022,sc01,01-02 12:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.009542918182616187,0.0,0.0,0.0,5.928108044928004e-05,0.014489300660478448,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.009477037554082312
2022,sc01,01-02 13:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.00538650592302425,0.014046667874390564,0.003528437871812155,5.928108044928004e-05,0.0,0.006416249112614336,0.0019932173672621016,0.0,0.0015667847745063526,0.009553617369687342
2022,sc01,01-02 14:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.004838307675473625,0.0,0.003528437871812155,5.928108044928004e-05,0.0134438605076627,0.006416249112614336,0.001296622903964948,0.0,0.0015667847745063526,0.010371899982281316
2022,sc01,01-02 15:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.00810633099432404,0.0,0.01298554707144893,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.001320178742899879,0.0,0.0015667847745063526,0.011493131940347819
2022,sc01,01-02 16:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.010248371220517576,0.0,0.013365891750878036,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-02 17:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.019996466255043196,0.0,0.0,0.0,5.928108044928004e-05,0.014051499490437056,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-02 18:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.021034402188650464,0.008133273523032258,0.0,0.0,5.928108044928004e-05,0.014443695982801383,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-02 19:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.02113288992616253,0.005837362156403001,0.014074457295373238,0.003528437871812155,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-02 20:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.02113288992616253,0.005209507765207719,0.013310374789871456,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-02 21:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.02113288992616253,0.00018192688537766363,0.012427422900679228,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-02 22:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.012783689965324089,0.0,0.01122471505681231,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-02 23:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.006737251620699529,0.009912398908794804,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-03 00:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.005873149880551469,0.0,0.0,5.928108044928004e-05,0.009166268529915072,0.006213833132493773,0.002485166909815412,0.0,0.0015667847745063526,0.009782220088713678
2022,sc01,01-03 01:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0056773782091029575,0.0,0.0,0.0,5.928108044928004e-05,0.008860726231907394,0.0058922112529056336,0.002485166909815412,0.0,0.0015300004703159321,0.008709037736359683
2022,sc01,01-03 02:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.005579492380297231,0.0,0.0,0.0,5.928108044928004e-05,0.0087079550937013,0.005731584942412712,0.002485166909815412,0.0,0.0015057147485131178,0.00857686753874687
2022,sc01,01-03 03:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.00548160655149149,0.0,0.0,5.928108044928004e-05,0.008555183955495267,0.005570958631919752,0.002485166909815412,0.0,0.001481429026710304,0.007266992566783646
2022,sc01,01-03 04:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.005873149880551469,0.0,0.0,0.0,5.928108044928004e-05,0.009166268529915072,0.006213833132493773,0.002485166909815412,0.0,0.0015667847745063526,0.007944797049099844
2022,sc01,01-03 05:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.006714026711042454,0.0,0.0,0.0,5.928108044928004e-05,0.010693979933571277,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012502604240790933
2022,sc01,01-03 06:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.013258830079060735,0.0,0.0,0.0,5.928108044928004e-05,0.01276686431604689,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-03 07:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.020636375825018885,0.0,0.014020241664980051,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-03 08:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.02113288992616253,0.0027093571599941827,0.014665967660887678,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-03 09:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.014816333999889528,0.0,0.014266103321628663,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-03 10:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.009342512195204851,0.0,0.0,0.0,5.928108044928004e-05,0.013712913432949806,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.01186671180715064
2022,sc01,01-03 11:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.009433559075964023,0.0,0.0,0.0,5.928108044928004e-05,0.014022970974211084,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.010956136937945839
2022,sc01,01-03 12:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.009662710551876388,0.0,0.0,0.0,5.928108044928004e-05,0.014483827031142938,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.010620531469610511
