Period,Scenario,LoadLevel,P_Coal_Hardcoal,P_Oil,RES_Hydro_Large,RES_Hydro_Small,RES_PV_Utility_Opt,RES_Wind_Onshore_Opt
2022,sc01,01-02 06:00:00+01:00,7.105427357601002e-15,-81.08792991920188,-30.949489462588307,-21.188787426703293,-42.48868766549291,55.78062414558723
2022,sc01,01-02 07:00:00+01:00,7.105427357601002e-15,-20.923636858600503,-30.949489462588307,-21.188787426703293,-42.48868766549291,61.14110470558723
2022,sc01,01-02 08:00:00+01:00,7.105427357601002e-15,6.658473065496594,-30.949489462588307,-21.188787426703293,-42.48868766549291,62.60963930558723
2022,sc01,01-02 09:00:00+01:00,7.105427357601002e-15,-47.70414224352942,-30.949489462588307,-21.188787426703293,-15.99851735049291,58.997571005587226
2022,sc01,01-02 10:00:00+01:00,7.105427357601002e-15,-108.05940329120318,-30.949489462588307,-21.188787426703293,19.172677844507092,51.875507445587225
2022,sc01,01-02 11:00:00+01:00,7.105427357601002e-15,-131.47820758444027,-30.949489462588307,-21.188787426703293,57.71046661850709,48.34246342558723
2022,sc01,01-02 12:00:00+01:00,7.105427357601002e-15,-117.1675118717094,-30.949489462588307,-21.188787426703293,78.25046894050709,33.133581455587226
2022,sc01,01-02 13:00:00+01:00,7.105427357601002e-15,-129.66442590367672,-30.949489462588307,-21.188787426703293,87.13152498650709,16.172994515587227
2022,sc01,01-02 14:00:00+01:00,7.105427357601002e-15,-138.32088070079726,-30.949489462588307,-21.188787426703293,87.96898677550712,-1.097104194412772
2022,sc01,01-02 15:00:00+01:00,7.105427357601002e-15,-134.73776121357412,-30.949489462588307,-21.188787426703293,79.32924874250708,-14.145989074412768
2022,sc01,01-02 16:00:00+01:00,7.105427357601002e-15,-91.13339639923618,-30.949489462588307,-21.188787426703293,62.56473016650708,-20.11232250441277
2022,sc01,01-02 17:00:00+01:00,7.105427357601002e-15,-3.387021249501913,-30.949489462588307,-21.188787426703293,26.596831568507092,-24.020731884412772
2022,sc01,01-02 18:00:00+01:00,7.105427357601002e-15,77.04024645020633,-30.949489462588307,-21.188787426703293,-14.856253889492905,-22.051710144412773
2022,sc01,01-02 19:00:00+01:00,7.105427357601002e-15,85.12868068200186,-30.949489462588307,-21.188787426703293,-38.71988041949291,-17.57696006441277
2022,sc01,01-02 20:00:00+01:00,7.105427357601002e-15,43.74883120159774,-30.949489462588307,-21.188787426703293,-42.48868766549291,-13.03964909441277
2022,sc01,01-02 21:00:00+01:00,7.105427357601002e-15,-5.958145977549179,-30.949489462588307,-21.188787426703293,-42.48868766549291,-15.364280114412772
2022,sc01,01-02 22:00:00+01:00,7.105427357601002e-15,-87.81870199060415,-30.949489462588307,-21.188787426703293,-42.48868766549291,-5.028562314412774
2022,sc01,01-02 23:00:00+01:00,7.105427357601002e-15,-149.70507601593778,-30.949489462588307,-21.188787426703293,-42.48868766549291,3.213011955587227
2022,sc01,01-03 00:00:00+01:00,7.105427357601002e-15,-191.93178920004868,-30.949489462588307,-21.49879153670329,-42.48868766549291,15.521044175587228
2022,sc01,01-03 01:00:00+01:00,7.105427357601002e-15,-208.187301941366,-30.949489462588307,-21.49879153670329,-42.48868766549291,18.132138225587227
2022,sc01,01-03 02:00:00+01:00,7.105427357601002e-15,-212.96193062677577,-30.949489462588307,-21.49879153670329,-42.48868766549291,16.087384875587233
2022,sc01,01-03 03:00:00+01:00,7.105427357601002e-15,-227.64093623218542,-30.949489462588307,-21.49879153670329,-42.48868766549291,23.947008445587223
2022,sc01,01-03 04:00:00+01:00,7.105427357601002e-15,-207.3843293800487,-30.949489462588307,-21.49879153670329,-42.48868766549291,30.973584355587228
2022,sc01,01-03 05:00:00+01:00,7.105427357601002e-15,-147.43175323875192,-30.949489462588307,-21.49879153670329,-42.48868766549291,39.54113380558723
2022,sc01,01-03 06:00:00+01:00,7.105427357601002e-15,-70.85350430968452,-30.949489462588307,-21.49879153670329,-42.48868766549291,46.192344365587225
2022,sc01,01-03 07:00:00+01:00,7.105427357601002e-15,1.7316777844336002,-30.949489462588307,-21.49879153670329,-42.48868766549291,40.22601093558723
2022,sc01,01-03 08:00:00+01:00,7.105427357601002e-15,34.12321750529253,-30.949489462588307,-21.49879153670329,-42.48868766549291,37.19674671558723
2022,sc01,01-03 09:00:00+01:00,7.105427357601002e-15,-45.1466083625121,-30.949489462588307,-21.49879153670329,-14.655708584492906,55.42501486558722
2022,sc01,01-03 10:00:00+01:00,7.105427357601002e-15,-105.28532658256285,-30.949489462588307,-21.49879153670329,14.929966010507087,53.864285265587235
2022,sc01,01-03 11:00:00+01:00,7.105427357601002e-15,-109.5699210313694,-30.949489462588307,-21.49879153670329,41.46536806750708,43.90393281558723
2022,sc01,01-03 12:00:00+01:00,7.105427357601002e-15,-106.58943584987867,-30.949489462588307,-21.49879153670329,70.4874320075071,30.927486855587226
2022,sc01,01-03 13:00:00+01:00,7.105427357601002e-15,-128.4981988015349,-30.949489462588307,-21.49879153670329,86.70689033150708,15.619824535587234
2022,sc01,01-03 14:00:00+01:00,7.105427357601002e-15,-142.17355206461497,-30.949489462588307,-21.49879153670329,90.48145895350709,0.3187475655872305
2022,sc01,01-03 15:00:00+01:00,7.105427357601002e-15,-137.49469454801937,-30.949489462588307,-21.49879153670329,81.90934534350708,-13.925379614412773
2022,sc01,01-03 16:00:00+01:00,7.105427357601002e-15,-81.52678318219046,-30.949489462588307,-21.49879153670329,57.47222821250711,-24.159024374412773
2022,sc01,01-03 17:00:00+01:00,7.105427357601002e-15,1.9186116687914705,-30.949489462588307,-21.49879153670329,29.524669923507084,-31.860599384412772
2022,sc01,01-03 18:00:00+01:00,7.105427357601002e-15,77.1315149597745,-30.949489462588307,-21.49879153670329,-2.8902996544929067,-34.40583985741277
2022,sc01,01-03 19:00:00+01:00,7.105427357601002e-15,99.03112609744068,-30.949489462588307,-21.49879153670329,-36.45021249249291,-32.46645222441277
2022,sc01,01-03 20:00:00+01:00,7.105427357601002e-15,60.17128128269343,-30.949489462588307,-21.49879153670329,-42.48868766549291,-27.876458404412773
2022,sc01,01-03 21:00:00+01:00,7.105427357601002e-15,2.124439303060626,-30.949489462588307,-21.49879153670329,-42.48868766549291,-22.50609977441277
2022,sc01,01-03 22:00:00+01:00,7.105427357601002e-15,-83.11710762365834,-30.949489462588307,-21.49879153670329,-42.48868766549291,-9.203678644412769
2022,sc01,01-03 23:00:00+01:00,7.105427357601002e-15,-141.44108205155635,-30.949489462588307,-21.49879153670329,-42.48868766549291,-4.458928934412768
2022,sc01,01-04 00:00:00+01:00,7.105427357601002e-15,-178.16036175564642,-30.949489462588307,-21.77640518670329,-42.48868766549291,2.0572818055872304
2022,sc01,01-04 01:00:00+01:00,7.105427357601002e-15,-202.34135163696368,-30.949489462588307,-21.77640518670329,-42.48868766549291,12.593852995587227
2022,sc01,01-04 02:00:00+01:00,7.105427357601002e-15,-216.20048029237347,-30.949489462588307,-21.77640518670329,-42.48868766549291,19.633599615587237
2022,sc01,01-04 03:00:00+01:00,7.105427357601002e-15,-230.31973055778315,-30.949489462588307,-21.77640518670329,-42.48868766549291,26.933467845587224
2022,sc01,01-04 04:00:00+01:00,7.105427357601002e-15,-213.0594611356463,-30.949489462588307,-21.77640518670329,-42.48868766549291,36.956381185587226
2022,sc01,01-04 05:00:00+01:00,7.105427357601002e-15,-155.37486575740178,-30.949489462588307,-21.77640518670329,-42.48868766549291,47.792586115587234
2022,sc01,01-04 06:00:00+01:00,7.105427357601002e-15,-77.29850770797339,-30.949489462588307,-21.77640518670329,-42.48868766549291,52.69209171558723
