Period,Scenario,LoadLevel,Centrale_Kael_Solaire,Centrale_Kahone_Solaire,Felou_Gouina,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Kahone,PV_Malicounda,PV_Sakal,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,Solar_CICAD,Solar_DIASS
2022,sc01,01-02 22:00:00+01:00,0.0,0.0,5.804156506343047e-06,6.312582265275591e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-02 23:00:00+01:00,0.0,0.0,5.804156506343047e-06,7.658098181043447e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 00:00:00+01:00,0.0,0.0,5.551100809522609e-06,9.667502295021488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 01:00:00+01:00,0.0,0.0,5.551100809522609e-06,0.00010093788400896955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 02:00:00+01:00,0.0,0.0,5.551100809522609e-06,9.759962837222864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 03:00:00+01:00,0.0,0.0,5.551100809522609e-06,0.00011043121643893324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 04:00:00+01:00,0.0,0.0,5.551100809522609e-06,0.00012190277443322406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 05:00:00+01:00,0.0,0.0,5.551100809522609e-06,0.00013589011928560884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 06:00:00+01:00,0.0,0.0,5.551100809522609e-06,0.00014674885740337287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 07:00:00+01:00,0.0,0.0,5.551100809522609e-06,0.00013700824677990908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 08:00:00+01:00,0.0,0.0,5.551100809522609e-06,0.0001320626828772542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 09:00:00+01:00,1.66793386191342e-06,1.6412113787026264e-06,5.551100809522609e-06,0.00016182207605773847,9.701069546130226e-07,9.84726827139946e-07,3.2621680634883867e-06,5.436946772480643e-07,8.155420181169157e-07,8.019496487062093e-07,4.741855796082263e-08,6.252488777944943e-07
2022,sc01,01-03 10:00:00+01:00,3.128167094134657e-06,3.4262784800207036e-06,5.551100809522609e-06,0.00015927403553997707,2.7069913623440177e-06,2.055767088175682e-06,6.4655636740914445e-06,1.0775939456819075e-06,1.6163909226043506e-06,1.5894510690645156e-06,1.299258736223954e-07,1.2392330350852998e-06
2022,sc01,01-03 11:00:00+01:00,4.300726325524904e-06,4.587670681763827e-06,5.551100809522609e-06,0.00014301280642393789,4.360738618970929e-06,2.7526024086501473e-06,9.732481027196603e-06,1.6220801714715331e-06,2.4331202627173103e-06,2.3925682514817863e-06,2.1837878466306913e-07,1.8653921931719963e-06
2022,sc01,01-03 12:00:00+01:00,5.85704267523671e-06,5.877034671436027e-06,5.551100809522609e-06,0.00012182751585046411,5.316110054912362e-06,3.5262208020453185e-06,1.361977428955556e-05,2.269962382136792e-06,3.404943581164092e-06,3.3481945119477457e-06,2.813436116120008e-07,2.610456734171782e-06
2022,sc01,01-03 13:00:00+01:00,6.487048736248448e-06,6.887947484292393e-06,5.551100809522609e-06,9.68362913465079e-05,6.061989873008544e-06,4.1327684905754355e-06,1.555036037510521e-05,2.5917267300004996e-06,3.887590104184101e-06,3.822796924679382e-06,3.2832356007095284e-07,2.9804857331538588e-06
