Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Contour_Global,Diesel_Bel_Air,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,Malicounda_Power,Manantali,Secondary_Plants,Tobene_Power
2022,sc01,01-06 01:00:00+01:00,129.97927568194513,68.4,191.27695005425832,29.6738022825,266.0,4.3026444791089,,200.0,0.30935224291912466,40.56504658666456
2022,sc01,01-06 02:00:00+01:00,177.725446815,21.477038694003234,192.56173973011332,29.6738022825,266.0,5.653495351958887,,200.0,0.5135926839430726,42.7170708652872
2022,sc01,01-06 03:00:00+01:00,177.725446815,22.300248521061473,193.8465294059678,29.6738022825,266.0,7.004346224809208,,200.0,0.7178331249670152,47.36494544390991
2022,sc01,01-06 04:00:00+01:00,177.725446815,19.007409096460663,265.79475307000007,29.6738022825,188.91261745093234,1.5978373062613473,,200.0,,42.04333696492424
2022,sc01,01-06 05:00:00+01:00,177.725446815,11.945932674054228,175.85947358076822,29.6738022825,266.0,,,200.0,,3.9649051258367067
2022,sc01,01-06 06:00:00+01:00,57.33675875925764,68.4,265.79475307000007,29.6738022825,158.99998593710984,,,200.0,,
2022,sc01,01-06 07:00:00+01:00,0.8001712083293699,68.4,265.79475307000007,29.6738022825,148.23537550823917,,,200.0,,
2022,sc01,01-06 08:00:00+01:00,46.906724812271875,,265.79475307000007,29.6738022825,142.6061713876762,,,200.0,,
2022,sc01,01-06 09:00:00+01:00,29.468164469219015,68.4,265.79475307000007,29.6738022825,147.0006495016042,,,200.0,,
2022,sc01,01-06 10:00:00+01:00,76.80698757209669,68.4,151.38590954291152,29.6738022825,266.0,,,200.0,,
2022,sc01,01-06 11:00:00+01:00,87.13674062007352,68.4,265.79475307000007,29.6738022825,148.52124052999525,,,200.0,,
2022,sc01,01-06 12:00:00+01:00,84.4927203966669,68.4,144.47501586410453,29.6738022825,266.0,,,200.0,,
2022,sc01,01-06 13:00:00+01:00,177.725446815,23.197729584737676,265.79475307000007,,147.86449328673544,,9.863636065281598,200.0,,2.9465445911651122
2022,sc01,01-06 14:00:00+01:00,107.36277145555836,68.4,265.79475307000007,29.6738022825,152.93850561891628,,16.11679093572704,200.0,,23.696765148547474
2022,sc01,01-06 15:00:00+01:00,177.725446815,0.23484080234713323,156.58762789809722,29.6738022825,266.0,,16.393303726783486,200.0,,47.035758041035834
