Period,Scenario,LoadLevel,MW
2022,sc01,01-08 04:00:00+01:00,324.85233009524586
2022,sc01,01-08 05:00:00+01:00,383.1024977401629
2022,sc01,01-08 06:00:00+01:00,473.94720954322526
2022,sc01,01-08 07:00:00+01:00,560.09867213167
2022,sc01,01-08 08:00:00+01:00,604.7392087524341
2022,sc01,01-08 09:00:00+01:00,549.38657841967
2022,sc01,01-08 10:00:00+01:00,477.42839692067696
2022,sc01,01-08 11:00:00+01:00,455.9302386332631
2022,sc01,01-08 12:00:00+01:00,455.0733719851284
2022,sc01,01-08 13:00:00+01:00,425.2508648532631
2022,sc01,01-08 14:00:00+01:00,399.2685204273198
2022,sc01,01-08 15:00:00+01:00,383.7673986126837
2022,sc01,01-08 16:00:00+01:00,415.958937015549
2022,sc01,01-08 17:00:00+01:00,478.3742912241284
2022,sc01,01-08 18:00:00+01:00,545.0798706325805
2022,sc01,01-08 19:00:00+01:00,556.7903646370085
2022,sc01,01-08 20:00:00+01:00,529.3162391014924
2022,sc01,01-08 21:00:00+01:00,482.34024702322523
2022,sc01,01-08 22:00:00+01:00,399.8395015963222
2022,sc01,01-08 23:00:00+01:00,341.91876229523876
2022,sc01,01-09 00:00:00+01:00,305.1013461182459
2022,sc01,01-09 01:00:00+01:00,287.1998329153406
2022,sc01,01-09 02:00:00+01:00,275.3432877700474
2022,sc01,01-09 03:00:00+01:00,263.96747359475427
2022,sc01,01-09 04:00:00+01:00,294.3935556082459
2022,sc01,01-09 05:00:00+01:00,374.20088941316294
2022,sc01,01-09 06:00:00+01:00,461.52243522622524
2022,sc01,01-09 07:00:00+01:00,523.0841748046699
2022,sc01,01-09 08:00:00+01:00,549.3515654254342
2022,sc01,01-09 09:00:00+01:00,497.02232144267
2022,sc01,01-09 10:00:00+01:00,438.65051420967694
2022,sc01,01-09 11:00:00+01:00,425.6844761992631
2022,sc01,01-09 12:00:00+01:00,429.0397731631284
2022,sc01,01-09 13:00:00+01:00,400.08235123326307
2022,sc01,01-09 14:00:00+01:00,376.0754493073198
2022,sc01,01-09 15:00:00+01:00,366.3144923616837
2022,sc01,01-09 16:00:00+01:00,402.02959202854896
2022,sc01,01-09 17:00:00+01:00,464.1417245361284
2022,sc01,01-09 18:00:00+01:00,529.6384998825805
2022,sc01,01-09 19:00:00+01:00,548.5678953630085
2022,sc01,01-09 20:00:00+01:00,515.7423199944925
2022,sc01,01-09 21:00:00+01:00,462.57279966622525
2022,sc01,01-09 22:00:00+01:00,390.1871625693222
2022,sc01,01-09 23:00:00+01:00,341.46616699823875
2022,sc01,01-10 00:00:00+01:00,311.33942583924585
2022,sc01,01-10 01:00:00+01:00,295.39376366634065
2022,sc01,01-10 02:00:00+01:00,288.0646514310474
2022,sc01,01-10 03:00:00+01:00,283.1523652057543
2022,sc01,01-10 04:00:00+01:00,311.51064511924585
2022,sc01,01-10 05:00:00+01:00,378.9177516741629
2022,sc01,01-10 06:00:00+01:00,458.55418586722527
2022,sc01,01-10 07:00:00+01:00,518.9931220856699
2022,sc01,01-10 08:00:00+01:00,538.7969848164341
2022,sc01,01-10 09:00:00+01:00,477.59710436767
2022,sc01,01-10 10:00:00+01:00,410.99048848167695
2022,sc01,01-10 11:00:00+01:00,391.61289128426307
2022,sc01,01-10 12:00:00+01:00,401.2600208981284
2022,sc01,01-10 13:00:00+01:00,382.6983524712631
2022,sc01,01-10 14:00:00+01:00,371.05832198531976
2022,sc01,01-10 15:00:00+01:00,372.02634322568366
2022,sc01,01-10 16:00:00+01:00,416.53555801154897
2022,sc01,01-10 17:00:00+01:00,491.1983326971284
2022,sc01,01-10 18:00:00+01:00,563.1552447885805
2022,sc01,01-10 19:00:00+01:00,584.3039247400084
2022,sc01,01-10 20:00:00+01:00,547.0771952054924
2022,sc01,01-10 21:00:00+01:00,490.69402066722523
2022,sc01,01-10 22:00:00+01:00,411.95351407032217
2022,sc01,01-10 23:00:00+01:00,359.54801125923876
2022,sc01,01-11 00:00:00+01:00,323.1667614222459
2022,sc01,01-11 01:00:00+01:00,305.5681746393406
2022,sc01,01-11 02:00:00+01:00,298.0875991940474
2022,sc01,01-11 03:00:00+01:00,290.7782430287543
2022,sc01,01-11 04:00:00+01:00,318.7512795622459
2022,sc01,01-11 05:00:00+01:00,388.7596021171629
2022,sc01,01-11 06:00:00+01:00,471.9982266002252
2022,sc01,01-11 07:00:00+01:00,530.6591164286699
2022,sc01,01-11 08:00:00+01:00,553.7622430094342
2022,sc01,01-11 09:00:00+01:00,499.26041647767
2022,sc01,01-11 10:00:00+01:00,445.647635392677
2022,sc01,01-11 11:00:00+01:00,434.0178280392631
2022,sc01,01-11 12:00:00+01:00,443.0997698781284
2022,sc01,01-11 13:00:00+01:00,419.5465240332631
2022,sc01,01-11 14:00:00+01:00,399.9742562933198
2022,sc01,01-11 15:00:00+01:00,393.9983776646837
2022,sc01,01-11 16:00:00+01:00,432.939750577549
2022,sc01,01-11 17:00:00+01:00,499.0122953701284
2022,sc01,01-11 18:00:00+01:00,562.9073519105805
2022,sc01,01-11 19:00:00+01:00,577.3005514120084
2022,sc01,01-11 20:00:00+01:00,543.3038200784924
2022,sc01,01-11 21:00:00+01:00,493.28539307022527
2022,sc01,01-11 22:00:00+01:00,424.0541419733222
2022,sc01,01-11 23:00:00+01:00,372.14583361223873
2022,sc01,01-12 00:00:00+01:00,336.6264352832459
2022,sc01,01-12 01:00:00+01:00,314.73748842034064
2022,sc01,01-12 02:00:00+01:00,306.7992306650474
2022,sc01,01-12 03:00:00+01:00,301.11645767975426
2022,sc01,01-12 04:00:00+01:00,328.8227872432459
2022,sc01,01-12 05:00:00+01:00,395.1103831081629
2022,sc01,01-12 06:00:00+01:00,471.9282845112253
2022,sc01,01-12 07:00:00+01:00,536.92099508967
2022,sc01,01-12 08:00:00+01:00,567.6137456004342
2022,sc01,01-12 09:00:00+01:00,512.75825699367
2022,sc01,01-12 10:00:00+01:00,459.373806922677
2022,sc01,01-12 11:00:00+01:00,449.8475904242631
2022,sc01,01-12 12:00:00+01:00,453.8095345531284
2022,sc01,01-12 13:00:00+01:00,427.2569928952631
2022,sc01,01-12 14:00:00+01:00,406.5260682613198
2022,sc01,01-12 15:00:00+01:00,396.8492540546837
2022,sc01,01-12 16:00:00+01:00,431.70328846554895
2022,sc01,01-12 17:00:00+01:00,495.4457570471284
2022,sc01,01-12 18:00:00+01:00,554.9086556085805
2022,sc01,01-12 19:00:00+01:00,563.5739092960084
2022,sc01,01-12 20:00:00+01:00,527.1754849694925
2022,sc01,01-12 21:00:00+01:00,475.3855969312252
2022,sc01,01-12 22:00:00+01:00,398.61081940432217
2022,sc01,01-12 23:00:00+01:00,348.87897153323877
2022,sc01,01-13 00:00:00+01:00,321.6770608132459
2022,sc01,01-13 01:00:00+01:00,311.3388301203406
2022,sc01,01-13 02:00:00+01:00,308.4581265250474
2022,sc01,01-13 03:00:00+01:00,307.98437091975427
2022,sc01,01-13 04:00:00+01:00,339.5266709432459
2022,sc01,01-13 05:00:00+01:00,412.58072110816295
2022,sc01,01-13 06:00:00+01:00,497.90361107122527
2022,sc01,01-13 07:00:00+01:00,560.81205615967
2022,sc01,01-13 08:00:00+01:00,592.0843180904342
2022,sc01,01-13 09:00:00+01:00,540.54023395267
2022,sc01,01-13 10:00:00+01:00,480.819812637677
2022,sc01,01-13 11:00:00+01:00,465.0518468122631
2022,sc01,01-13 12:00:00+01:00,462.65756634412844
2022,sc01,01-13 13:00:00+01:00,431.01552892626313
2022,sc01,01-13 14:00:00+01:00,408.4541663233198
2022,sc01,01-13 15:00:00+01:00,398.0339026536837
2022,sc01,01-13 16:00:00+01:00,434.29996470354894
2022,sc01,01-13 17:00:00+01:00,501.8071718821284
2022,sc01,01-13 18:00:00+01:00,566.2206360295805
2022,sc01,01-13 19:00:00+01:00,574.8131808830084
2022,sc01,01-13 20:00:00+01:00,531.7418159494924
2022,sc01,01-13 21:00:00+01:00,477.02473673122523
2022,sc01,01-13 22:00:00+01:00,410.3979943243222
2022,sc01,01-13 23:00:00+01:00,359.92200110323876
2022,sc01,01-14 00:00:00+01:00,329.5565513482459
2022,sc01,01-14 01:00:00+01:00,318.02966371534063
2022,sc01,01-14 02:00:00+01:00,312.1229885900474
2022,sc01,01-14 03:00:00+01:00,306.6443616647543
2022,sc01,01-14 04:00:00+01:00,334.0016673182459
2022,sc01,01-14 05:00:00+01:00,401.0399938731629
2022,sc01,01-14 06:00:00+01:00,480.36362361622525
2022,sc01,01-14 07:00:00+01:00,542.7847522846699
2022,sc01,01-14 08:00:00+01:00,569.8983612754341
2022,sc01,01-14 09:00:00+01:00,518.69881953367
2022,sc01,01-14 10:00:00+01:00,460.79139829167696
2022,sc01,01-14 11:00:00+01:00,447.4619360462631
2022,sc01,01-14 12:00:00+01:00,444.8440547271284
2022,sc01,01-14 13:00:00+01:00,415.5883879302631
2022,sc01,01-14 14:00:00+01:00,395.67672572231976
2022,sc01,01-14 15:00:00+01:00,392.5434780356837
2022,sc01,01-14 16:00:00+01:00,433.30981345154896
2022,sc01,01-14 17:00:00+01:00,501.0929749581284
2022,sc01,01-14 18:00:00+01:00,564.5726461745805
2022,sc01,01-14 19:00:00+01:00,575.1568442550084
2022,sc01,01-14 20:00:00+01:00,530.8627816844925
2022,sc01,01-14 21:00:00+01:00,473.48192556622524
2022,sc01,01-14 22:00:00+01:00,403.7073825093222
2022,sc01,01-14 23:00:00+01:00,352.95480430823875
2022,sc01,01-15 00:00:00+01:00,323.91166900124585
2022,sc01,01-15 01:00:00+01:00,305.9278388383406
2022,sc01,01-15 02:00:00+01:00,294.9043413330474
2022,sc01,01-15 03:00:00+01:00,284.6513305877543
2022,sc01,01-15 04:00:00+01:00,313.1248542512459
2022,sc01,01-15 05:00:00+01:00,381.48683756616293
2022,sc01,01-15 06:00:00+01:00,463.8957070592253
2022,sc01,01-15 07:00:00+01:00,525.74061698767
2022,sc01,01-15 08:00:00+01:00,557.5166587284342
2022,sc01,01-15 09:00:00+01:00,510.59074275267
2022,sc01,01-15 10:00:00+01:00,463.891672192677
2022,sc01,01-15 11:00:00+01:00,448.8539459922631
2022,sc01,01-15 12:00:00+01:00,448.3764869571284
2022,sc01,01-15 13:00:00+01:00,417.6107293512631
2022,sc01,01-15 14:00:00+01:00,392.9324455033198
2022,sc01,01-15 15:00:00+01:00,383.3424206646837
2022,sc01,01-15 16:00:00+01:00,413.09819143754896
2022,sc01,01-15 17:00:00+01:00,466.2336840461284
2022,sc01,01-15 18:00:00+01:00,519.6262642295804
2022,sc01,01-15 19:00:00+01:00,520.3589682180084
2022,sc01,01-15 20:00:00+01:00,475.30747869749246
2022,sc01,01-15 21:00:00+01:00,420.12613184922526
2022,sc01,01-15 22:00:00+01:00,348.41220117232217
2022,sc01,01-15 23:00:00+01:00,299.94803443123874
2022,sc01,01-16 00:00:00+01:00,276.61458384824584
2022,sc01,01-16 01:00:00+01:00,274.13597678534063
2022,sc01,01-16 02:00:00+01:00,273.3164899100474
