Region,Sector,Technology,Type,PathwayScenario,Year,Value
ZS,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2045,0.0014614971530738116
MTKK,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2045,0.00024381211821182722
MTKK,Power,RES_Hydro_Small,PeakCapacity,BAU_BAU,2045,0.0010468831794291928
MTKK,Power,RES_PV_Utility_Inf,PeakCapacity,BAU_BAU,2045,0.005234956705674624
Dakar,Power,P_Oil,PeakCapacity,BAU_BAU,2045,0.003621871517164117
Thies,Power,P_Oil,PeakCapacity,BAU_BAU,2045,0.0006581431448706955
ZS,Power,P_Oil,PeakCapacity,BAU_BAU,2045,7.913201160559308e-7
MTKK,Power,P_Oil,PeakCapacity,BAU_BAU,2045,2.473126492966146e-5
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2045,0.0002182034375746503
Thies,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2045,5.358313082368567e-5
MTKK,Power,RES_Hydro_Large,PeakCapacity,BAU_BAU,2045,0.002749905299951148
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2045,0.01577078106293262
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2045,0.0005507807186306613
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2045,0.0027553409504435617
LS,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2045,0.012963510131773897
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2045,0.0013638742228514252
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,BAU_BAU,2045,0.006273636653876182
Dakar,Power,P_Gas_OCGT,PeakCapacity,BAU_BAU,2045,0.004623396354365168
Dakar,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2050,0.008378859025964988
Thies,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2050,0.0010473573782456172
FKK,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2050,0.0010188991902149343
ZS,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2050,0.0023876325282884544
MTKK,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2050,0.0010515120174539629
MTKK,Power,RES_Hydro_Small,PeakCapacity,BAU_BAU,2050,0.0010468831794291928
MTKK,Power,RES_PV_Utility_Inf,PeakCapacity,BAU_BAU,2050,0.006472182575375829
Dakar,Power,P_Oil,PeakCapacity,BAU_BAU,2050,0.005799714212906733
Thies,Power,P_Oil,PeakCapacity,BAU_BAU,2050,0.0009045191480797707
ZS,Power,P_Oil,PeakCapacity,BAU_BAU,2050,7.913201160559308e-7
MTKK,Power,P_Oil,PeakCapacity,BAU_BAU,2050,2.473126492966146e-5
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2050,0.00021820343757465027
Thies,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2050,5.358313082368567e-5
MTKK,Power,RES_Hydro_Large,PeakCapacity,BAU_BAU,2050,0.002749905299951148
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2050,0.01779780400697624
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2050,0.0006215727199491796
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2050,0.0043639571138983915
