  Push phase complete: Pinf 6.2465337e+02, Dinf 1.1324907e+08    426s

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  285361    9.6554126e+04   0.000000e+00   1.132491e+08    426s
  285941    9.6539492e+04   0.000000e+00   1.887385e+10    431s
  286331    9.6526615e+04   0.000000e+00   4.244887e+08    436s
  286721    9.6526451e+04   0.000000e+00   1.948742e+09    443s
  286981    9.6525301e+04   0.000000e+00   4.813579e+08    445s
  287581    9.6524249e+04   0.000000e+00   1.273315e+08    451s
  288234    9.6507671e+04   0.000000e+00   8.827992e+09    456s
  289000    9.6499293e+04   0.000000e+00   1.220368e+10    461s
  289550    9.6499056e+04   0.000000e+00   3.233741e+08    465s
  290000    9.6498506e+04   0.000000e+00   4.479094e+06    471s
  290400    9.6497893e+04   0.000000e+00   1.918318e+07    476s
  290990    9.6497148e+04   0.000000e+00   3.011185e+09    481s
  291360    9.6497013e+04   0.000000e+00   3.660680e+10    485s
  291800    9.6496882e+04   0.000000e+00   9.290500e+07    491s
  292390    9.6495435e+04   0.000000e+00   1.043302e+07    495s
  292830    9.6495331e+04   0.000000e+00   5.550208e+07    501s
  293220    9.6495136e+04   0.000000e+00   4.333946e+07    505s
  293680    9.6494093e+04   0.000000e+00   1.021322e+10    511s
  294250    9.6491203e+04   0.000000e+00   7.950630e+08    516s
  294730    9.6486248e+04   0.000000e+00   4.081554e+07    521s
  295190    9.6485902e+04   0.000000e+00   9.580011e+08    526s
  295590    9.6485587e+04   0.000000e+00   1.966599e+08    531s
  296210    9.6484909e+04   0.000000e+00   4.480931e+08    536s
  296620    9.6484744e+04   0.000000e+00   8.462281e+06    540s
  297180    9.6484402e+04   0.000000e+00   6.384055e+07    545s
  297740    9.6484262e+04   0.000000e+00   2.327920e+06    550s
  298330    9.6484042e+04   0.000000e+00   4.457183e+06    555s
  299050    9.6483867e+04   0.000000e+00   1.066909e+09    560s
  299973    9.6483472e+04   0.000000e+00   3.736681e+07    566s
  300573    9.6483019e+04   0.000000e+00   1.089678e+08    571s
  301123    9.6482808e+04   0.000000e+00   2.042537e+07    576s
