Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,LS,Biomass,2025,0.3049079957224284
Final Energy Demand [TWh],Industry,LS,Biomass,2030,0.31196159057305145
Final Energy Demand [TWh],Industry,LS,Biomass,2035,0.6198832870371279
Final Energy Demand [TWh],Industry,LS,Biomass,2040,1.0213668991217266
Final Energy Demand [TWh],Industry,LS,Biomass,2045,0.9038266885803143
Final Energy Demand [TWh],Industry,LS,Biomass,2050,1.0331945459550727
Final Energy Demand [TWh],Industry,LS,Power,2025,0.05211700225667521
Final Energy Demand [TWh],Industry,LS,Power,2030,0.4486424351530952
Final Energy Demand [TWh],Industry,LS,Power,2035,0.5319044748984547
Final Energy Demand [TWh],Industry,LS,Power,2040,0.6909265651702976
Final Energy Demand [TWh],Industry,LS,Power,2045,1.475181959258693
Final Energy Demand [TWh],Industry,LS,Power,2050,2.3928165992694
Final Energy Demand [TWh],Industry,LS,Gas_Bio,2025,0.04333333333333328
Final Energy Demand [TWh],Industry,LS,Gas_Bio,2030,0.05999999999999997
Final Energy Demand [TWh],Industry,FKK,Oil,2022,0.28294529682222225
Final Energy Demand [TWh],Industry,FKK,Oil,2025,0.2820230665499999
Final Energy Demand [TWh],Industry,FKK,Oil,2030,0.011268025965122424
Final Energy Demand [TWh],Industry,FKK,Oil,2035,0.006597599426286641
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2030,0.09646701912978052
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2035,0.31531237832220893
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2040,0.5050131569694519
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2045,0.7419089809172276
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2050,1.089744438845858
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2022,0.19210419205555526
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2025,0.3833840997610202
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2030,0.7109332419154214
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2035,0.9481320774451439
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2040,1.3058171626968567
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2045,1.866954320995647
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2050,2.6871971037502784
Final Energy Demand [TWh],Industry,FKK,Biomass,2022,0.3869720964583335
Final Energy Demand [TWh],Industry,FKK,Biomass,2025,0.4576279067511836
Final Energy Demand [TWh],Industry,FKK,Biomass,2030,0.46797921262690445
Final Energy Demand [TWh],Industry,FKK,Biomass,2035,0.704803198260149
Final Energy Demand [TWh],Industry,FKK,Biomass,2040,0.912913301208293
Final Energy Demand [TWh],Industry,FKK,Biomass,2045,0.8133333333333314
Final Energy Demand [TWh],Industry,FKK,Biomass,2050,0.6234493981046143
Final Energy Demand [TWh],Industry,FKK,Power,2025,0.021214531865023444
Final Energy Demand [TWh],Industry,FKK,Power,2030,0.1930913973400824
Final Energy Demand [TWh],Industry,FKK,Power,2035,0.26736769191605575
Final Energy Demand [TWh],Industry,FKK,Power,2040,0.4835301909627857
Final Energy Demand [TWh],Industry,FKK,Power,2045,1.1177872660901405
Final Energy Demand [TWh],Industry,FKK,Power,2050,2.086619221301571
Final Energy Demand [TWh],Industry,FKK,Gas_Bio,2025,0.028007555620461935
