Region,Sector,Technology,Fuel,Type,Unit,PathwayScenario,Year,Value
MTKK,Transportation,PSNG_Road_ICE,Mobility_Passenger,Production,billion km,BAU_BAU,2040,6.312439999999997
MTKK,Transportation,PSNG_Road_ICE,Mobility_Passenger,Production,billion km,BAU_BAU,2045,7.279199999999995
MTKK,Transportation,PSNG_Road_ICE,Mobility_Passenger,Production,billion km,BAU_BAU,2050,8.039035050088964
MTKK,Transportation,PSNG_Road_PHEV,Mobility_Passenger,Production,billion km,BAU_BAU,2050,0.04752494991103651
Dakar,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2022,-33.914812603564975
Dakar,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2030,-26.04940924000004
Dakar,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2035,-20.75073397600008
Dakar,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2040,-15.49645542599997
Dakar,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2045,-20.573147151999983
Dakar,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2050,-46.234427031921186
Dakar,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2025,-20.928320800000016
Dakar,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2025,-8.184471309999951
Dakar,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2030,-19.354838711999992
Dakar,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2035,-22.580645164000014
Dakar,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2040,-25.806451616000025
Dakar,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2045,-32.000000000000014
Dakar,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2050,-38.09523808799994
Dakar,Power,P_Gas_OCGT,Gas_Natural,Use,PJ,BAU_BAU,2025,-6.945739109470437
Dakar,Power,P_Gas_OCGT,Gas_Natural,Use,PJ,BAU_BAU,2030,-13.321363637999974
Dakar,Power,P_Gas_OCGT,Gas_Natural,Use,PJ,BAU_BAU,2035,-22.22222222000003
Dakar,Power,P_Gas_OCGT,Gas_Natural,Use,PJ,BAU_BAU,2040,-22.222222219999956
Dakar,Power,P_Gas_OCGT,Gas_Natural,Use,PJ,BAU_BAU,2045,-24.44444444200001
Dakar,Power,P_Gas_OCGT,Gas_Natural,Use,PJ,BAU_BAU,2050,-26.666666663999983
Dakar,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2022,-2.725197819569222
Dakar,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2030,-1.2150391880039046
Dakar,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2035,-1.2107042874920257
Dakar,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2040,-1.1821089176539497
Dakar,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2045,-1.1779441464649663
Dakar,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2050,-1.1737793758641948
Dakar,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2025,-0.3282426873431745
Dakar,Power,P_Gas_CCGT,Gas_Bio,Use,PJ,BAU_BAU,2025,-0.012250000000000011
Dakar,Power,P_Gas_OCGT,Gas_Bio,Use,PJ,BAU_BAU,2025,-0.19711803352960564
Dakar,Power,P_Gas_OCGT,Gas_Bio,Use,PJ,BAU_BAU,2030,-0.3150000000000006
Thies,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2025,-0.6896054488191996
Thies,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2035,-2.5938417469999915
Thies,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2045,-2.5716433939999983
Thies,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2050,-5.779303378990149
Thies,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2022,-5.716605952230702
Thies,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2030,-2.6049409240000023
Thies,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2040,-2.582742571000006
Thies,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2025,-4.7503950317078685
Thies,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2040,-2.4274190415650496
Thies,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2045,-4.799999999999957
Thies,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2050,-4.761904760999963
Thies,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2035,-0.0255913638797728
Thies,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2030,-0.3056298818058712
Thies,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2030,-0.29837111866967997
Thies,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2035,-0.29730661875245806
Thies,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2040,-0.8512536586850052
Thies,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2045,-0.2892618741692995
Thies,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2050,-0.2882391522065647
Thies,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2022,-0.12471990021160784
Thies,Power,P_Coal_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2025,-0.08060492104671955
Thies,Power,P_Gas_CCGT,Gas_Bio,Use,PJ,BAU_BAU,2025,-0.16763775429210376
Thies,Power,P_Gas_CCGT,Gas_Bio,Use,PJ,BAU_BAU,2030,-0.019466892426688778
FKK,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2045,-0.7681988799713712
FKK,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2050,-4.632517043027588
ZS,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2025,-0.7848120299999995
ZS,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2035,-0.007010205437623265
ZS,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2050,-0.0016441413700096841
ZS,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2022,-0.4298207087148369
ZS,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2030,-0.7814822771999992
ZS,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2045,-0.0007316012009922895
ZS,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2040,-0.02046931885562589
ZS,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2045,-6.697987220470131
ZS,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2050,-10.855586584036912
MTKK,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2022,-0.37203128127025875
MTKK,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2025,-0.9156140350000004
MTKK,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2030,-1.3024704620000043
MTKK,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2050,-0.019654397071815433
MTKK,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2035,-0.001310735351694087
MTKK,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2040,-0.0038272572876642476
MTKK,Power,P_Oil,Oil,Use,PJ,BAU_BAU,2045,-0.0087457081032522
MTKK,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2045,-1.1173818905797774
MTKK,Power,P_Gas_CCGT,Gas_Natural,Use,PJ,BAU_BAU,2050,-4.780794202786878
Dakar,Industry,HLI_Oil_Boiler,Oil,Use,PJ,BAU_BAU,2022,-0.23529411759999994
Dakar,Industry,HLI_Oil_Boiler,Oil,Use,PJ,BAU_BAU,2025,-0.23495798319999997
Dakar,Industry,HLI_Oil_Boiler,Oil,Use,PJ,BAU_BAU,2030,-0.021555820215601693
Dakar,Industry,HLI_Oil_Boiler,Oil,Use,PJ,BAU_BAU,2035,-0.014310113284655871
Dakar,Industry,HMI_Oil,Oil,Use,PJ,BAU_BAU,2022,-1.0063620588000004
Dakar,Industry,HMI_Oil,Oil,Use,PJ,BAU_BAU,2025,-1.0024919441999987
Dakar,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2025,-0.0018958994111835643
Dakar,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2030,-2.0137800416297518
Dakar,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2035,-4.349074305318995
Dakar,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2040,-7.45332878839139
Dakar,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2045,-10.963814487622908
Dakar,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2050,-16.121309317703105
Dakar,Industry,HMI_Gas,Gas_Natural,Use,PJ,BAU_BAU,2050,-0.024838205388095252
Dakar,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2025,-1.8337879043820022
Dakar,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2030,-1.8209911653085218
Dakar,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2035,-1.928230075542853
Dakar,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2040,-2.041807370946394
Dakar,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2045,-2.161629768749852
Dakar,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2050,-2.2883438404809047
Dakar,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2022,-2.3333333327499988
Dakar,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2025,-2.560555555250004
Dakar,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2030,-1.717435980645667
Dakar,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2035,-0.8771810057718252
Dakar,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2040,-0.03979062867340701
Dakar,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2045,-0.039722447326581235
Dakar,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2050,-0.03965426600982356
Dakar,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2022,-5.311355309999998
Dakar,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2025,-6.893905217670006
Dakar,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2030,-11.357613557530152
Dakar,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2035,-16.66192825990971
Dakar,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2040,-24.443947093875966
Dakar,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2045,-35.86058977703458
Dakar,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2050,-52.576984021343726
Dakar,Industry,HLI_Biomass,Biomass,Use,PJ,BAU_BAU,2025,-0.12516000003359956
Dakar,Industry,HLI_Biomass,Biomass,Use,PJ,BAU_BAU,2030,-0.12817190246865945
Dakar,Industry,HLI_Biomass,Biomass,Use,PJ,BAU_BAU,2035,-0.13126322604167406
Dakar,Industry,HLI_Biomass,Biomass,Use,PJ,BAU_BAU,2040,-0.13442362018352283
Dakar,Industry,HLI_Biomass,Biomass,Use,PJ,BAU_BAU,2045,-0.13376980879617878
Dakar,Industry,HLI_Biomass,Biomass,Use,PJ,BAU_BAU,2050,-0.1331159974088346
Dakar,Industry,HLI_Biomass,Biomass,Use,PJ,BAU_BAU,2022,-0.12500000000000203
Dakar,Industry,HMI_Biomass,Biomass,Use,PJ,BAU_BAU,2025,-0.339078733056001
Dakar,Industry,HMI_Biomass,Biomass,Use,PJ,BAU_BAU,2030,-0.3467251792144001
Dakar,Industry,HMI_Biomass,Biomass,Use,PJ,BAU_BAU,2035,-0.3545045006445599
Dakar,Industry,HMI_Biomass,Biomass,Use,PJ,BAU_BAU,2040,-0.36245155168748966
Dakar,Industry,HMI_Biomass,Biomass,Use,PJ,BAU_BAU,2045,-0.3176253190035221
Dakar,Industry,HMI_Biomass,Biomass,Use,PJ,BAU_BAU,2050,-0.23194053488071184
Dakar,Industry,HMI_Biomass,Biomass,Use,PJ,BAU_BAU,2022,-0.2714932126000001
Dakar,Industry,HHI_Scrap_EAF,Power,Use,PJ,BAU_BAU,2030,-0.08137205028315614
Dakar,Industry,HHI_Scrap_EAF,Power,Use,PJ,BAU_BAU,2035,-0.08486849636345402
Dakar,Industry,HHI_Scrap_EAF,Power,Use,PJ,BAU_BAU,2040,-0.08854767563029572
Dakar,Industry,HHI_Scrap_EAF,Power,Use,PJ,BAU_BAU,2045,-0.0924057631430569
Dakar,Industry,HHI_Scrap_EAF,Power,Use,PJ,BAU_BAU,2050,-0.09647240412975835
Dakar,Industry,HLI_Direct_Electric,Power,Use,PJ,BAU_BAU,2025,-0.35838832767434714
Dakar,Industry,HLI_Direct_Electric,Power,Use,PJ,BAU_BAU,2030,-0.5715800187409913
Dakar,Industry,HLI_Direct_Electric,Power,Use,PJ,BAU_BAU,2035,-0.8862540013140592
Dakar,Industry,HLI_Direct_Electric,Power,Use,PJ,BAU_BAU,2040,-1.3500560633148577
Dakar,Industry,HLI_Direct_Electric,Power,Use,PJ,BAU_BAU,2045,-2.0360428164951596
Dakar,Industry,HLI_Direct_Electric,Power,Use,PJ,BAU_BAU,2050,-3.044311446341832
Dakar,Industry,HMI_Steam_Electric,Power,Use,PJ,BAU_BAU,2030,-0.11437931798030779
Dakar,Industry,HMI_Steam_Electric,Power,Use,PJ,BAU_BAU,2035,-0.2856257091900504
Dakar,Industry,HMI_Steam_Electric,Power,Use,PJ,BAU_BAU,2040,-0.5405088396997086
Dakar,Industry,HMI_Steam_Electric,Power,Use,PJ,BAU_BAU,2045,-0.9597965597656727
Dakar,Industry,HMI_Steam_Electric,Power,Use,PJ,BAU_BAU,2050,-1.592567101730796
Dakar,Industry,HLI_Gas_Boiler,Gas_Bio,Use,PJ,BAU_BAU,2025,-0.0006319664703945131
Diourbel,Industry,HLI_Oil_Boiler,Oil,Use,PJ,BAU_BAU,2022,-0.17647058819999975
Diourbel,Industry,HLI_Oil_Boiler,Oil,Use,PJ,BAU_BAU,2025,-0.17621848739999998
Diourbel,Industry,HLI_Oil_Boiler,Oil,Use,PJ,BAU_BAU,2030,-0.0516666440568718
Diourbel,Industry,HLI_Oil_Boiler,Oil,Use,PJ,BAU_BAU,2035,-0.021534104113052347
Diourbel,Industry,HMI_Oil,Oil,Use,PJ,BAU_BAU,2022,-0.7547715441000001
Diourbel,Industry,HMI_Oil,Oil,Use,PJ,BAU_BAU,2025,-0.7518689581499999
Diourbel,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2030,-0.7427610723523592
Diourbel,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2035,-2.0041119888108936
Diourbel,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2040,-3.325848525006001
Diourbel,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2045,-4.885321086413993
Diourbel,Industry,HLI_Gas_Boiler,Gas_Natural,Use,PJ,BAU_BAU,2050,-7.176950116237495
Diourbel,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2025,-0.34395854416919996
Diourbel,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2030,-0.3386872084120061
Diourbel,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2035,-0.35853033500569187
Diourbel,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2040,-0.3796886649193097
Diourbel,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2045,-0.40206655558047594
Diourbel,Industry,HHI_BF_BOF,Hardcoal,Use,PJ,BAU_BAU,2050,-0.4255708175372745
Diourbel,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2022,-0.7999999998000002
Diourbel,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2025,-0.861942857039996
Diourbel,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2030,-0.5736489793919957
Diourbel,Industry,HLI_Hardcoal,Hardcoal,Use,PJ,BAU_BAU,2035,-0.286334693927998
Diourbel,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2022,-0.9914529912000004
Diourbel,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2025,-1.410983673930001
Diourbel,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2030,-3.0028992226496234
Diourbel,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2035,-4.405310909430245
Diourbel,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2040,-6.4619711401317455
Diourbel,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2045,-9.480053819645427
Diourbel,Industry,HMI_HardCoal,Hardcoal,Use,PJ,BAU_BAU,2050,-13.907928898085903
Diourbel,Industry,HLI_Biomass,Biomass,Use,PJ,BAU_BAU,2022,-0.31250000000000033
Diourbel,Industry,HLI_Biomass,Biomass,Use,PJ,BAU_BAU,2025,-0.31290000008400026
Diourbel,Industry,HLI_Biomass,Biomass,Use,PJ,BAU_BAU,2030,-0.3203960000740798
