Timestep,a_0,b
93,-132.24058086279868007,228859634.60748001933
93,-187.11210844104977014,239518696.31241500378
93,-59.536501600806452927,213332120.08184790611
93,-31.761334838408174619,207147620.54338216782
94,0,178783172.29912492633
94,-261.91814408177418727,229415295.92924630642
94,-132.24058086279868007,206501527.65147596598
94,-190.00784033604946899,217192606.5029078722
94,-64.54111421186762243,192733984.37376177311
94,-34.463557180981425176,186382802.793435812
95,0,158588381.88982024789
95,-261.91814408177418727,205945298.25237220526
95,-132.24058086279870849,184424243.43492001295
95,-170.09450715880390703,191110591.5204282105
95,-64.757975104310617098,171605577.6164098084
95,-32.518148482021373979,165245816.27666631341
96,0,138759055.92572316527
96,-261.91814408177418727,182148897.86048877239
96,-132.24058086279876534,162323446.07020696998
96,-169.06310029636219383,168326286.31102073193
96,-61.016984253250086567,149932170.58983212709
96,-30.743636349441629818,144475729.30460089445
97,0,119135469.62531542778
97,-261.91814408177418727,157741099.34790983796
97,-134.5457531344800941,140383645.15493923426
97,-180.56888268365617023,146982555.74942445755
97,-61.161593865446192808,129044671.33292366564
97,-30.906475766160184548,124208512.16289898753
98,0,99351708.68453592062
98,-261.91814408177418727,132430437.42621915042
98,-136.43554046209436592,117771839.22157140076
98,-195.27999675751007658,124902602.63440543413
98,-61.329831513731640769,107849053.35628132522
98,-35.597755171948080033,104319744.89922071993
99,0,78991448.166424632072
99,-261.91814408177418727,105918434.3351302743
99,-136.4355404620943375,94012826.6592143327
99,-204.61896598047377438,100693140.67134734988
99,-70.091236015693297645,86893141.033762216568
99,-36.149892336049511243,83099516.937635540962
100,0,59568714.606225825846
100,-261.91814408177418727,80180959.674271598458
100,-139.60630671584382867,71289469.83900988102
100,-185.04634111786805306,74719061.293021023273
100,-80.104269732220913625,66441075.875510305166
100,-41.818973791235031001,63189468.421365633607
101,0,39574506.032947234809
101,-261.91814408177418727,53496433.910347871482
101,-141.99952155151015631,47633729.525326766074
101,-140.01020665685348376,47547221.42551830411
101,-83.429350381090500832,44415232.240702725947
101,-41.923272391924818692,42031472.07813334465
102,0,19608494.245717838407
102,-261.91814408177418727,26611219.456828918308
102,-156.79295999121154637,24092874.849332746118
102,-131.77625469006900971,23416471.34273551777
102,-74.033453375260336315,21792766.649528201669
102,-30.507636928794948261,20520847.958807088435
103,0,0
