,Diourbel-0,Diourbel-1,Diourbel-2,Diourbel-3,Diourbel-4,Diourbel-5,Diourbel-6,Diourbel-7,Diourbel-8,Diourbel-9,Diourbel-10,Diourbel-11,Diourbel-12,Diourbel-13,Diourbel-14,Diourbel-15
2030-10-28 06:00:00,260.96498278736067,260.96498278736067,260.96498278736067,260.96351555994715,260.96498278736067,260.96498278736067,260.96498278736067,260.96498278736067,260.96498278736067,260.96498278736067,260.9679172421877,260.96351555994715,260.96498278736067,260.96498278736067,260.96498278736067,260.96498278736067
2030-10-28 07:00:00,260.96498278736067,260.96498278736067,260.96351555994715,260.96351555994715,260.96351555994715,260.96351555994715,260.96498278736067,260.96498278736067,260.96351555994715,260.96351555994715,260.96351555994715,260.96351555994715,260.96498278736067,260.96351555994715,260.96351555994715,260.96351555994715
2030-10-28 08:00:00,260.96351555994715,260.96498278736067,260.96645001477407,260.9679172421877,260.96645001477407,260.96645001477407,260.96498278736067,260.96498278736067,260.96645001477407,260.96645001477407,260.96351555994715,260.79747674679646,260.96498278736067,260.96645001477407,260.96645001477407,260.9664500147742
2030-10-28 09:00:00,260.96351555994715,260.96498278736067,260.96498278736067,260.96498278736067,260.96498278736067,260.96498278736067,260.96498278736067,260.79747674679646,260.79747674679646,260.96498278736067,260.79747674679646,260.79747674679646,260.79747674679646,260.96498278736067,260.96498278736067,260.79747674679646
2030-10-28 10:00:00,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646
2030-10-28 11:00:00,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646,260.7947717635092,260.79747674679646,260.7947717635092,260.6209766021877,260.7947717635092,260.7947717635092,260.7947717635092,260.7947717635092,260.7947717635092,260.7947717635092,260.79747674679646,260.7947717635092
2030-10-28 12:00:00,260.7947717635092,260.7947717635092,260.7947717635092,260.79405394770527,260.7947717635092,260.7947717635092,260.7947717635092,122.7241459501798,260.7947717635092,260.7947717635092,260.7947717635092,260.7947717635092,260.7947717635092,260.7947717635092,260.79747674679646,260.6180421473607
2030-10-28 13:00:00,260.7947717635092,260.7900452399472,260.7947717635092,260.79405394770527,260.7947717635092,260.7947717635092,260.7947717635092,122.7199699501798,260.6165749199472,260.7947717635092,260.7947717635092,260.6165749199472,260.7947717635092,260.7947717635092,260.7947717635092,260.6165749199472
2030-10-28 14:00:00,260.7907286829598,260.79275022323446,260.7907286829598,260.79405394770527,260.79343366624715,260.7907286829598,260.79343366624715,122.7199699501798,260.6165749199472,260.7907286829598,260.79343366624715,260.6165749199472,260.6165749199472,260.7907286829598,260.7900452399472,260.6165749199472
2030-10-28 15:00:00,260.7947717635092,260.79747674679646,260.7947717635092,260.79405394770527,260.7947717635092,260.7947717635092,260.7947717635092,260.7947717635092,260.79747674679646,260.79747674679646,260.7947717635092,260.7947717635092,260.7947717635092,260.79747674679646,260.7947717635092,260.6180421473607
