,FKK-0,FKK-1,FKK-2,FKK-3,FKK-4,FKK-5,FKK-6,FKK-7,FKK-8,FKK-9,FKK-10,FKK-11,FKK-12,FKK-13,FKK-14,FKK-15
46,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.0986181581878,9999.312100455,261.09861815818766,262.0826400943606,261.75218084177413,261.09861815818766,261.09861815818766,261.09861815818766,262.73767000536066,262.0826400943606
47,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.0986181581878,9999.312100455,261.09861815818766,262.0826400943606,261.7507136143607,261.09861815818766,261.09861815818766,261.09861815818766,262.73767000536066,262.0826400943606
48,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.0986181581878,9999.312100455,261.09861815818766,262.0826400943606,261.7507136143607,261.09861815818766,261.09861815818766,261.09861815818766,262.73767000536066,262.0826400943606
49,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.09861815818766,9999.312100455,261.09861815818766,262.0826400943606,261.7507136143607,261.09861815818766,261.09861815818766,261.09861815818766,262.08410732177407,262.0826400943606
50,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.09861815818766,9999.312100455,261.09861815818766,262.0826400943606,261.7507136143607,261.09861815818766,261.09861815818766,261.09861815818766,262.08410732177407,262.0826400943606
51,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.09861815818766,9999.312100455,261.09861815818766,262.0826400943606,261.7507136143607,261.09861815818766,261.09861815818766,261.09861815818766,262.08410732177407,262.0826400943606
52,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.09861815818766,9999.312100455,261.09861815818766,262.0826400943606,261.7507136143607,261.09861815818766,261.09861815818766,261.09861815818766,262.08410732177407,262.0826400943606
53,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.09861815818766,9999.312100455,261.09861815818766,262.0826400943606,261.7507136143606,261.09861815818766,261.09861815818766,261.09861815818766,262.0826400943606,262.0826400943606
54,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.09861815818766,9999.312100455,261.09861815818766,262.0826400943606,261.7507136143606,261.09861815818766,261.09861815818766,261.09861815818766,262.0826400943606,262.08117286694716
55,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,261.7507136143607,261.09861815818766,261.09861815818766,9999.312100455,261.09861815818766,262.0826400943606,261.7507136143606,261.09861815818766,261.09861815818766,261.09861815818766,262.0826400943606,262.08117286694716
