,LS-0,LS-1,LS-2,LS-3,LS-4,LS-5,LS-6,LS-7,LS-8,LS-9,LS-10,LS-11,LS-12,LS-13,LS-14,LS-15
2030-10-01 06:00:00,261.1214051633607,261.1199379359472,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.12433961818766,261.1214051633607,261.1214051633607,261.1214051633607
2030-10-01 07:00:00,261.1214051633607,261.1199379359472,261.1199379359472,261.1199379359472,261.1199379359472,261.1214051633607,261.1214051633607,261.1199379359472,261.1199379359472,261.1199379359472,261.1199379359472,261.1214051633607,261.1199379359472,261.1199379359472,261.1199379359472,261.1199379359472
2030-10-01 08:00:00,261.1214051633607,261.12433961818766,261.12287239077415,261.1199379359472,261.1228723907742,261.1214051633607,261.1214051633607,261.1228723907742,261.12287239077415,261.12287239077415,261.12287239077415,261.1199379359472,261.1199379359472,261.1199379359472,261.1228723907742,261.1199379359472
2030-10-01 09:00:00,261.1214051633607,261.1214051633607,261.1214051633607,261.12433961818766,260.95389912279654,261.1214051633607,261.1199379359472,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.12287239077415,261.12433961818766,261.12433961818766,261.1214051633607,261.12433961818766
2030-10-01 10:00:00,260.95389912279654,260.95389912279654,260.95389912279654,261.1199379359472,260.95389912279654,261.1214051633607,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,261.1214051633607,261.1214051633607,260.95389912279654,260.95389912279654,261.1214051633607
2030-10-01 11:00:00,260.95187758252183,260.95256102553446,260.9511941395092,261.1199379359472,260.9511941395092,260.95389912279654,260.9511941395092,260.95389912279654,260.95389912279654,260.95389912279654,260.9511941395092,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654
2030-10-01 12:00:00,260.9511941395092,260.9511941395092,260.77446452336073,261.12433961818766,260.9511941395092,260.9511941395092,260.77446452336073,260.9511941395092,260.9511941395092,260.9511941395092,260.9511941395092,260.95389912279654,260.9511941395092,260.9511941395092,260.95389912279654,260.95389912279654
2030-10-01 13:00:00,260.9511941395092,260.9511941395092,260.77446452336073,260.95047632370535,260.7729972959472,260.9511941395092,260.7729972959472,260.7729972959472,260.9511941395092,260.94917259923454,260.9511941395092,260.9511941395092,260.94917259923454,260.9511941395092,260.9511941395092,260.94917259923454
2030-10-01 14:00:00,260.9464676159472,260.9511941395092,260.7729972959472,260.9464676159472,260.7729972959472,260.94715105895983,260.7729972959472,260.7729972959472,260.94715105895983,260.9464676159472,260.9498560422472,260.94917259923454,260.9464676159472,260.9498560422472,260.7729972959472,260.9464676159472
2030-10-01 15:00:00,260.95389912279654,260.9511941395092,260.7729972959472,260.95047632370535,260.77739897818776,260.9511941395092,260.9511941395092,260.9511941395092,260.9511941395092,260.95389912279654,260.9511941395092,260.9464676159472,260.95389912279654,260.9511941395092,260.9511941395092,260.9511941395092
2030-10-01 16:00:00,260.95389912279654,260.9511941395092,260.7773989781877,260.95331321412954,260.9511941395092,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.9511941395092,260.9511941395092,260.95389912279654
2030-10-01 17:00:00,261.1214051633607,261.1199379359472,260.95389912279654,261.1214051633607,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,261.1214051633607,261.1214051633607,261.1199379359472,261.1214051633607,260.95389912279654,260.95389912279654,261.1199379359472
2030-10-01 18:00:00,261.1214051633607,261.1214051633607,261.1199379359472,261.1214051633607,261.1199379359472,260.95389912279654,261.1214051633607,261.1199379359472,261.1199379359472,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1199379359472,260.95389912279654,261.1214051633607
2030-10-01 19:00:00,261.12287239077415,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607
2030-10-01 20:00:00,261.1199379359472,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607
2030-10-01 21:00:00,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607
2030-10-01 22:00:00,261.1214051633607,261.1214051633607,261.12433961818766,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.12433961818766,261.1214051633607,261.1214051633607
2030-10-01 23:00:00,261.12433961818766,261.12433961818766,261.1214051633607,261.12433961818766,261.1214051633607,261.12433961818766,261.12433961818766,261.12433961818766,261.12433961818766,261.12433961818766,261.1214051633607,261.12433961818766,261.12433961818766,261.1214051633607,261.12433961818766,261.12433961818766
2030-10-02 00:00:00,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.12433961818766,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.12433961818766,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607
2030-10-02 01:00:00,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607
2030-10-02 02:00:00,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607
2030-10-02 03:00:00,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1199379359472,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607
2030-10-02 04:00:00,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1199379359472,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1199379359472,261.1214051633607
2030-10-02 05:00:00,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1199379359472,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.12287239077415,261.1214051633607
2030-10-02 06:00:00,261.1214051633607,261.1214051633607,261.1199379359472,261.1214051633607,261.12433961818766,261.1228723907742,261.1214051633607,261.1199379359472,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607
2030-10-02 07:00:00,261.1199379359472,261.1199379359472,261.1199379359472,261.1199379359472,261.1214051633607,261.1214051633607,261.1199379359472,261.1199379359472,261.1199379359472,261.1199379359472,261.1214051633607,261.1214051633607,261.1199379359472,261.1199379359472,261.1199379359472,261.1199379359472
2030-10-02 08:00:00,261.1228723907742,261.12287239077415,261.12433961818766,261.1228723907742,261.1214051633607,261.1214051633607,261.12287239077415,261.1214051633607,261.12287239077415,261.12287239077415,261.1214051633607,261.1214051633607,261.12287239077415,261.1199379359472,261.1228723907742,261.1228723907742
2030-10-02 09:00:00,261.1214051633607,261.1214051633607,260.95389912279654,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.12433961818766,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,261.1214051633607,260.95389912279654,261.1214051633607,261.1214051633607
2030-10-02 10:00:00,260.9511941395092,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654
2030-10-02 11:00:00,260.95660410608383,260.95389912279654,260.9511941395092,260.95047632370535,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.9511941395092,260.95187758252183,260.9511941395092,260.9511941395092,260.95389912279654,260.95389912279654
2030-10-02 12:00:00,260.9511941395092,260.95389912279654,260.77446452336073,260.95047632370535,260.9511941395092,260.9511941395092,260.9511941395092,260.9511941395092,260.9511941395092,260.95187758252183,260.77446452336073,260.9464676159472,260.9511941395092,260.9511941395092,260.9511941395092,260.9511941395092
2030-10-02 13:00:00,260.9498560422472,260.9511941395092,260.7729972959472,260.95047632370535,260.9511941395092,260.94917259923454,260.9511941395092,260.7729972959472,260.94715105895983,260.9511941395092,260.7729972959472,260.9511941395092,260.7729972959472,260.7729972959472,260.9511941395092,260.9511941395092
2030-10-02 14:00:00,260.9511941395092,260.94715105895983,260.7729972959472,260.95615010455367,260.7729972959472,260.9464676159472,260.7729972959472,260.7729972959472,260.9511941395092,260.9464676159472,260.7729972959472,260.9511941395092,260.7729972959472,260.7729972959472,260.7729972959472,260.9464676159472
2030-10-02 15:00:00,260.9511941395092,260.9511941395092,260.9511941395092,260.95047632370535,260.9511941395092,260.95389912279654,260.9511941395092,260.9511941395092,260.9511941395092,260.9511941395092,260.9511941395092,260.95389912279654,260.9511941395092,260.9511941395092,260.9511941395092,260.95187758252183
2030-10-02 16:00:00,260.9511941395092,260.9511941395092,260.95389912279654,260.95047632370535,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,260.9511941395092,260.95389912279654
2030-10-02 17:00:00,261.1199379359472,260.95389912279654,260.95389912279654,261.1214051633607,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654,261.1214051633607,261.1199379359472,260.95389912279654,261.1214051633607,260.95389912279654,260.95389912279654,260.95389912279654,261.1199379359472
