Period,Scenario,LoadLevel,P_Gas_CCGT,P_Gas_OCGT,P_Oil,RES_Hydro_Large
2030,sc01,01-06 03:00:00+01:00,0.00039262968,4.317528238279132e-05,0.0,0.0
2030,sc01,01-06 05:00:00+01:00,0.00039262968,0.00012894414037512665,0.0,0.0
2030,sc01,01-06 07:00:00+01:00,0.00039262968,0.00018925886990529,0.00016915012271766927,0.0
2030,sc01,01-06 09:00:00+01:00,0.00039262968,0.00018925886990529,0.00025849185421923264,0.0
2030,sc01,01-06 11:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-06 13:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-06 15:00:00+01:00,0.00039262968,0.00010739945990664112,0.0,0.0
2030,sc01,01-06 17:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-06 19:00:00+01:00,0.00039262968,0.00018925886990529,0.00026190320775336504,0.0
2030,sc01,01-06 21:00:00+01:00,0.00039262968,0.00018925886990529,8.502300612056337e-05,0.0
2030,sc01,01-06 23:00:00+01:00,0.00039262968,0.00010301206445747539,0.0,0.0
2030,sc01,01-07 01:00:00+01:00,0.00037762819950048316,0.0,0.0,0.0
2030,sc01,01-07 03:00:00+01:00,0.00035798278139860366,0.0,0.0,0.0
2030,sc01,01-07 05:00:00+01:00,0.00039262968,6.3910979499199e-05,0.0,0.0
2030,sc01,01-07 07:00:00+01:00,0.00039262968,0.00018925886990529,9.438986643141933e-05,0.0
2030,sc01,01-07 09:00:00+01:00,0.00039262968,0.00018925886990529,0.00024271945642412857,0.0
2030,sc01,01-07 11:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-07 13:00:00+01:00,0.00039262968,0.0001365045534957859,0.0,0.0
2030,sc01,01-07 15:00:00+01:00,0.00039262968,5.6037825649687446e-05,0.0,0.0
2030,sc01,01-07 17:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-07 19:00:00+01:00,0.00039262968,0.00018925886990529,0.00028524339525989563,0.0
2030,sc01,01-07 21:00:00+01:00,0.00039262968,0.00018925886990529,0.00011065050518593008,0.0
2030,sc01,01-07 23:00:00+01:00,0.00039262968,0.00015877872804306064,0.0,0.0
2030,sc01,01-08 01:00:00+01:00,0.00039262968,4.2701623498424565e-05,0.0,0.0
2030,sc01,01-08 03:00:00+01:00,0.00039262968,4.118772939729829e-05,0.0,0.0
2030,sc01,01-08 05:00:00+01:00,0.00039262968,0.00013818538978647776,0.0,0.0
2030,sc01,01-08 07:00:00+01:00,0.00039262968,0.00018925886990529,0.00024568232322640343,0.0
2030,sc01,01-08 09:00:00+01:00,0.00039262968,0.00018925886990529,0.0004112171189079527,0.0
2030,sc01,01-08 11:00:00+01:00,0.00039262968,0.00018925886990529,3.3433484541979175e-05,0.0
2030,sc01,01-08 13:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-08 15:00:00+01:00,0.00039262968,0.00014554233323651528,0.0,0.0
2030,sc01,01-08 17:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-08 19:00:00+01:00,0.00039262968,0.00018925886990529,0.00032390671567084404,0.0
2030,sc01,01-08 21:00:00+01:00,0.00039262968,0.00018925886990529,0.00021256517089305682,0.0
2030,sc01,01-08 23:00:00+01:00,0.00039262968,0.0001735858313322991,0.0,0.0
2030,sc01,01-09 01:00:00+01:00,0.00039262968,2.8691633706803938e-05,0.0,0.0
2030,sc01,01-09 03:00:00+01:00,0.00037750831352070444,0.0,0.0,0.0
2030,sc01,01-09 05:00:00+01:00,0.00039262968,0.00010264245036385492,0.0,0.0
2030,sc01,01-09 07:00:00+01:00,0.00039262968,0.00018925886990529,0.00017749419971489617,0.0
2030,sc01,01-09 09:00:00+01:00,0.00039262968,0.00018925886990529,0.00026179441697969305,0.0
2030,sc01,01-09 11:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-09 13:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-09 15:00:00+01:00,0.00039262968,0.00010971762319874255,0.0,0.0
2030,sc01,01-09 17:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-09 19:00:00+01:00,0.00039262968,0.00018925886990529,0.00029142029241507487,0.0
2030,sc01,01-09 21:00:00+01:00,0.00039262968,0.00018925886990529,0.00016664080580464116,0.0
2030,sc01,01-09 23:00:00+01:00,0.00039262968,0.00016448015306025026,0.0,0.0
2030,sc01,01-10 01:00:00+01:00,0.00039262968,4.1520928348071114e-05,0.0,0.0
2030,sc01,01-10 03:00:00+01:00,0.00039262968,7.447402671081207e-06,0.0,0.0
2030,sc01,01-10 05:00:00+01:00,0.00039262968,0.0001224634751920772,0.0,0.0
2030,sc01,01-10 07:00:00+01:00,0.00039262968,0.00018925886990529,0.00016787776357923148,0.0
2030,sc01,01-10 09:00:00+01:00,0.00039262968,0.00018925886990529,0.00022076089483344052,0.0
2030,sc01,01-10 11:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-10 13:00:00+01:00,0.00039262968,0.00015736068072040558,0.0,0.0
2030,sc01,01-10 15:00:00+01:00,0.00039262968,0.000110202716218225,0.0,0.0
2030,sc01,01-10 17:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-10 19:00:00+01:00,0.00039262968,0.00018925886990529,0.000387061587540899,0.0
2030,sc01,01-10 21:00:00+01:00,0.00039262968,0.00018925886990529,0.00024897032711012013,0.0
2030,sc01,01-10 23:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-11 01:00:00+01:00,0.00039262968,6.105611798088052e-05,0.0,0.0
2030,sc01,01-11 03:00:00+01:00,0.00039262968,2.308467438885518e-05,0.0,0.0
2030,sc01,01-11 05:00:00+01:00,0.00039262968,0.00013799814184611744,0.0,0.0
2030,sc01,01-11 07:00:00+01:00,0.00039262968,0.00018925886990529,0.0002025937013284623,0.0
2030,sc01,01-11 09:00:00+01:00,0.00039262968,0.00018925886990529,0.0002716974827870528,0.0
2030,sc01,01-11 11:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-11 13:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-11 15:00:00+01:00,0.00039262968,0.0001562591286882859,0.0,0.0
2030,sc01,01-11 17:00:00+01:00,0.00039262968,0.00018925886990529,1.620114546559307e-05,0.0
2030,sc01,01-11 19:00:00+01:00,0.00039262968,0.00018925886990529,0.00037676205435310106,0.0
2030,sc01,01-11 21:00:00+01:00,0.00039262968,0.00018925886990529,0.0002474056091814594,0.0
2030,sc01,01-11 23:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-12 01:00:00+01:00,0.00039262968,8.114670530239286e-05,0.0,0.0
2030,sc01,01-12 03:00:00+01:00,0.00039262968,3.999251382563526e-05,0.0,0.0
2030,sc01,01-12 05:00:00+01:00,0.00039262968,0.0001529920887978865,0.0,0.0
2030,sc01,01-12 07:00:00+01:00,0.00039262968,0.00018925886990529,0.00021120330053971709,0.0
2030,sc01,01-12 09:00:00+01:00,0.00039262968,0.00018925886990529,0.00030922972244818917,0.0
2030,sc01,01-12 11:00:00+01:00,0.00039262968,0.00018925886990529,1.7673923895179228e-06,0.0
2030,sc01,01-12 13:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
