Period,Scenario,LoadLevel,P_Gas_CCGT,P_Gas_OCGT,P_Oil,RES_Hydro_Large,RES_Hydro_Small,RES_PV_Utility_Opt,RES_Wind_Onshore_Opt
2030,sc01,10-09 09:00:00+01:00,605.91,207.765,573.0561296,200,200.2318428,53.98142756,31.47024018
2030,sc01,10-09 11:00:00+01:00,605.91,207.765,278.4542055,200,200.2318428,251.8655977,14.90511122
2030,sc01,10-09 13:00:00+01:00,605.91,207.765,225.192597,200,200.2318428,364.7495988,4.065609645
2030,sc01,10-09 15:00:00+01:00,605.91,207.765,114,181.6965617,200.2318428,361.225587,7.818970273
2030,sc01,10-09 17:00:00+01:00,605.91,207.765,294.6144299,200,200.2318428,251.7973557,13.83135695
2030,sc01,10-09 19:00:00+01:00,605.91,207.765,620.1551378,200,200.2318428,63.23786681,23.5620559
2030,sc01,10-09 21:00:00+01:00,605.91,207.765,471.765895,200,200.2318428,0,30.41878941
2030,sc01,10-09 23:00:00+01:00,605.91,207.765,134.0773632,200,200.2318428,0,21.68856179
2030,sc01,10-10 01:00:00+01:00,605.91,207.765,71.27937722,68.82688545,200.2318428,0,27.50021697
2030,sc01,10-10 03:00:00+01:00,605.91,207.765,62.92612456,1.899653983,200.2318428,0,52.73822167
2030,sc01,10-10 05:00:00+01:00,605.91,207.765,114,128.4071129,200.2318428,0,44.24377393
2030,sc01,10-10 07:00:00+01:00,605.91,207.765,487.9263083,200,200.2318428,0,36.03289927
2030,sc01,10-10 09:00:00+01:00,605.91,207.765,572.240239,200,200.2318428,65.42710912,20.88563576
2030,sc01,10-10 11:00:00+01:00,605.91,207.765,273.7512604,200,200.2318428,252.0846078,19.27341124
2030,sc01,10-10 13:00:00+01:00,605.91,207.765,204.7777238,200,200.2318428,368.6776276,20.41726223
2030,sc01,10-10 15:00:00+01:00,605.91,207.765,114,159.3656575,200.2318428,364.2926276,26.3181314
2030,sc01,10-10 17:00:00+01:00,605.91,207.765,265.7798213,200,200.2318428,254.6848515,39.24141723
2030,sc01,10-10 19:00:00+01:00,605.91,207.765,582.4811606,200,200.2318428,65.10914306,58.06557223
2030,sc01,10-10 21:00:00+01:00,605.91,207.765,434.6673661,200,200.2318428,0,66.38796439
2030,sc01,10-10 23:00:00+01:00,605.91,207.765,114,186.409617,200.2318428,0,54.67544005
2030,sc01,10-11 01:00:00+01:00,605.91,207.765,84.57299905,40.54643507,200.2318428,0,42.1217551
2030,sc01,10-11 03:00:00+01:00,605.91,207.765,82.53933093,0,200.2318428,0,35.45619446
2030,sc01,10-11 05:00:00+01:00,605.91,207.765,114,123.9417494,200.2318428,0,48.53879101
2030,sc01,10-11 07:00:00+01:00,605.91,207.765,450.0613749,200,200.2318428,0,72.75083466
2030,sc01,10-11 09:00:00+01:00,605.91,207.765,497.1796675,200,200.2318428,82.73378896,76.37993292
2030,sc01,10-11 11:00:00+01:00,605.91,207.765,212.6624487,200,200.2318428,266.7949224,64.95416789
2030,sc01,10-11 13:00:00+01:00,605.91,207.765,196.6303439,200,200.2318428,358.3573626,38.7730437
2030,sc01,10-11 15:00:00+01:00,605.91,207.765,114,150.8263304,200.2318428,365.796006,33.08883712
2030,sc01,10-11 17:00:00+01:00,605.91,207.765,252.0659025,200,200.2318428,255.7066513,51.7090744
2030,sc01,10-11 19:00:00+01:00,605.91,207.765,562.7178438,200,200.2318428,66.56274756,75.73631761
2030,sc01,10-11 21:00:00+01:00,605.91,207.765,449.6469521,200,200.2318428,0,51.83652297
2030,sc01,10-11 23:00:00+01:00,605.91,207.765,140.316731,200,200.2318428,0,15.51049197
2030,sc01,10-12 01:00:00+01:00,605.91,207.765,76.42038385,80.88687746,200.2318428,0,10.76940486
2030,sc01,10-12 03:00:00+01:00,605.91,207.765,96.42188995,0,200.2318428,0,21.91159681
2030,sc01,10-12 05:00:00+01:00,605.91,207.765,114,140.826901,200.2318428,0,32.31140079
2030,sc01,10-12 07:00:00+01:00,605.91,207.765,504.9729114,200,200.2318428,0,19.6175224
2030,sc01,10-12 09:00:00+01:00,605.91,207.765,568.2203882,200,200.2318428,81.7214559,8.625082531
2030,sc01,10-12 11:00:00+01:00,605.91,207.765,271.5256187,200,200.2318428,273.0612553,0.75831904
2030,sc01,10-12 13:00:00+01:00,605.91,207.765,214.5949053,200,200.2318428,373.6042854,5.818027595
2030,sc01,10-12 15:00:00+01:00,605.91,207.765,114,174.574507,200.2318428,361.2441875,14.65658649
2030,sc01,10-12 17:00:00+01:00,605.91,207.765,268.0742866,200,200.2318428,257.4674102,34.24224675
2030,sc01,10-12 19:00:00+01:00,605.91,207.765,582.0089645,200,200.2318428,65.93133296,57.69597136
2030,sc01,10-12 21:00:00+01:00,605.91,207.765,455.2925272,200,200.2318428,0,46.3530479
2030,sc01,10-12 23:00:00+01:00,605.91,207.765,129.4637461,200,200.2318428,0,26.25759332
2030,sc01,10-13 01:00:00+01:00,605.91,207.765,71.16131747,69.08215736,200.2318428,0,27.36639596
