Period,Scenario,LoadLevel,Centrale_Kael_Solaire,Centrale_Kahone_Solaire,Dakar_PV_29,Diourbel_PV_25,FKK_PV_25,Felou_Gouina,LS_PV_2029,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Kahone,PV_Malicounda,PV_Sakal,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,Solar_CICAD,Solar_DIASS,Thies_PV_2025,Thies_wind_2025
2030,sc01,04-19 17:00:00+01:00,9.259208671179215e-06,1.0430762251127631e-05,3.067717231327996e-05,3.2715870640106614e-06,0.0,5.132498389006174e-07,0.0,0.00021301143668598418,7.818465244153067e-06,6.25845734834855e-06,2.1569863819196504e-05,3.594977304557438e-06,5.3924659683308365e-06,5.302591521188505e-06,1.6317644847860846e-06,4.1342238916709734e-06,5.801557046032775e-05,0.00013556493450714733
2030,sc01,04-19 19:00:00+01:00,3.046132139482111e-06,3.335975921457295e-06,1.041317416879135e-05,1.076300022783857e-06,0.0,5.132498389006174e-07,0.0,0.00020031950336934368,2.5395521967979296e-06,2.001585553048987e-06,7.064588282678076e-06,1.1774313806888483e-06,1.7661470751073368e-06,1.736711285730346e-06,5.538922429774763e-07,1.3540460852313392e-06,1.9001330870437954e-05,0.00012748752262774457
2030,sc01,04-19 21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,5.132498389006174e-07,0.0,0.0001468819312379104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.347873379805196e-05
2030,sc01,04-19 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,5.132498389006174e-07,0.0,0.00011421833426642848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.269093736524978e-05
2030,sc01,04-20 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.86203964276864e-07,0.0,0.00012135301392099256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.723159676035862e-05
2030,sc01,04-20 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.86203964276864e-07,0.0,0.00018093710805566597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011515216075091156
2030,sc01,04-20 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.86203964276864e-07,0.0,0.0002314963310081507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014732910794612665
2030,sc01,04-20 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.86203964276864e-07,0.0,0.0002599262615671187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016542251057321628
2030,sc01,04-20 09:00:00+01:00,2.5742639906652513e-06,3.0070517273660087e-06,7.213595511932531e-06,9.095732766590434e-07,0.0,4.86203964276864e-07,0.0,0.00022870863852393538,2.3445492722413038e-06,1.8042310361286075e-06,5.417196420419647e-06,9.028660704579458e-07,1.3542991090334717e-06,1.331727453263442e-06,3.8370188879327155e-07,1.038295978887758e-06,1.4570409127868268e-05,0.0001455549621313243
2030,sc01,04-20 11:00:00+01:00,9.060481272479381e-06,1.0410159830147e-05,2.7776775040565614e-05,3.2013700488721726e-06,0.0,4.86203964276864e-07,0.0,0.0001508708245606762,7.757350970721843e-06,6.246095896924189e-06,2.0108072885547103e-05,3.351345481991533e-06,5.02701823520949e-06,4.943234583187525e-06,1.477488034066448e-06,3.854047296345842e-06,5.4083851846655264e-05,9.601734897910683e-05
2030,sc01,04-20 13:00:00+01:00,1.2651581726216935e-05,1.4586173503299642e-05,4.0145708977677696e-05,4.470225542875314e-06,0.0,4.86203964276864e-07,0.0,0.00012960277058088294,1.0698933474600684e-05,8.751704100233765e-06,2.861045620493167e-05,4.768409368652628e-06,7.152614070148211e-06,7.033403813771907e-06,2.1354100519298343e-06,5.483670762863252e-06,7.695236057767285e-05,8.24819144883725e-05
2030,sc01,04-20 15:00:00+01:00,1.2540399435704807e-05,1.4370622168207288e-05,4.129257093485673e-05,4.430941133658029e-06,0.0,4.86203964276864e-07,0.0,0.00014818285440109093,1.0592312447641942e-05,8.622373299178353e-06,2.9022304168968503e-05,4.837050696283106e-06,7.25557606115742e-06,7.134649774216668e-06,2.1964133475739966e-06,5.562608289303646e-06,7.806009099847404e-05,9.430666852171452e-05
2030,sc01,04-20 17:00:00+01:00,9.229881060707498e-06,1.0445325149079964e-05,3.0738116669153115e-05,3.261224641003777e-06,0.0,4.86203964276864e-07,0.0,0.00016259726439385596,7.766120334703964e-06,6.267195089447985e-06,2.1548316480244203e-05,3.591386081689726e-06,5.387079135338788e-06,5.297294468338918e-06,1.635006205948424e-06,4.130093985329453e-06,5.7957615480728436e-05,0.00010348030059082005
2030,sc01,04-20 19:00:00+01:00,3.0413171583717346e-06,3.326789045095885e-06,1.0535062878791619e-05,1.074598729271948e-06,0.0,4.86203964276864e-07,0.0,0.00017165386538544483,2.526215964805747e-06,1.9960734268829346e-06,7.238925825673155e-06,1.2064876384367046e-06,1.8097314618746224e-06,1.7795692654792016e-06,5.603756850111502e-07,1.3874607813067174e-06,1.9470239356291807e-05,0.00010924411092537225
2030,sc01,04-20 21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.86203964276864e-07,0.0,0.00018520703704596764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011786963290544647
2030,sc01,04-20 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.86203964276864e-07,0.0,0.00024253831307196634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001543564562985509
2030,sc01,04-21 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.716299662468894e-07,0.0,0.0002553481000777919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016250887271559495
2030,sc01,04-21 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.716299662468894e-07,0.0,0.00022450670202558328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014288076184154576
2030,sc01,04-21 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.716299662468894e-07,0.0,0.0002014255147098527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000128191411376354
2030,sc01,04-21 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.716299662468894e-07,0.0,0.0001851798400515159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011785232416419997
2030,sc01,04-21 09:00:00+01:00,2.7047062062008954e-06,3.1319762311942256e-06,7.432441153582834e-06,9.556628596329598e-07,0.0,4.716299662468894e-07,0.0,0.00016605128339928208,2.3681123828490036e-06,1.8791857386583406e-06,5.811904459897851e-06,9.686507434618099e-07,1.4529761185392664e-06,1.4287598458859396e-06,3.9534261448107596e-07,1.1139483526093967e-06,1.563203901024716e-05,0.00010567851053124074
2030,sc01,04-21 11:00:00+01:00,8.977751140163976e-06,1.0367202675173713e-05,2.7876502166770733e-05,3.1721387361718727e-06,0.0,4.716299662468894e-07,0.0,0.00013913985191254803,7.625871266920418e-06,6.220321605104235e-06,2.0108072885547103e-05,3.351345481991533e-06,5.027018234918486e-06,4.943234583187525e-06,1.4827926684576355e-06,3.854047296345841e-06,5.408385184665526e-05,8.855151255778553e-05
2030,sc01,04-21 13:00:00+01:00,1.2438409379529903e-05,1.4361009973560482e-05,4.019557253787022e-05,4.394904647783107e-06,0.0,4.716299662468894e-07,0.0,0.00010288625092846056,1.0490428331674294e-05,8.616605981808258e-06,2.8321036288838147e-05,4.720172716261381e-06,7.08025909112483e-06,6.962254754703139e-06,2.1380623689799263e-06,5.428198613151675e-06,7.617391979186065e-05,6.547896246669003e-05
2030,sc01,04-21 15:00:00+01:00,1.2319785753410446e-05,1.417659193800685e-05,4.09518365855342e-05,4.352990966748234e-06,0.0,4.716299662468894e-07,0.0,9.7587368777697e-05,1.0379256622087685e-05,8.505955164550144e-06,2.850712692834689e-05,4.751187822846169e-06,7.126781750274504e-06,7.0080020351333005e-06,2.1782891801435226e-06,5.463865985069423e-06,7.66744400847687e-05,6.210664300095739e-05
2030,sc01,04-21 17:00:00+01:00,9.009705107460681e-06,1.0265483541326941e-05,3.0364139944428878e-05,3.1834291374844342e-06,0.0,4.716299662468894e-07,0.0,0.00012882312324363627,7.58632411493096e-06,6.159290123050143e-06,2.111247262130148e-05,3.518745437756593e-06,5.278118167838564e-06,5.190149518530272e-06,1.615113826763216e-06,4.046557245141005e-06,5.678534426318376e-05,8.198573061144048e-05
2030,sc01,04-21 19:00:00+01:00,2.9612133817172966e-06,3.268843674175873e-06,1.0349459613707045e-05,1.046295394877326e-06,0.0,4.716299662468894e-07,0.0,0.00016913814289230798,2.4547128710536957e-06,1.9613062045055303e-06,7.081238496045989e-06,1.1802064163956693e-06,1.7703096289585724e-06,1.7408044635143086e-06,5.505031707870749e-07,1.3572373761777807e-06,1.904611426521973e-05,0.00010764305249975441
2030,sc01,04-21 21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.716299662468894e-07,0.0,0.0002098203220300996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013353404237161553
2030,sc01,04-21 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.716299662468894e-07,0.0,0.0001715858728934953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001092008390838962
2030,sc01,04-22 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.3077944444437656e-07,0.0,0.00014044984074054585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.93852168541035e-05
