Period,Scenario,LoadLevel,Senegal
2030,sc01,01-14 05:00:00+01:00,-485.8385185588313
2030,sc01,01-14 07:00:00+01:00,-179.70522277233124
2030,sc01,01-14 09:00:00+01:00,-84.91222438283108
2030,sc01,01-14 11:00:00+01:00,-162.14447416583155
2030,sc01,01-14 13:00:00+01:00,-127.47075652233097
2030,sc01,01-14 15:00:00+01:00,-219.02027266033141
2030,sc01,01-14 17:00:00+01:00,-151.51846827933068
2030,sc01,01-14 19:00:00+01:00,-51.18857786483089
2030,sc01,01-14 21:00:00+01:00,-194.9725608968311
2030,sc01,01-14 23:00:00+01:00,-438.6386541353311
2030,sc01,01-15 01:00:00+01:00,-569.0554403723313
2030,sc01,01-15 03:00:00+01:00,-603.7291577538313
2030,sc01,01-15 05:00:00+01:00,-485.8385185588313
2030,sc01,01-15 07:00:00+01:00,-179.70522277233124
2030,sc01,01-15 09:00:00+01:00,-84.91222438283108
2030,sc01,01-15 11:00:00+01:00,-162.14447416583155
2030,sc01,01-15 13:00:00+01:00,-127.47075652233097
2030,sc01,01-15 15:00:00+01:00,-219.02027266033141
2030,sc01,01-15 17:00:00+01:00,-151.51846827933068
2030,sc01,01-15 19:00:00+01:00,-51.18857786483089
2030,sc01,01-15 21:00:00+01:00,-194.9725608968311
2030,sc01,01-15 23:00:00+01:00,-438.6386541353311
2030,sc01,01-16 01:00:00+01:00,-569.0554403723313
2030,sc01,01-16 03:00:00+01:00,-603.7291577538313
2030,sc01,01-16 05:00:00+01:00,-485.8385185588313
2030,sc01,01-16 07:00:00+01:00,-179.70522277233124
2030,sc01,01-16 09:00:00+01:00,-84.91222438283108
2030,sc01,01-16 11:00:00+01:00,-162.14447416583155
2030,sc01,01-16 13:00:00+01:00,-127.47075652233097
2030,sc01,01-16 15:00:00+01:00,-219.02027266033141
2030,sc01,01-16 17:00:00+01:00,-151.51846827933068
2030,sc01,01-16 19:00:00+01:00,-51.18857786483089
2030,sc01,01-16 21:00:00+01:00,-194.9725608968311
2030,sc01,01-16 23:00:00+01:00,-438.6386541353311
2030,sc01,01-17 01:00:00+01:00,-569.0554403723313
2030,sc01,01-17 03:00:00+01:00,-603.7291577538313
2030,sc01,01-17 05:00:00+01:00,-485.8385185588313
2030,sc01,01-17 07:00:00+01:00,-179.70522277233124
2030,sc01,01-17 09:00:00+01:00,-84.91222438283108
2030,sc01,01-17 11:00:00+01:00,-162.14447416583155
2030,sc01,01-17 13:00:00+01:00,-127.47075652233097
2030,sc01,01-17 15:00:00+01:00,-219.02027266033141
2030,sc01,01-17 17:00:00+01:00,-151.51846827933068
2030,sc01,01-17 19:00:00+01:00,-51.18857786483089
2030,sc01,01-17 21:00:00+01:00,-194.9725608968311
2030,sc01,01-17 23:00:00+01:00,-438.6386541353311
2030,sc01,01-18 01:00:00+01:00,-569.0554403723313
2030,sc01,01-18 03:00:00+01:00,-603.7291577538313
