Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Diesel_Bel_Air,Gas_Turbines,Solar_CICAD,Solar_DIASS,Boutoute,Secondary_Plants,Felou_gouina,Manantali,Aggreko_Boutoute,Kounoune_Power,Tobene_Power,Contour_Global,PETN_Taiba_Ndiaye_Wind,KPS_KarPowerShip,PV_Bokhol,PV_Malicounda,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,PV_Kahone,PV_Sakal,Malicounda_Power,Centrale_Kahone_Solaire,Centrale_Kael_Solaire,Dakar_CCGT_25,Dakar_OCGT_25,FKK_PV_25,Thies_P_Gas_CCGT_25,Felou_Gouina,Diourbel_PV_25,Thies_PV_2025,LS_PV_2029,Thies_wind_2025,Dakar_PV_29
2030,sc01,01-04 00:00:00+01:00,,,,0.001,0.001,,,,,,,,,54.10887788,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,16.64982056,0.001,0.001,0.001,34.43602184,0.001
2030,sc01,01-04 01:00:00+01:00,,,,0.001,0.001,,,,,,,,,66.57008041,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,16.64982056,0.001,0.001,0.001,42.36659182,0.001
2030,sc01,01-04 02:00:00+01:00,,,,0.001,0.001,,,,,,,,,74.89572136,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,16.64982056,0.001,0.001,0.001,47.66520389,0.001
2030,sc01,01-04 03:00:00+01:00,,,,0.001,0.001,,,,,,,,,83.52899824,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,16.64982056,0.001,0.001,0.001,53.1596019,0.001
2030,sc01,01-04 04:00:00+01:00,,,,0.001,0.001,,,,,,,,,95.38271715,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,16.64982056,0.001,0.001,0.001,60.7035566,0.001
2030,sc01,01-04 05:00:00+01:00,,,,0.001,0.001,,,,,,,,,108.1982851,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,16.64982056,0.001,0.001,0.001,68.85965216,0.001
2030,sc01,01-04 06:00:00+01:00,,,,0.001,0.001,,,,,,,,,113.9927443,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,16.64982056,0.001,0.001,0.001,72.5473672,0.001
2030,sc01,01-04 07:00:00+01:00,,,,0.001,0.001,,,,,,,,,116.2591255,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,16.64982056,0.001,0.001,0.001,73.98973962,0.001
2030,sc01,01-04 08:00:00+01:00,,,,0.001,0.001,,,,,,,,,117.7778346,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,16.64982056,0.001,0.001,0.001,74.95627783,0.001
2030,sc01,01-04 09:00:00+01:00,,,,0.613193182,1.758504898,,,,,,,,,111.5005038,,3.255684617,9.174808179,2.293702051,2.255473677,2.47820791,1.529134697,,4.130346517,3.895846919,,,5.263241562,,16.64982056,1.376532578,24.67710204,5.203886291,70.96125321,11.52803183
