Period,Scenario,LoadLevel,Manantali
2030,sc01,01-07 17:00:00+01:00,5.154324460599995
2030,sc01,01-07 19:00:00+01:00,5.2008088430399955
2030,sc01,01-07 21:00:00+01:00,5.2472932254799955
2030,sc01,01-07 23:00:00+01:00,5.293777607919996
2030,sc01,01-08 01:00:00+01:00,5.339820596039996
2030,sc01,01-08 03:00:00+01:00,5.3858635841599956
2030,sc01,01-08 05:00:00+01:00,5.4319065722799955
2030,sc01,01-08 07:00:00+01:00,5.4779495603999955
2030,sc01,01-08 09:00:00+01:00,5.523992548519995
2030,sc01,01-08 11:00:00+01:00,5.570035536639995
2030,sc01,01-08 13:00:00+01:00,5.616078524759995
2030,sc01,01-08 15:00:00+01:00,5.662121512879995
2030,sc01,01-08 17:00:00+01:00,5.708164500999995
2030,sc01,01-08 19:00:00+01:00,5.754207489119995
2030,sc01,01-08 21:00:00+01:00,5.800250477239995
2030,sc01,01-08 23:00:00+01:00,5.846293465359995
2030,sc01,01-09 01:00:00+01:00,5.891987014999995
2030,sc01,01-09 03:00:00+01:00,5.9376805646399955
2030,sc01,01-09 05:00:00+01:00,5.983374114279996
2030,sc01,01-09 07:00:00+01:00,6.029067663919996
2030,sc01,01-09 09:00:00+01:00,6.074761213559996
2030,sc01,01-09 11:00:00+01:00,6.120454763199996
2030,sc01,01-09 13:00:00+01:00,6.166148312839996
2030,sc01,01-09 15:00:00+01:00,6.2118418624799965
2030,sc01,01-09 17:00:00+01:00,6.257535412119997
2030,sc01,01-09 19:00:00+01:00,6.303228961759997
2030,sc01,01-09 21:00:00+01:00,6.348922511399997
2030,sc01,01-09 23:00:00+01:00,6.394616061039997
2030,sc01,01-10 01:00:00+01:00,6.440309610679997
2030,sc01,01-10 03:00:00+01:00,6.4860031603199975
2030,sc01,01-10 05:00:00+01:00,6.531696709959998
2030,sc01,01-10 07:00:00+01:00,6.577390259599998
2030,sc01,01-10 09:00:00+01:00,6.623083809239998
2030,sc01,01-10 11:00:00+01:00,6.668777358879998
2030,sc01,01-10 13:00:00+01:00,6.714470908519998
2030,sc01,01-10 15:00:00+01:00,6.7601644581599984
2030,sc01,01-10 17:00:00+01:00,6.805858007799999
2030,sc01,01-10 19:00:00+01:00,6.851551557439999
2030,sc01,01-10 21:00:00+01:00,6.897245107079999
2030,sc01,01-10 23:00:00+01:00,6.942938656719999
2030,sc01,01-11 01:00:00+01:00,6.988632206359999
2030,sc01,01-11 03:00:00+01:00,7.034325755999999
2030,sc01,01-11 05:00:00+01:00,7.08001930564
2030,sc01,01-11 07:00:00+01:00,7.12571285528
2030,sc01,01-11 09:00:00+01:00,7.17140640492
2030,sc01,01-11 11:00:00+01:00,7.21709995456
2030,sc01,01-11 13:00:00+01:00,7.2627935042
2030,sc01,01-11 15:00:00+01:00,7.30848705384
2030,sc01,01-11 17:00:00+01:00,7.354180603480001
2030,sc01,01-11 19:00:00+01:00,7.399874153120001
2030,sc01,01-11 21:00:00+01:00,7.445567702760001
2030,sc01,01-11 23:00:00+01:00,7.491261252400001
2030,sc01,01-12 01:00:00+01:00,7.536632953120001
2030,sc01,01-12 03:00:00+01:00,7.58200465384
2030,sc01,01-12 05:00:00+01:00,7.62737635456
2030,sc01,01-12 07:00:00+01:00,7.67274805528
2030,sc01,01-12 09:00:00+01:00,7.718119755999999
2030,sc01,01-12 11:00:00+01:00,7.763491456719999
2030,sc01,01-12 13:00:00+01:00,7.8088631574399985
2030,sc01,01-12 15:00:00+01:00,7.854234858159998
2030,sc01,01-12 17:00:00+01:00,7.899606558879998
2030,sc01,01-12 19:00:00+01:00,7.944978259599997
2030,sc01,01-12 21:00:00+01:00,7.990349960319997
2030,sc01,01-12 23:00:00+01:00,8.035721661039997
2030,sc01,01-13 01:00:00+01:00,8.080863468659997
2030,sc01,01-13 03:00:00+01:00,8.126005276279997
2030,sc01,01-13 05:00:00+01:00,8.171147083899998
2030,sc01,01-13 07:00:00+01:00,8.216288891519998
2030,sc01,01-13 09:00:00+01:00,8.261430699139998
2030,sc01,01-13 11:00:00+01:00,8.306572506759998
2030,sc01,01-13 13:00:00+01:00,8.351714314379999
2030,sc01,01-13 15:00:00+01:00,8.396856121999999
2030,sc01,01-13 17:00:00+01:00,8.44199792962
2030,sc01,01-13 19:00:00+01:00,8.48713973724
2030,sc01,01-13 21:00:00+01:00,8.53228154486
2030,sc01,01-13 23:00:00+01:00,8.57742335248
2030,sc01,01-14 01:00:00+01:00,8.622234113480001
2030,sc01,01-14 03:00:00+01:00,8.667044874480002
2030,sc01,01-14 05:00:00+01:00,8.711855635480003
2030,sc01,01-14 07:00:00+01:00,8.756666396480004
2030,sc01,01-14 09:00:00+01:00,8.801477157480004
2030,sc01,01-14 11:00:00+01:00,8.846287918480005
2030,sc01,01-14 13:00:00+01:00,8.891098679480006
2030,sc01,01-14 15:00:00+01:00,8.935909440480007
2030,sc01,01-14 17:00:00+01:00,8.980720201480008
2030,sc01,01-14 19:00:00+01:00,9.025530962480008
2030,sc01,01-14 21:00:00+01:00,9.07034172348001
2030,sc01,01-14 23:00:00+01:00,9.11515248448001
2030,sc01,01-15 01:00:00+01:00,9.15973335240001
2030,sc01,01-15 03:00:00+01:00,9.204314220320011
2030,sc01,01-15 05:00:00+01:00,9.248895088240012
2030,sc01,01-15 07:00:00+01:00,9.293475956160012
2030,sc01,01-15 09:00:00+01:00,9.338056824080013
2030,sc01,01-15 11:00:00+01:00,9.382637692000014
2030,sc01,01-15 13:00:00+01:00,9.427218559920014
2030,sc01,01-15 15:00:00+01:00,9.471799427840015
2030,sc01,01-15 17:00:00+01:00,9.516380295760015
2030,sc01,01-15 19:00:00+01:00,9.560961163680016
2030,sc01,01-15 21:00:00+01:00,9.605542031600017
2030,sc01,01-15 23:00:00+01:00,9.650122899520017
2030,sc01,01-16 01:00:00+01:00,9.694345134780017
2030,sc01,01-16 03:00:00+01:00,9.738567370040016
2030,sc01,01-16 05:00:00+01:00,9.782789605300016
2030,sc01,01-16 07:00:00+01:00,9.827011840560015
2030,sc01,01-16 09:00:00+01:00,9.871234075820015
2030,sc01,01-16 11:00:00+01:00,9.915456311080014
2030,sc01,01-16 13:00:00+01:00,9.959678546340013
2030,sc01,01-16 15:00:00+01:00,10.003900781600013
2030,sc01,01-16 17:00:00+01:00,10.048123016860012
2030,sc01,01-16 19:00:00+01:00,10.092345252120012
2030,sc01,01-16 21:00:00+01:00,10.136567487380011
2030,sc01,01-16 23:00:00+01:00,10.18078972264001
2030,sc01,01-17 01:00:00+01:00,10.224313084440011
2030,sc01,01-17 03:00:00+01:00,10.267836446240011
2030,sc01,01-17 05:00:00+01:00,10.311359808040011
2030,sc01,01-17 07:00:00+01:00,10.354883169840011
2030,sc01,01-17 09:00:00+01:00,10.398406531640012
2030,sc01,01-17 11:00:00+01:00,10.441929893440012
2030,sc01,01-17 13:00:00+01:00,10.485453255240012
2030,sc01,01-17 15:00:00+01:00,10.528976617040012
2030,sc01,01-17 17:00:00+01:00,10.572499978840012
2030,sc01,01-17 19:00:00+01:00,10.616023340640012
2030,sc01,01-17 21:00:00+01:00,10.659546702440013
2030,sc01,01-17 23:00:00+01:00,10.703070064240013
2030,sc01,01-18 01:00:00+01:00,10.746538250440013
2030,sc01,01-18 03:00:00+01:00,10.790006436640013
2030,sc01,01-18 05:00:00+01:00,10.833474622840013
2030,sc01,01-18 07:00:00+01:00,10.876942809040013
2030,sc01,01-18 09:00:00+01:00,10.920410995240013
2030,sc01,01-18 11:00:00+01:00,10.963879181440014
2030,sc01,01-18 13:00:00+01:00,11.007347367640014
2030,sc01,01-18 15:00:00+01:00,11.050815553840014
2030,sc01,01-18 17:00:00+01:00,11.094283740040014
2030,sc01,01-18 19:00:00+01:00,11.137751926240014
2030,sc01,01-18 21:00:00+01:00,11.181220112440014
2030,sc01,01-18 23:00:00+01:00,11.224688298640014
2030,sc01,01-19 01:00:00+01:00,11.268156484840015
2030,sc01,01-19 03:00:00+01:00,11.311624671040015
2030,sc01,01-19 05:00:00+01:00,11.355092857240015
2030,sc01,01-19 07:00:00+01:00,11.398561043440015
2030,sc01,01-19 09:00:00+01:00,11.442029229640015
2030,sc01,01-19 11:00:00+01:00,11.485497415840015
2030,sc01,01-19 13:00:00+01:00,11.528965602040016
2030,sc01,01-19 15:00:00+01:00,11.572433788240016
2030,sc01,01-19 17:00:00+01:00,11.615901974440016
2030,sc01,01-19 19:00:00+01:00,11.659370160640016
2030,sc01,01-19 21:00:00+01:00,11.702838346840016
2030,sc01,01-19 23:00:00+01:00,11.746306533040016
2030,sc01,01-20 01:00:00+01:00,11.789747133180017
2030,sc01,01-20 03:00:00+01:00,11.833187733320017
2030,sc01,01-20 05:00:00+01:00,11.876628333460017
2030,sc01,01-20 07:00:00+01:00,11.920068933600017
2030,sc01,01-20 09:00:00+01:00,11.963509533740018
2030,sc01,01-20 11:00:00+01:00,12.006950133880018
2030,sc01,01-20 13:00:00+01:00,12.050390734020018
2030,sc01,01-20 15:00:00+01:00,12.093831334160019
2030,sc01,01-20 17:00:00+01:00,12.137271934300019
2030,sc01,01-20 19:00:00+01:00,12.18071253444002
2030,sc01,01-20 21:00:00+01:00,12.22415313458002
2030,sc01,01-20 23:00:00+01:00,12.26759373472002
2030,sc01,01-21 01:00:00+01:00,12.31055615682002
2030,sc01,01-21 03:00:00+01:00,12.35351857892002
2030,sc01,01-21 05:00:00+01:00,12.396481001020021
2030,sc01,01-21 07:00:00+01:00,12.439443423120021
2030,sc01,01-21 09:00:00+01:00,12.482405845220022
2030,sc01,01-21 11:00:00+01:00,12.525368267320022
2030,sc01,01-21 13:00:00+01:00,12.568330689420023
2030,sc01,01-21 15:00:00+01:00,12.611293111520023
2030,sc01,01-21 17:00:00+01:00,12.654255533620024
2030,sc01,01-21 19:00:00+01:00,12.697217955720024
2030,sc01,01-21 21:00:00+01:00,12.740180377820025
2030,sc01,01-21 23:00:00+01:00,12.783142799920025
2030,sc01,01-22 01:00:00+01:00,12.825838545180025
2030,sc01,01-22 03:00:00+01:00,12.868534290440024
2030,sc01,01-22 05:00:00+01:00,12.911230035700024
2030,sc01,01-22 07:00:00+01:00,12.953925780960024
2030,sc01,01-22 09:00:00+01:00,12.996621526220023
2030,sc01,01-22 11:00:00+01:00,13.039317271480023
2030,sc01,01-22 13:00:00+01:00,13.082013016740023
2030,sc01,01-22 15:00:00+01:00,13.124708762000022
2030,sc01,01-22 17:00:00+01:00,13.167404507260022
2030,sc01,01-22 19:00:00+01:00,13.210100252520022
2030,sc01,01-22 21:00:00+01:00,13.252795997780021
2030,sc01,01-22 23:00:00+01:00,13.29549174304002
2030,sc01,01-23 01:00:00+01:00,13.337838049820022
2030,sc01,01-23 03:00:00+01:00,13.380184356600022
2030,sc01,01-23 05:00:00+01:00,13.422530663380023
2030,sc01,01-23 07:00:00+01:00,13.464876970160024
2030,sc01,01-23 09:00:00+01:00,13.507223276940024
2030,sc01,01-23 11:00:00+01:00,13.549569583720025
2030,sc01,01-23 13:00:00+01:00,13.591915890500026
2030,sc01,01-23 15:00:00+01:00,13.634262197280027
2030,sc01,01-23 17:00:00+01:00,13.676608504060027
2030,sc01,01-23 19:00:00+01:00,13.718954810840028
2030,sc01,01-23 21:00:00+01:00,13.761301117620029
2030,sc01,01-23 23:00:00+01:00,13.80364742440003
2030,sc01,01-24 01:00:00+01:00,13.84599373118003
2030,sc01,01-24 03:00:00+01:00,13.888340037960031
2030,sc01,01-24 05:00:00+01:00,13.930686344740032
2030,sc01,01-24 07:00:00+01:00,13.973032651520032
2030,sc01,01-24 09:00:00+01:00,14.015378958300033
2030,sc01,01-24 11:00:00+01:00,14.057725265080034
2030,sc01,01-24 13:00:00+01:00,14.100071571860035
2030,sc01,01-24 15:00:00+01:00,14.142417878640035
2030,sc01,01-24 17:00:00+01:00,14.184764185420036
2030,sc01,01-24 19:00:00+01:00,14.227110492200037
