Period,Scenario,LoadLevel,Aggreko_Boutoute,Boutoute,Centrale_C_Cap_CTag,Contour_Global,Dakar_CCGT_25,Dakar_OCGT_25,Diesel_Bel_Air,FKK_PV_25,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,LS_PV_2029,Malicounda_Power,Manantali,Secondary_Plants
2030,sc01,01-02 13:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,15.541491989134848,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-02 15:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,52.688420015837096,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-02 17:00:00+01:00,,,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,28.473790817006094,0.0,,200.0,
2030,sc01,01-02 19:00:00+01:00,,,,,,,65.57767302663514,0.0,,161.41434249,,0.0,,200.0,
2030,sc01,01-02 21:00:00+01:00,,,4.788994324396486,,,,161.28979444999996,,17.877214342,160.64547380710724,,,,200.0,
2030,sc01,01-02 23:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,62.86782368099023,200.0,13.176499999999997
2030,sc01,01-03 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,115.27176623771717,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-03 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,156.22767218084277,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-03 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,67.19313586109129,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-03 07:00:00+01:00,,,69.74201695425991,38.217981243,,,161.28979444999996,,17.877214342,155.46514555267487,,,,200.0,
2030,sc01,01-03 09:00:00+01:00,,,32.04475147674303,38.217981243,,,161.28979444999996,0.0,17.877214342,137.61656236279373,,0.0,,200.0,
2030,sc01,01-03 11:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,64.33548108120941,200.0,13.176499999999997
2030,sc01,01-03 13:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,1.617755916861141,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-03 15:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,55.909451898230905,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
