Time,Dakar>Thies,Diourbel>Thies,FKK>Thies,LS>Thies,Thies>Dakar,Thies>Diourbel,Thies>FKK,Thies>LS,TotalExportsCountriesIn,TotalImportsCountriesIn
2030-01-05 03:00:00,186.3,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,186.3
2030-01-05 04:00:00,206.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,206.5
2030-01-05 05:00:00,200.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,200.8
2030-01-05 06:00:00,161.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,161.5
2030-01-05 07:00:00,145.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,145.9
2030-01-05 08:00:00,143.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,143.0
2030-01-05 09:00:00,126.4,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,126.4
2030-01-05 10:00:00,132.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,132.8
2030-01-05 11:00:00,140.6,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,140.6
2030-01-05 12:00:00,97.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,97.5
2030-01-05 13:00:00,63.4,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,63.4
2030-01-05 14:00:00,33.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,33.1
2030-01-05 15:00:00,87.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,87.0
2030-01-05 16:00:00,110.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,110.1
2030-01-05 17:00:00,112.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,112.7
2030-01-05 18:00:00,119.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,119.9
2030-01-05 19:00:00,74.6,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,74.6
2030-01-05 20:00:00,83.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,83.5
2030-01-05 21:00:00,91.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,91.8
2030-01-05 22:00:00,92.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,92.1
2030-01-05 23:00:00,91.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,91.8
2030-01-06 00:00:00,125.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,125.7
2030-01-06 01:00:00,160.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,160.9
2030-01-06 02:00:00,175.4,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,175.4
2030-01-06 03:00:00,186.3,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,186.3
2030-01-06 04:00:00,206.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,206.5
2030-01-06 05:00:00,200.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,200.8
2030-01-06 06:00:00,161.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,161.5
2030-01-06 07:00:00,145.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,145.9
2030-01-06 08:00:00,143.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,143.0
2030-01-06 09:00:00,126.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,126.5
2030-01-06 10:00:00,130.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,130.9
2030-01-06 11:00:00,54.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,54.7
2030-01-06 12:00:00,53.6,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,53.6
2030-01-06 13:00:00,26.2,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,26.2
2030-01-06 14:00:00,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2030-01-06 15:00:00,7.3,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,7.3
2030-01-06 16:00:00,59.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,59.8
2030-01-06 17:00:00,126.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,126.5
2030-01-06 18:00:00,122.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,122.8
2030-01-06 19:00:00,75.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,75.0
2030-01-06 20:00:00,73.6,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,73.6
2030-01-06 21:00:00,79.6,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,79.6
2030-01-06 22:00:00,92.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,92.1
2030-01-06 23:00:00,91.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,91.8
2030-01-07 00:00:00,125.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,125.7
2030-01-07 01:00:00,160.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,160.9
2030-01-07 02:00:00,175.4,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,175.4
2030-01-07 03:00:00,186.3,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,186.3
2030-01-07 04:00:00,206.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,206.5
2030-01-07 05:00:00,200.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,200.8
2030-01-07 06:00:00,161.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,161.5
2030-01-07 07:00:00,145.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,145.9
2030-01-07 08:00:00,143.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,143.0
2030-01-07 09:00:00,128.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,128.0
2030-01-07 10:00:00,139.2,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,139.2
2030-01-07 11:00:00,103.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,103.9
2030-01-07 12:00:00,48.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,48.1
2030-01-07 13:00:00,23.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,23.7
