Region,Sector,Technology,Type,PathwayScenario,Year,Value
Thies,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2045,0.21868822057768617
Thies,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2050,0.2551362573406344
Thies,Power,P_Oil,TotalCapacity,ID_ID,2022,0.235
Thies,Power,P_Oil,TotalCapacity,ID_ID,2025,0.09999999999999998
Thies,Power,P_Oil,TotalCapacity,ID_ID,2030,0.09999999999999998
Thies,Power,P_Coal_Hardcoal,TotalCapacity,ID_ID,2022,0.02
Thies,Power,P_Coal_Hardcoal,TotalCapacity,ID_ID,2025,0.02
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2022,0.1245
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2025,0.17487293263237697
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2030,0.33017998101132423
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2035,0.4854950859887238
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2040,0.6408021343676717
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2045,0.9245444309623457
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2050,3.424544430962346
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2022,0.1587
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2025,0.25970374997205453
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2030,0.25970374997205453
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2035,0.25970374997205453
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2040,0.25970374997205453
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2045,0.178803975445529
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2050,2.4442753857404638
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2022,0.025
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2025,0.04606597746480686
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2030,0.058250914586971014
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2035,0.3082490297963269
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2040,0.5223055394133297
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2045,0.9178744909774058
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2050,1.1991979077151593
LS,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2040,0.15809267555657036
LS,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2045,0.5080926755565703
LS,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2050,0.7
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2022,0.056
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2025,0.07952348539809136
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2030,0.10055828640825917
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2035,0.12159417860486726
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2040,0.14262897961503507
