names,values
EB2_EnergyBalanceEachTS|2022|2344|Heat_Low_Residential|Diourbel,-340.839996208201
EB2_EnergyBalanceEachTS|2022|2417|Heat_Low_Residential|Diourbel,-339.76811143401335
EB2_EnergyBalanceEachTS|2022|2490|Heat_Low_Residential|Diourbel,-339.51263430691625
EB2_EnergyBalanceEachTS|2022|2563|Heat_Low_Residential|Diourbel,-336.3267782868183
EB2_EnergyBalanceEachTS|2022|2636|Heat_Low_Residential|Diourbel,-336.35241420917885
EB2_EnergyBalanceEachTS|2022|2709|Heat_Low_Residential|Diourbel,-336.37295051257524
EB2_EnergyBalanceEachTS|2022|2782|Heat_Low_Residential|Diourbel,-336.39031678256146
EB2_EnergyBalanceEachTS|2022|2855|Heat_Low_Residential|Diourbel,-336.40919915548295
EB2_EnergyBalanceEachTS|2022|2928|Heat_Low_Residential|Diourbel,-336.43262983721036
EB2_EnergyBalanceEachTS|2022|3001|Heat_Low_Residential|Diourbel,-336.4584035871105
EB2_EnergyBalanceEachTS|2022|3074|Heat_Low_Residential|Diourbel,-336.48514212978773
EB2_EnergyBalanceEachTS|2022|3147|Heat_Low_Residential|Diourbel,-336.511191534767
EB2_EnergyBalanceEachTS|2022|3220|Heat_Low_Residential|Diourbel,-336.5362761469693
EB2_EnergyBalanceEachTS|2022|3293|Heat_Low_Residential|Diourbel,-336.559293346078
EB2_EnergyBalanceEachTS|2022|3366|Heat_Low_Residential|Diourbel,-336.5792783393161
EB2_EnergyBalanceEachTS|2022|3439|Heat_Low_Residential|Diourbel,-336.59705809192104
EB2_EnergyBalanceEachTS|2022|3512|Heat_Low_Residential|Diourbel,-336.6140108792885
EB2_EnergyBalanceEachTS|2022|3585|Heat_Low_Residential|Diourbel,-336.6326175971309
EB2_EnergyBalanceEachTS|2022|3658|Heat_Low_Residential|Diourbel,-336.65370521068553
EB2_EnergyBalanceEachTS|2022|3731|Heat_Low_Residential|Diourbel,-336.67823851272954
EB2_EnergyBalanceEachTS|2022|3804|Heat_Low_Residential|Diourbel,-336.70635533080247
EB2_EnergyBalanceEachTS|2022|3877|Heat_Low_Residential|Diourbel,-336.73846914752295
EB2_EnergyBalanceEachTS|2022|3950|Heat_Low_Residential|Diourbel,-336.77444213535153
EB2_EnergyBalanceEachTS|2022|4023|Heat_Low_Residential|Diourbel,-336.81151774349667
EB2_EnergyBalanceEachTS|2022|4096|Heat_Low_Residential|Diourbel,-337.29322500489883
EB2_EnergyBalanceEachTS|2022|4169|Heat_Low_Residential|Diourbel,-337.6366912331714
EB2_EnergyBalanceEachTS|2022|4242|Heat_Low_Residential|Diourbel,-337.57725999816694
EB2_EnergyBalanceEachTS|2022|4315|Heat_Low_Residential|Diourbel,-337.19597389307336
EB2_EnergyBalanceEachTS|2022|4388|Heat_Low_Residential|Diourbel,-336.96354151964573
EB2_EnergyBalanceEachTS|2022|4461|Heat_Low_Residential|Diourbel,-336.9924853029561
EB2_EnergyBalanceEachTS|2022|4534|Heat_Low_Residential|Diourbel,-337.0185347079354
EB2_EnergyBalanceEachTS|2022|4607|Heat_Low_Residential|Diourbel,-337.0412762519649
EB2_EnergyBalanceEachTS|2022|4680|Heat_Low_Residential|Diourbel,-337.06222603798005
EB2_EnergyBalanceEachTS|2022|4753|Heat_Low_Residential|Diourbel,-337.082900168916
EB2_EnergyBalanceEachTS|2022|4826|Heat_Low_Residential|Diourbel,-337.10302298969367
EB2_EnergyBalanceEachTS|2022|4899|Heat_Low_Residential|Diourbel,-337.119700121982
EB2_EnergyBalanceEachTS|2022|4972|Heat_Low_Residential|Diourbel,-337.1318289454644
EB2_EnergyBalanceEachTS|2022|5045|Heat_Low_Residential|Diourbel,-337.14189035585326
EB2_EnergyBalanceEachTS|2022|5118|Heat_Low_Residential|Diourbel,-337.1512626285442
EB2_EnergyBalanceEachTS|2022|5191|Heat_Low_Residential|Diourbel,-337.1606349012352
EB2_EnergyBalanceEachTS|2022|5264|Heat_Low_Residential|Diourbel,-337.16821541591173
EB2_EnergyBalanceEachTS|2022|5337|Heat_Low_Residential|Diourbel,-337.17193675948016
EB2_EnergyBalanceEachTS|2022|5410|Heat_Low_Residential|Diourbel,-337.1723502420989
EB2_EnergyBalanceEachTS|2022|5483|Heat_Low_Residential|Diourbel,-337.17221241455934
EB2_EnergyBalanceEachTS|2022|5556|Heat_Low_Residential|Diourbel,-337.1740041725738
EB2_EnergyBalanceEachTS|2022|5629|Heat_Low_Residential|Diourbel,-337.1795172741567
EB2_EnergyBalanceEachTS|2022|5702|Heat_Low_Residential|Diourbel,-337.18695996129367
EB2_EnergyBalanceEachTS|2022|5775|Heat_Low_Residential|Diourbel,-337.1912326150204
EB2_EnergyBalanceEachTS|2022|5848|Heat_Low_Residential|Diourbel,-337.1877869265311
EB2_EnergyBalanceEachTS|2022|5921|Heat_Low_Residential|Diourbel,-337.1755202755091
EB2_EnergyBalanceEachTS|2022|5994|Heat_Low_Residential|Diourbel,-337.1560865924293
EB2_EnergyBalanceEachTS|2022|6067|Heat_Low_Residential|Diourbel,-337.1304506700687
EB2_EnergyBalanceEachTS|2022|6140|Heat_Low_Residential|Diourbel,-337.1001286113626
EB2_EnergyBalanceEachTS|2022|6213|Heat_Low_Residential|Diourbel,-337.07394137884376
EB2_EnergyBalanceEachTS|2022|6286|Heat_Low_Residential|Diourbel,-337.0553346610014
EB2_EnergyBalanceEachTS|2022|6359|Heat_Low_Residential|Diourbel,-337.0466515260083
EB2_EnergyBalanceEachTS|2022|6432|Heat_Low_Residential|Diourbel,-337.0426545273607
EB2_EnergyBalanceEachTS|2022|6505|Heat_Low_Residential|Diourbel,-337.0425166998211
EB2_EnergyBalanceEachTS|2022|6578|Heat_Low_Residential|Diourbel,-337.0445841129147
EB2_EnergyBalanceEachTS|2022|6651|Heat_Low_Residential|Diourbel,-337.05202680005164
EB2_EnergyBalanceEachTS|2022|6724|Heat_Low_Residential|Diourbel,-337.0664986917068
EB2_EnergyBalanceEachTS|2022|6797|Heat_Low_Residential|Diourbel,-337.08772413280104
EB2_EnergyBalanceEachTS|2022|6870|Heat_Low_Residential|Diourbel,-337.11184395222637
