Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,FKK,Gas_Bio,2050,0.7872516525413562
Final Energy Demand [TWh],Industry,ZS,H2,2035,0.046454424283863455
Final Energy Demand [TWh],Industry,ZS,H2,2040,0.09081839947495297
Final Energy Demand [TWh],Industry,ZS,H2,2045,0.15439127910741998
Final Energy Demand [TWh],Industry,ZS,H2,2050,0.21614779075038879
Final Energy Demand [TWh],Industry,ZS,Oil,2022,0.03893973243055556
Final Energy Demand [TWh],Industry,ZS,Oil,2025,0.03883342810972221
Final Energy Demand [TWh],Industry,ZS,Oil,2030,0.002195077455702795
Final Energy Demand [TWh],Industry,ZS,Oil,2035,0.0028947721812848893
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2030,0.01590860775351942
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2035,0.26967945843556473
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2040,0.5703569687577804
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2045,0.6174223732962208
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2050,0.164197711038718
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2022,0.18979785641666652
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2025,0.1922442105326307
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2030,0.1756946812461306
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2035,0.15228262527481914
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2040,0.007275000842026781
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2045,0.007434048376573644
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2050,0.0011548654150323491
Final Energy Demand [TWh],Industry,ZS,Biomass,2022,0.21878142279166704
Final Energy Demand [TWh],Industry,ZS,Biomass,2025,0.25177835903590984
Final Energy Demand [TWh],Industry,ZS,Biomass,2030,0.31237231730857745
Final Energy Demand [TWh],Industry,ZS,Biomass,2035,0.47972082600304555
Final Energy Demand [TWh],Industry,ZS,Biomass,2040,0.7014725599124081
Final Energy Demand [TWh],Industry,ZS,Biomass,2045,1.24407121900445
Final Energy Demand [TWh],Industry,ZS,Biomass,2050,1.9400102752599815
Final Energy Demand [TWh],Industry,ZS,Power,2025,0.06514112127762474
Final Energy Demand [TWh],Industry,ZS,Power,2030,0.13832404502324225
Final Energy Demand [TWh],Industry,ZS,Power,2035,0.1422324628572914
Final Energy Demand [TWh],Industry,ZS,Power,2040,0.18893092728841474
Final Energy Demand [TWh],Industry,ZS,Power,2045,0.2939635931218053
Final Energy Demand [TWh],Industry,ZS,Power,2050,0.4218706456892098
Final Energy Demand [TWh],Industry,ZS,Gas_Bio,2030,0.11000000000000036
