Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
LS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.03012028454116671
LS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.031893083670585895
LS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.027751285450237678
LS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.004855416068105398
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.026069979744547493
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.07630078860023111
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.13479856949979058
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2045,0.1988515978500232
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2050,0.006563603045608473
LS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2022,0.06259999998434992
LS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2025,0.06233388139130037
LS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2030,0.04488803263742371
LS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2035,0.022405689799865857
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2022,0.01654117646728
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2025,0.016517546218960014
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2030,0.0010287141758902926
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2035,0.0016255627011114594
LS,Industry,CO2,HMI_Oil,Emissions,ID_ID,2022,0.06702371311608003
LS,Industry,CO2,HMI_Oil,Emissions,ID_ID,2025,0.06676596348371984
LS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2030,0.03926075790737432
LS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2035,0.05710705784828087
LS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2040,0.08693871643937333
LS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2045,0.10552948550885795
LS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2050,0.005287504428953329
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2025,0.036599951290588566
