Model,Scenario,Region,Variable,Unit,2030
GENeSYS-MOD 4.0,ID_2030,Diourbel,Discharging Efficiency|Electricity|Battery|Lithium-Ion,-,0.95
GENeSYS-MOD 4.0,ID_2030,Diourbel,Discharging Efficiency|Electricity|Hydro|Pumped Storage,-,0.866
GENeSYS-MOD 4.0,ID_2030,Diourbel,Emission Rate|CO2|Electricity|Coal|Hard coal|w/o CCS,tons/MWh,0.67455945348696
GENeSYS-MOD 4.0,ID_2030,Diourbel,Emission Rate|CO2|Electricity|Coal|Lignite|w/o CCS,tons/MWh,0.8290976849049599
GENeSYS-MOD 4.0,ID_2030,Diourbel,Emission Rate|CO2|Electricity|Gas|Fossil|CCGT|w/o CCS,tons/MWh,0.20088
GENeSYS-MOD 4.0,ID_2030,Diourbel,Emission Rate|CO2|Electricity|Gas|Fossil|OCGT|w/o CCS,tons/MWh,0.20088
GENeSYS-MOD 4.0,ID_2030,Diourbel,Emission Rate|CO2|Electricity|Oil|w/o CCS,tons/MWh,0.6821289796752
GENeSYS-MOD 4.0,ID_2030,Diourbel,Final Energy|Electricity,MWh/yr,876862.5999308056
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Battery|Lithium-Ion,EUR/MW/yr,280.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Biomass|w/o CCS,EUR/MW/yr,41900.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MW/yr,36000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MW/yr,42000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Gas|Fossil|CCGT|w/o CCS,EUR/MW/yr,21000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Gas|Fossil|OCGT|w/o CCS,EUR/MW/yr,8000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Hydro|Pumped Storage,EUR/MW/yr,22500.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Hydro|Run of River,EUR/MW/yr,76800.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Nuclear,EUR/MW/yr,115000.0
