,Dakar-0,Dakar-1,Dakar-2,Dakar-3,Dakar-4,Dakar-5,Dakar-6,Dakar-7,Dakar-8,Dakar-9,Dakar-10,Dakar-11,Dakar-12,Dakar-13,Dakar-14,Dakar-15
2030-06-14 20:00:00,758.2736851310226,768.131889477355,760.6170287871181,720.4223361244366,758.1293905709181,772.0913322066197,759.6127386487914,758.9662990195235,730.3036276003858,687.2576744300414,768.9687979259606,763.9877497111567,768.2415533430345,772.8878381783961,726.8174710282635,709.3116549963978
2030-06-14 21:00:00,767.6643751026168,770.7349633416386,766.3022344552313,724.999359570948,767.3122963759621,777.6553304442455,769.7826192449494,768.258868690247,736.9584927124008,707.2569004605112,773.6958877149808,768.7610137594103,770.1693286660292,774.7174932005198,731.561876164496,727.7063255185066
2030-06-14 22:00:00,787.9925927301247,790.9015710618291,786.5958213883141,719.9490499672941,787.6289704386616,795.9230217534624,796.7714737668765,788.6044016649672,726.274923482271,725.8131808899369,788.794870484305,789.6260071505066,789.2392977294268,793.8682672175759,725.6342556354074,733.0394524599651
2030-06-14 23:00:00,783.9638886120099,786.6593109947598,782.5728890526035,730.344030077215,783.6002663205466,792.1944503203648,791.7673384224557,784.5699257644483,736.8603724115296,723.0888995951659,785.9032074998128,784.4083158571314,784.431402986748,789.6144635856981,735.2962193799982,729.8418850080518
2030-06-15 00:00:00,762.556347674921,763.5952685076729,742.054976575288,731.4695276460294,762.2042689482665,770.9081168137639,767.9875949172507,763.1450694801471,737.8300318554313,761.2288377219606,763.7857373270106,761.6270907078488,761.4423936709152,748.184609488523,731.7754321134507,766.192570589552
2030-06-15 01:00:00,738.2225130589152,739.4461309286005,719.4815355925558,716.5436983488303,737.8819778970689,747.4977673824261,742.8630261118726,738.7939195169287,721.1726678369794,736.9411773651883,740.3869314604812,737.3221150038638,736.9007748883589,725.1205670014358,714.5062591601561,742.0722919225007
2030-06-15 02:00:00,711.4991605275806,710.8354055511002,690.2416859330003,689.0065244985067,711.1701689305424,719.6085148054478,715.4066572152076,712.0532516383814,689.8838354239415,710.2639990930868,711.3433224026677,710.6333931669541,710.3332604819369,695.1881034533792,685.2029198941548,716.0242379324544
2030-06-15 03:00:00,691.6557726220235,690.0627606784709,666.8255647192585,667.26999196438,691.3325528073897,700.1518363209705,695.3958876199296,692.1925483856119,672.4415089985216,690.4494700995507,691.6673161868318,690.8130923910138,690.3224908866589,669.0534727272703,665.6481211088065,694.3685103519863
2030-06-15 04:00:00,674.1672719373703,672.4011065216924,660.5747243755359,639.1383245264263,673.8555956875448,682.9923272333554,675.6737071448603,674.6925041361503,644.9101069306023,672.9956001093226,674.9695496915507,673.3476788359774,672.8224466371972,661.7810268980087,637.3086695043025,676.8915532321414
2030-06-15 05:00:00,671.9970817534002,669.4517257131586,645.7643307264203,641.6952241314763,671.6854055035745,679.8986518647171,674.4212303631541,672.516542169776,645.4815133886157,670.8311817077565,671.5757416378954,671.1774886520071,670.6580282356313,647.2823094987185,638.8439636238134,673.7170729098444
2030-06-15 06:00:00,681.0299212159355,684.3775550103576,652.4595983152644,636.17162837068,680.71824496611,690.3224908866589,684.9027872091376,681.5609251971198,640.2407349656239,679.8467058230793,683.3097752655849,680.2045563321384,679.6735523509542,655.0626721795478,632.8239945762579,684.8219822554792
2030-06-15 07:00:00,690.6399389188886,694.5070331296864,636.6102838333973,611.8262501898656,690.3224908866589,699.6554630342114,694.9456885924037,691.1824864648811,615.7799211367262,689.4451799612241,693.6989835931017,689.803030470283,689.2893418363112,639.6462413779939,607.6301643820296,693.6932118106977
2030-06-15 08:00:00,707.153008377236,712.8208986981368,638.6765819340923,610.3833045888216,706.4719380535432,722.2693064937728,712.468819971482,705.8428137714881,618.3252771769678,704.070876573406,713.3230437673001,705.4561043504083,708.66521536713,648.6963961877417,609.5348525754076,713.2133799016208
2030-06-15 09:00:00,726.9848527179846,734.0091119038667,665.463424071873,613.119129448401,726.6500893385424,741.4085369460201,733.2876391033448,727.7294126481233,622.4059273367202,722.9272896878491,733.5185103995118,729.2762503324426,728.3296780181576,677.3994700837088,613.2057061844637,735.0595763014268
2030-06-15 10:00:00,735.8445387083946,741.3335037747661,666.6985855063666,621.3381475919476,735.9368872268615,752.0401601345123,740.975653265707,736.871915976338,625.9093992560552,733.3742158394074,739.1864007204126,737.6164759064768,732.4449588723351,672.7358699011346,618.3829950010096,740.4388775021188
2030-06-15 11:00:00,751.2840566395654,754.8856488597712,671.2756089528781,591.7058167289082,749.3101070573374,766.1521681127227,751.7515710143036,755.3069889752761,595.278550037093,751.4283511996698,754.5855161747539,753.2176037449644,749.3274224045499,678.6057726061816,587.959929948598,756.2016152479233
2030-06-15 12:00:00,760.0052198522753,759.895555986596,664.1647730309334,608.7614337332482,754.0083379343365,771.9932119057488,759.1048217972238,760.4958213566302,610.9431674820265,761.0210535554103,764.3917744794489,761.0903149442605,756.9692623076787,674.2192179790078,606.1179573921355,765.5807616547092
2030-06-15 13:00:00,761.1480327683021,763.3124511698682,667.3969711772719,617.3671612978745,756.8307395299784,774.7463521125406,760.420788185376,762.7064140174298,622.0249896980446,764.4264051738741,767.375785982408,767.4161884592373,762.6775551054088,677.7804077223844,618.8389658109394,770.5502663047049
2030-06-15 14:00:00,752.778948282247,760.6054852223097,652.8982537779817,625.4072541868917,752.3345210371255,768.1953790838013,752.1267368705752,756.778793488341,632.6450693217283,760.7728669120307,759.8436099449584,761.1711198979187,757.2982539047168,663.7838353922577,630.1343439759116,760.484277791822
2030-06-15 15:00:00,758.2159673069808,763.5317789012269,654.9241494018476,638.4687977675419,755.5263167066349,771.0408678090598,753.5350517771941,757.990867793218,640.4831498265993,761.3442733700441,760.3111243196967,764.5129819099368,759.370323787816,668.1473028898148,636.9739061248603,762.7295011470464
2030-06-15 16:00:00,762.0484308233536,769.07846179164,662.6352506938267,632.3103059422862,759.0528757555862,775.0638001447704,760.9633357313684,760.7844104768391,634.4112347374062,764.1551314008777,763.2143308689973,769.1304078332774,764.6457329052328,677.1281963107126,632.9105713123204,765.8174047332805
2030-06-15 17:00:00,735.7752773195444,739.7000893543842,652.2114116718849,617.8750781494421,731.5734197293043,748.4327961319027,733.7782406076996,732.3237514418473,622.7580060633749,741.3854498164037,736.1619867406243,741.593233982954,737.8415754202396,667.1660998811049,621.6036495825397,739.7866660904468
