Timestep,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
112,610.16397685746289881,79.70681033371023716,218.1113003884225634,80.34231516251612959,87.393157517240055654,62.550475311940566314,85.180923006603364911
113,599.52658188656664606,78.917633993772511758,215.43933506168158942,83.924122809363225883,91.010100278020672704,65.291984620848779741,89.0816468503562362
114,593.95681186653678196,77.163908793910891859,215.43933506168158942,82.879808662964833843,94.529287829050488767,64.240716128211118985,86.632355134511414008
115,622.95424666511689793,90.746510466839069409,246.5281584275394664,86.331741605059846734,108.93156288163994816,66.556629391695068421,92.924313408992787799
116,619.41614405135703691,94.228531851164305522,251.97560347624627752,86.312754075125326381,108.8025260047688505,66.808170532672718878,95.777284685412027443
117,613.40194678620559898,101.51876750698902185,254.86106724313845007,86.41072972958743037,113.40581883193532065,65.978373895194707188,93.907658675650480973
118,600.90026609876053953,104.21336627657638019,252.0575523724659206,86.705416194171107236,114.35013415812832704,66.002660626047727987,96.473064961727956756
119,601.2292576957985375,102.27725365592915807,243.81090555288761834,83.559562234620514687,111.18677557059153571,63.608104615039728458,94.123559204676809031
120,559.86289320506932654,97.462401119709113573,238.11977036542239716,79.345849591552720881,109.43011445136916393,60.400521375952216374,87.448785706459673861
121,537.35294182878305946,92.948312455265323706,227.63893784890817074,75.798219498587769749,103.7867061924538632,57.65207300108600208,82.00591522680451817
122,513.68863397166148843,89.06731858797158452,216.84971869661993082,72.456414230112955011,99.253797116307993065,55.107748816484416921,80.826626622879231832
123,498.10482148038641981,86.546338613170519238,211.55754524075038603,70.101960518232971253,95.800105555811242652,53.372982326983326118,82.822345798752792234
124,483.67536546994654145,84.091123333364265591,209.18534035018132045,68.88675860242395288,93.356225312040550079,52.447773532582750988,82.096629734798767686
125,484.25254371036413659,81.986653093530321712,203.57831060883626151,68.88675860242395288,90.521324229266539874,52.447773532582750988,74.113753031304511865
126,511.95709925040875987,81.022104233606441426,202.0687256784741237,70.405760997185225847,89.641527341509103621,53.604284525583480558,74.839469095258550624
127,495.21893027829844414,79.180692773751744085,199.91217577795680427,70.557661236661346038,86.806626258735093415,53.719935624883547121,69.487313123597630238
128,502.72224740372723772,71.02587059439525774,200.55914074811198589,71.241212314303936637,81.82111056144286465,54.240365571733875072,76.109472207178086478
129,559.86289320506932654,69.535204174512884379,205.30355052925011705,74.886818061730991758,82.89641786870197393,57.015991954935607566,73.660180491333250075
130,549.47368487755261413,69.885949214485208358,207.46010042976743648,76.077715939223836017,83.482949127206936168,58.732254268548679477,94.266888127307723266
131,539.08447655003578802,68.921400354561328072,205.0878955391983709,68.203207524781376492,82.89641786870197393,53.315156777333299942,89.444504882333234264
132,522.92348581834312427,72.165791974305292911,206.81313545961225486,81.454984416678769321,82.4076418199478411,63.718551414871292593,74.113753031304511865
133,529.84962470335426588,74.094889694153067694,206.59748046956053713,79.345090090355341772,83.776214756459424393,62.18617434914533959,74.02303852331027656
134,532.15833766502464641,71.990419454319138026,205.30355052925011705,78.209635800271286143,81.430089722439561228,61.289878329569773996,87.902358246430935651
135,540.81601127128863027,74.357948474132314232,203.36265561878454378,75.494419019635515156,82.603152239449485705,59.170571934895953348,85.453066530586113458
136,533.31269414585983668,77.426967573890138397,206.38182547950879098,75.722269378849702548,84.167235595462742026,59.331905218419549897,81.461628178838992653
137,551.78239783922299466,77.076222533917814417,201.20610571826719593,81.403338335256876235,88.663975244000809539,63.469901551376132431,92.996885015388187412
138,556.39982376256375574,75.585556114035441055,211.55754524075038603,82.281321719428902384,91.107855487771516323,64.088056677135014638,85.271637514597614427
139,600.36349033517217322,87.944057597460215447,243.76777455487729185,85.376289098755009377,106.1211006013036382,66.077255585096267509,87.902358246430935651
140,585.35108430191041862,92.165274153527107615,251.01162567071500575,86.288450036809138055,107.95498833622916379,66.759018815470184904,112.29548944608552574
141,580.17956726776878895,99.601945863540279902,254.82656244473017182,88.418850895461829964,112.07146021883652054,67.474899120137635578,82.45948776677577996
142,566.78903209008046815,103.3180895620470352,254.98183403756740972,86.630985076827812463,115.07352271028445045,65.945991587390693667,86.088068086545888491
143,575.44670569634445201,102.78320337608924717,252.5319933505797394,86.374273672113162093,114.28561571969278532,65.75111948507006332,85.815924562563125733
144,563.90314088799254932,98.619859751617781285,242.56441971038861993,80.798015880944504374,110.63054842710933201,61.506145885260913531,88.809503326373473442
145,532.15833766502464641,91.859249106151267483,226.97256392964831662,76.867597184499700802,102.76614180265522691,58.513673690871542021,82.00591522680451817
146,511.95709925040875987,88.891946067985415425,218.69141231166173611,72.684264589327142403,99.887250875493350577,55.33905101508455715,80.735912114884968105
147,483.67536546994654145,86.107907313205117816,211.12623526064692214,69.646259799804596469,98.427765593913491671,53.026029029083119326,74.839469095258550624
148,469.24590945950654941,83.038888213447293651,205.95051549940532709,67.899407045829121898,93.258470102289720671,51.696041387132289913,78.195905891045896396
149,458.27952289157224186,80.495986673647948351,201.20610571826719593,67.291806087924612712,91.596631536525649153,51.233436989931995242,76.835188271132111026
150,464.0513052957481932,80.583672933641040004,198.40259084759466646,68.279157644519443693,88.175199195246676709,51.927343585732430142,68.761597059643605689
151,457.70234465115464673,77.777712613862462376,193.01121609630132525,67.519656447138800104,82.309886610197011692,51.406913638882109296,81.643057194827505896
152,434.03803679403313254,69.710576694499039263,184.60067148428370842,67.519656447138800104,77.910902171409759376,51.406913638882109296,66.856592391764294803
153,457.70234465115464673,67.255361414692785615,185.8946014245941285,62.582898664164645197,80.648048044432925963,47.64825291162975418,69.033740583626368448
154,448.46749280447312458,65.413949954838102485,184.60067148428370842,68.203207524781376492,71.556813537605947317,52.910377929783045658,91.62981737991478326
155,416.14551134108762653,65.063204914865778505,181.58150162355946122,67.823456926091054697,73.023141683868360019,53.315156777333299942,76.109472207178086478
156,420.18575902401079247,67.869165234644356133,183.73805152407678065,70.177910637971038454,71.654568747356776726,54.818621068234236304,80.6451976068907328
157,429.42061087069237146,69.535204174512884379,187.40418635495626631,71.924763391946498814,74.782735459383260945,56.206434259835106104,65.042302231879233432
158,441.54135391946192613,68.833714094568236419,188.05115132511147635,72.152613751160700417,74.782735459383260945,56.206434259835106104,86.360211610528651249
159,469.24590945950654941,73.568772134194603041,187.40418635495626631,71.62096291299424422,74.489469830130772721,55.917306511584925488,75.293041635229812414
160,517.15170341416717292,76.374732453973166457,191.50163116593921586,74.279217103826496782,77.715391751908100559,57.858510213336629135,73.206607951361988285
161,528.69526822251907561,77.251595053903969301,193.87383605650828144,80.442569320570370905,84.753766853967704265,62.434824212640492647,79.647338018953945493
