Region,Sector,Technology,Type,PathwayScenario,Year,Value
Diourbel,Resources,RES_Wood,TotalCapacity,NZ_NZ,2035,3.3677825113351045
Diourbel,Resources,RES_Wood,TotalCapacity,NZ_NZ,2040,4.992000000000006
Diourbel,Resources,RES_Wood,TotalCapacity,NZ_NZ,2045,4.992000000000006
Diourbel,Resources,RES_Wood,TotalCapacity,NZ_NZ,2050,4.992000000000006
Diourbel,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2022,0.05680660169330298
Diourbel,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2025,0.08298088137808214
Diourbel,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2030,0.1248380527676307
Diourbel,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2035,0.029901221815420185
Diourbel,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2040,0.00711117706165691
Diourbel,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2022,0.15929371405011825
Diourbel,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2025,0.15970184840398746
Diourbel,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2030,0.14455538737158513
Diourbel,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2035,0.14694314284044716
Diourbel,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2040,0.11251319579869533
Diourbel,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2045,0.04931905909172637
Thies,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2035,0.46400000000000047
Thies,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2040,0.46400000000000047
Thies,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2045,1.208486494109441
Thies,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2050,2.4409224951339925
Thies,Resources,RES_Grass,TotalCapacity,NZ_NZ,2022,0.7121747736249965
Thies,Resources,RES_Grass,TotalCapacity,NZ_NZ,2025,0.8391492825879979
Thies,Resources,RES_Grass,TotalCapacity,NZ_NZ,2030,1.632000000000002
Thies,Resources,RES_Grass,TotalCapacity,NZ_NZ,2035,1.632000000000002
Thies,Resources,RES_Grass,TotalCapacity,NZ_NZ,2040,1.648000000000002
Thies,Resources,RES_Grass,TotalCapacity,NZ_NZ,2045,1.648000000000002
Thies,Resources,RES_Grass,TotalCapacity,NZ_NZ,2050,1.680000000000002
Thies,Resources,RES_Residues,TotalCapacity,NZ_NZ,2040,3.036000000000003
Thies,Resources,RES_Residues,TotalCapacity,NZ_NZ,2045,3.256000000000004
Thies,Resources,RES_Residues,TotalCapacity,NZ_NZ,2050,3.476000000000004
Thies,Resources,RES_Wood,TotalCapacity,NZ_NZ,2035,4.896000000000006
Thies,Resources,RES_Wood,TotalCapacity,NZ_NZ,2040,4.896000000000006
Thies,Resources,RES_Wood,TotalCapacity,NZ_NZ,2045,4.896000000000006
Thies,Resources,RES_Wood,TotalCapacity,NZ_NZ,2050,4.896000000000006
Thies,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2022,0.21647123511000552
Thies,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2025,0.3227085672466722
Thies,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2030,0.4051893569720477
Thies,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2035,0.08211979621382258
Thies,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2040,0.021403703761907332
Thies,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2022,0.40118733614826274
Thies,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2025,0.24336112558375364
Thies,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2030,0.17431318472078633
Thies,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2035,0.09093127690511642
Thies,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2040,0.08092542012912564
Thies,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2045,0.0533433765697054
LS,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2035,0.4000000000000004
LS,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2040,0.4000000000000004
LS,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2045,2.0495567140022413
LS,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2050,2.0495567140022413
LS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2022,0.9287330315000026
LS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2025,1.2863046182376634
LS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2030,1.8900000000000021
LS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2035,1.9260000000000024
LS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2040,1.9440000000000024
LS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2045,1.9800000000000024
LS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2050,2.0160000000000027
LS,Resources,RES_Residues,TotalCapacity,NZ_NZ,2045,2.1272665690372374
LS,Resources,RES_Residues,TotalCapacity,NZ_NZ,2050,4.420000000000005
LS,Resources,RES_Wood,TotalCapacity,NZ_NZ,2030,0.8738791428124659
LS,Resources,RES_Wood,TotalCapacity,NZ_NZ,2035,1.7509308877249288
LS,Resources,RES_Wood,TotalCapacity,NZ_NZ,2040,2.458097648791912
LS,Resources,RES_Wood,TotalCapacity,NZ_NZ,2045,5.904000000000005
LS,Resources,RES_Wood,TotalCapacity,NZ_NZ,2050,5.904000000000005
LS,Resources,Z_Import_Gas,TotalCapacity,NZ_NZ,2025,0.21513332400969232
LS,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2022,0.021139861317224833
LS,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2025,0.03222373610924642
LS,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2030,0.02505678913425652
LS,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2035,0.010835511688127075
LS,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2040,0.003466496240836469
LS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2022,0.20072183601418248
LS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2025,0.20176757250029556
LS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2030,0.1705994683063592
LS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2035,0.16678641782967712
LS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2040,0.09602026981857442
LS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2045,0.036894017697807396
LS,Resources,R_Gas,TotalCapacity,NZ_NZ,2030,2.0354380237307357
LS,Resources,R_Gas,TotalCapacity,NZ_NZ,2035,2.853524090002003
LS,Resources,R_Gas,TotalCapacity,NZ_NZ,2040,3.497107738682712
LS,Resources,R_Gas,TotalCapacity,NZ_NZ,2045,3.497107738682712
LS,Resources,R_Gas,TotalCapacity,NZ_NZ,2050,3.497107738682712
FKK,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2035,0.5491217326346045
FKK,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2040,0.5491217326346045
FKK,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2045,1.718193007554527
FKK,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2050,1.8065319826282262
FKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2022,1.393099547250003
FKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2025,1.6474604643042627
FKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2030,2.1838145848462642
FKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2035,3.6480000000000037
FKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2040,3.776000000000004
FKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2045,3.9040000000000044
FKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2050,4.0320000000000045
FKK,Resources,RES_Residues,TotalCapacity,NZ_NZ,2045,0.6987018061411133
FKK,Resources,RES_Residues,TotalCapacity,NZ_NZ,2050,4.967442562228227
FKK,Resources,RES_Wood,TotalCapacity,NZ_NZ,2035,1.2928500752404228
FKK,Resources,RES_Wood,TotalCapacity,NZ_NZ,2040,2.936281356750578
FKK,Resources,RES_Wood,TotalCapacity,NZ_NZ,2045,8.800000000000011
FKK,Resources,RES_Wood,TotalCapacity,NZ_NZ,2050,8.800000000000011
FKK,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2022,0.021929702289447024
FKK,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2025,0.0437653081918972
FKK,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2030,0.08193395913403334
