Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,LS,Gas_Bio,2040,0.11111111111111069
Final Energy Demand [TWh],Industry,LS,Gas_Bio,2045,0.7572406372470618
Final Energy Demand [TWh],Industry,LS,Gas_Bio,2050,0.8794898537086165
Final Energy Demand [TWh],Industry,FKK,H2,2035,0.14457479794764785
Final Energy Demand [TWh],Industry,FKK,H2,2040,0.2493068191048739
Final Energy Demand [TWh],Industry,FKK,H2,2045,0.4212930038430587
Final Energy Demand [TWh],Industry,FKK,H2,2050,0.44891199718627117
Final Energy Demand [TWh],Industry,FKK,Gas_Synth,2045,0.0013711382920279138
Final Energy Demand [TWh],Industry,FKK,Gas_Synth,2050,0.007894116120198254
Final Energy Demand [TWh],Industry,FKK,Oil,2022,0.28294529682222186
Final Energy Demand [TWh],Industry,FKK,Oil,2025,0.28202306655
Final Energy Demand [TWh],Industry,FKK,Oil,2030,0.006221116670277404
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2025,0.02800755562046168
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2030,0.18373744516698493
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2035,0.12590788182717666
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2040,0.2714498373071885
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2022,0.1921041920555555
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2025,0.38338409976102045
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2030,0.7177414820141285
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2035,0.20136207401103962
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2040,0.0703773409089433
Final Energy Demand [TWh],Industry,FKK,Biomass,2022,0.3869720964583339
Final Energy Demand [TWh],Industry,FKK,Biomass,2025,0.45762790675118337
Final Energy Demand [TWh],Industry,FKK,Biomass,2030,0.606615162457295
Final Energy Demand [TWh],Industry,FKK,Biomass,2035,1.3235500622938556
Final Energy Demand [TWh],Industry,FKK,Biomass,2040,1.815377903305999
Final Energy Demand [TWh],Industry,FKK,Biomass,2045,2.500008731148676
Final Energy Demand [TWh],Industry,FKK,Biomass,2050,3.0986568716557175
Final Energy Demand [TWh],Industry,FKK,Power,2025,0.021214531865023502
Final Energy Demand [TWh],Industry,FKK,Power,2030,0.08180831758088311
Final Energy Demand [TWh],Industry,FKK,Power,2035,0.244562105866372
Final Energy Demand [TWh],Industry,FKK,Power,2040,0.5266527727618768
Final Energy Demand [TWh],Industry,FKK,Power,2045,1.0708198765825834
Final Energy Demand [TWh],Industry,FKK,Power,2050,2.1313654224578937
Final Energy Demand [TWh],Industry,FKK,Gas_Bio,2035,0.14000000000000018
Final Energy Demand [TWh],Industry,FKK,Gas_Bio,2040,0.14503922024078414
Final Energy Demand [TWh],Industry,FKK,Gas_Bio,2045,0.3990103056477056
Final Energy Demand [TWh],Industry,FKK,Gas_Bio,2050,0.5802015440927022
Final Energy Demand [TWh],Industry,ZS,H2,2035,0.005176103205648629
Final Energy Demand [TWh],Industry,ZS,H2,2040,0.03951072318210758
Final Energy Demand [TWh],Industry,ZS,H2,2045,0.034700190793608914
Final Energy Demand [TWh],Industry,ZS,H2,2050,0.051496320588974034
Final Energy Demand [TWh],Industry,ZS,Gas_Synth,2045,0.0034021779453608145
Final Energy Demand [TWh],Industry,ZS,Oil,2022,0.038939732430555374
Final Energy Demand [TWh],Industry,ZS,Oil,2025,0.03883342810972219
Final Energy Demand [TWh],Industry,ZS,Oil,2030,0.005512951101539016
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2025,0.017685886652633414
