Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
Diourbel,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2040,0.13367694138267674
Diourbel,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2022,0.07511999998121996
Diourbel,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2025,0.0809364342760556
Diourbel,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2030,0.053865639164908455
Diourbel,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2035,0.026886827759839027
Diourbel,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2022,0.013058823526799993
Diourbel,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2025,0.013040168067600012
Diourbel,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2030,0.002500955533287944
Diourbel,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2022,0.05585309426339977
Diourbel,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2025,0.0556383029031
Diourbel,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2022,0.09309743587367995
Diourbel,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2025,0.13249136698202713
Diourbel,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2030,0.2819722370068005
Diourbel,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2035,0.04180139539987224
Thies,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2025,0.15335750118947392
Thies,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2030,0.1598648301172765
Thies,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2035,0.0665604067671906
Thies,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2040,0.06715324144649831
Thies,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2025,0.020810255071190633
Thies,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2030,0.13375989279238523
Thies,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2035,0.18330122826026501
Thies,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2040,0.3089261146516381
Thies,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2045,0.05521937732855698
Thies,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2022,0.19374699995156333
Thies,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2025,0.20887210035562023
Thies,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2030,0.1390106852372286
Thies,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2035,0.06938665183769786
Thies,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2022,0.019588235290200012
Thies,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2025,0.019560252101400038
Thies,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2030,0.0006264133351974322
Thies,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2022,0.07447079235119941
Thies,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2025,0.07418440387079878
Thies,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2022,0.43556300355185973
Thies,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2025,0.5679622413418741
Thies,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2030,0.9009835262675693
Thies,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2035,0.1140122721302578
Thies,Industry,CO2,HMI_Gas,Emissions,NZ_NZ,2035,0.1678428380343527
Thies,Industry,CO2,HMI_Gas,Emissions,NZ_NZ,2040,0.03212429058325324
Thies,Industry,CO2,HMI_Gas,Emissions,NZ_NZ,2045,0.023039349371546468
LS,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2025,0.027974878404898682
LS,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2030,0.02931089307332626
LS,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2035,0.010692490525169726
LS,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2040,0.01142302549457396
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2025,0.008615360106598748
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2030,0.055263043454803915
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2035,0.0831481619275825
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2040,0.14246425733668275
LS,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2022,0.0625999999843499
LS,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2025,0.06744702856337956
LS,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2030,0.04488803263742371
LS,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2035,0.022405689799865857
