,Dakar>Thies,Diourbel>Thies,FKK>MTKK,FKK>Thies,FKK>ZS,LS>Thies,MTKK>ZS
2030-10-15 02:00:00,191.77050375273396,-128.8032241664359,-131.59904091866187,0.0,0.0,-86.96516560367536,53.71873717726601
2030-10-15 03:00:00,190.3525476921677,-124.40312763998315,-126.5265230846914,0.0,0.0,-85.03299455753891,52.259798559595644
2030-10-15 04:00:00,186.19177926514928,-121.427055975818,-122.04444671761598,0.0,0.0,-84.09273207518174,51.586709161669205
2030-10-15 05:00:00,172.6084001226236,-119.86360996014137,-119.83713408144229,0.0,0.0,-82.47043751757667,50.47992814136751
2030-10-15 06:00:00,151.81367219458843,-115.99226158144688,-119.66704001647588,0.0,0.0,-81.67903726990606,49.95082436206968
2030-10-15 07:00:00,136.24415086198405,-108.67308945982448,-110.21117857727825,0.0,0.0,-78.56963936782972,47.62623726613822
2030-10-15 08:00:00,100.2292962280644,-98.2604313284155,-99.04454958070924,0.0,0.0,-75.5259380400149,48.42769938428773
2030-10-15 09:00:00,55.34251111523554,-87.92358423213089,-85.912113208155,0.0,0.0,-69.26933776165049,52.53215689844728
2030-10-15 10:00:00,0.0,-84.43581876701603,-68.80017517915786,0.0,0.0,-64.52036226884263,56.01152022088996
2030-10-15 11:00:00,0.0,-84.76020908245334,-51.85528270547974,0.0,0.0,-78.01470035886585,71.77187377800732
2030-10-15 12:00:00,0.0,-82.08418575918085,-34.79134589143712,-8.200948118835186,0.0,-80.59124448189061,76.8385484383435
2030-10-15 13:00:00,0.0,-80.76266898617826,-16.296725796628664,-20.742926651682406,0.0,-75.3687336534457,75.20266363874396
2030-10-15 14:00:00,0.0,-80.6730928421142,0.0,-38.38949887543049,0.0,-69.1182138715418,70.47311193286748
2030-10-15 15:00:00,0.0,-95.3005051655898,-50.44846498124923,0.0,0.0,-75.16352846320069,70.89003414584425
2030-10-15 16:00:00,0.0,-97.81318717936028,-62.44678897597771,0.0,0.0,-69.47019079345955,62.985859764180816
2030-10-15 17:00:00,63.52784768275978,-101.83955250876159,-84.38160944118782,0.0,0.0,-73.50281912756213,59.12195653656545
2030-10-15 18:00:00,114.64437332169564,-102.16335918076004,-101.45057379610988,0.0,0.0,-78.99318562645556,54.9215086099868
2030-10-15 19:00:00,207.69386510488675,-121.85139420417865,-129.51040011574787,0.0,0.0,-87.60083588486577,55.16206289653093
2030-10-15 20:00:00,222.63342372506395,-124.35577705958688,-133.5688083951411,0.0,0.0,-87.65707119448905,54.857322249875274
2030-10-15 21:00:00,237.3069368897732,-131.4986997986233,-136.39491150903743,0.0,0.0,-89.79051005793121,56.30006971364367
2030-10-15 22:00:00,248.41355446987288,-138.8757448518411,-137.67843741306586,0.0,0.0,-90.53406173016698,56.973737367066576
2030-10-15 23:00:00,248.58139124887657,-140.0130356439514,-139.30997186380716,0.0,0.0,-91.58141388135482,57.63063561109101
2030-10-16 00:00:00,185.7054804393392,-136.89491223859747,-137.28643902196507,0.0,0.0,-90.42469355774416,56.58861920639731
2030-10-16 01:00:00,122.32867216223347,-130.6297289620918,-133.7613861583502,0.0,0.0,-88.38391384038232,54.9215086099868
2030-10-16 02:00:00,168.38550759359805,-125.92974542646265,-129.83944714314703,0.0,0.0,-86.68263115824969,53.71873717726601
2030-10-16 03:00:00,169.7611872923744,-122.08908723876584,-125.15795014817984,0.0,0.0,-84.61906640496646,52.259798559595644
2030-10-16 04:00:00,172.27898602652567,-119.0525120552054,-120.48231846579772,0.0,0.0,-83.68184192739875,51.586709161669205
2030-10-16 05:00:00,175.92184392882427,-118.81400542802417,-119.71787272554629,0.0,0.0,-82.21676411765155,50.47992814136751
2030-10-16 06:00:00,167.64013220776087,-115.04700369872148,-119.23984974986472,0.0,0.0,-81.34865424904545,49.95082436206968
2030-10-16 07:00:00,148.13006311891604,-107.9338942880828,-109.48974512931716,0.0,0.0,-78.2339398385875,47.62623726613822
2030-10-16 08:00:00,120.61439689773304,-97.13933914929805,-99.69111157879831,0.0,0.0,-77.15515680034491,48.42769938428773
