Timestep,Dakar>Thies,Diourbel>Thies,FKK>MTKK,FKK>Thies,FKK>ZS,LS>Thies,MTKK>ZS
2606,135.67696056151908124,-83.484526557056256024,59.99189190764786872,-182.47943070196197368,69.922076381327201489,-51.854376317592482337,0
2607,125.87004334767880209,-85.758621001888627688,26.621292308086253797,-154.24181936748391308,69.75958658681054203,-54.013494471416379383,0
2608,117.47378763862525375,-88.686790774443920782,0,-113.91355115376336471,42.07115556688563629,-57.920854754624087946,14.501272485609661089
2609,110.57413249273849942,-91.302603910498987716,-14.613191419596773812,-68.592698991661563923,0,-64.742458427107976604,55.596332774402696941
2610,120.15739988053337584,-94.522830290489309846,-14.19096017084984851,-84.192952140244415205,0,-74.216824147301622361,55.059711673650383545
2611,260.44407564949506195,-106.4109347341202465,-13.850203330595036277,-109.86338424425775884,0,-90.947239925856365517,59.044470300034390675
2612,340.10860388587025227,-119.6707001881566157,-17.238404285380170222,-124.96805444334404456,0,-98.379709099108936243,60.931317985115072133
2613,334.19515144783144933,-119.32697004898375326,-12.929736484689840381,-128.75666452815994489,0,-98.924271457630879922,61.451747931965371663
2614,337.10295449391742295,-119.44534649997444831,-11.343137946851697961,-131.95622402688695729,0,-98.57717941042790244,61.695771751488564405
2615,319.15102515286162088,-118.79296072562590325,-13.170645956617875072,-127.68972353383742302,0,-99.449086785020881507,62.313926877247411085
2616,281.50719531096910941,-115.56873694568025712,-18.626721406294677763,-120.28734185802159118,0,-95.611327234656528162,59.370028144564059858
2617,231.58714725832214754,-110.10675981071130991,-23.211381431631764372,-110.5372965494507298,0,-89.775320033983689427,54.929604186937808663
2618,188.63609461144278612,-102.83669199468499755,-35.228797122681328347,-91.189217679186640453,0,-85.40666914665018794,51.351359174593540047
2619,207.68297654522302764,-98.029731221864381041,-22.347114594061508797,-99.960293637784161547,0,-81.631188694471120471,48.813974055949984177
2620,207.68297654522302764,-96.739866337366152038,-11.713451678483181695,-107.1236466072082294,0,-80.346872169700418453,47.919412802863917022
2621,184.0186686881015703,-96.427703251790717331,-35.780482302541656736,-82.046804666423668095,0,-81.424604368783548125,49.383555720002846101
2622,165.548964994738526,-94.043513842578931872,-41.424786127647223566,-74.018251275495458685,0,-80.180541407474038351,47.984755673968493284
2623,162.08589555223261414,-88.846349212789050398,-45.273808080899186734,-63.590303706012491602,0,-79.16053129939189148,47.252684215398971901
2624,157.31055063574058295,-84.425946911615710633,-42.460634983734678372,-62.389625288815295789,0,-77.310245485748737337,48.147245468485039055
2625,155.02770674513794802,-80.327404897829751462,-38.432787452452657817,-55.192153141377730208,0,-69.742926197392193899,50.01790199966376349
2626,141.66832624248490902,-80.732073877198672562,0,-90.305794784863792302,13.508103394365321037,-62.520901301848084586,38.477602059889136399
2627,144.93028626584509766,-74.710738888501850852,21.785482960861941137,-154.6873730706402057,66.351926945933882962,-56.308246222171533191,0
2628,152.0041028257473954,-72.866037913880518317,64.934020180785751108,-191.52010557749099462,66.295257907276891274,-50.588845393641918236,0
2629,141.05926726952293393,-76.123065687188613992,59.054696912953886567,-194.1851768268907108,68.930368204829051137,-51.184871352146046775,0
2630,138.89654862926363421,-80.82157909658758399,53.808832974114579883,-184.54000232763701206,69.922076381327201489,-52.492392732134817379,0
2631,117.37909886268153059,-88.707510808661368173,0,-136.76484536884709087,61.970974043936962516,-56.771022394701958547,0
2632,108.6126560099019116,-92.57749678092159229,0,-86.94556698142832829,2.8934563996684801168,-60.551132423092440149,53.678971652826817262
2633,98.161622013868509384,-97.404120279247763392,-14.488297389197271059,-89.344256401545408153,0,-67.431601177080665366,55.596332774402696941
2634,147.16013289961119881,-98.618081782980539174,-14.066066140450345756,-95.485110610813990206,0,-75.722043295546427544,55.059711673650383545
2635,262.55065340242344973,-107.1980112301250756,-13.725309300195476681,-111.15852327433185565,0,-90.408280362209097802,59.044470300034390675
2636,346.91110231647962792,-120.31519419910580382,-17.113510254980610625,-124.66184799874235978,0,-98.006034509997675741,60.931317985115072133
2637,361.01927404521575227,-121.42179480021843574,-12.804842454290337628,-129.5648674747176301,0,-98.489077271531755287,61.451747931965371663
2638,377.80426246105889732,-122.90369259410147151,-11.218243916452195208,-133.65399938217706222,0,-99.112627754581239969,61.695771751488564405
2639,366.96293103318475914,-122.50647383633281606,-13.045751926218372319,-129.51458066180384776,0,-100.24352503748104937,62.313926877247411085
2640,329.14372839779753122,-118.82102032882369258,-18.508765933139557092,-121.8804234463168541,0,-96.397410973945397927,59.370028144564059858
2641,275.61940038008287956,-113.17139459746954344,-23.0934259584766437,-111.98667797941243407,0,-90.361654958361555146,54.929604186937808663
2642,218.11344339563129324,-104.31683606336821413,-35.110841649526207675,-92.448954002231403138,0,-85.651228532206800992,51.351359174593540047
2643,207.68297654522302764,-98.214749230449797324,-22.060009854669544893,-101.22006271419695622,0,-82.015496300345716918,48.813974055949984177
2644,207.68297654522302764,-96.739866337366152038,-8.8082369195756200497,-111.26057700897627001,0,-80.698521224087699011,47.919412802863917022
2645,184.0186686881015703,-96.427703251790717331,-39.238429032634712712,-78.896786847045859759,0,-82.045116847043573216,49.383555720002846101
2646,176.20364981801776594,-94.043513842578931872,-41.306830654492102894,-74.503766337313663826,0,-80.137249839223386516,47.984755673968493284
2647,162.08589555223261414,-88.846349212789050398,-45.155852607744066063,-63.941894130472064717,0,-79.114961227548974421,47.252684215398971901
2648,157.32460077616997296,-86.069552818897932411,-42.3426795105795577,-64.544267380020301061,0,-78.612046255861287136,48.147245468485039055
2649,155.23944236141051078,-81.543234644278072665,-38.314831979297537146,-54.455889845303772745,0,-70.767059392459373157,50.01790199966376349
2650,140.4395040173731104,-79.562767947591510165,0,-73.635341291917484341,1.7773631217942238436,-62.424087432407873166,50.208342332460233592
2651,132.04307499125934555,-79.758727514085535404,0,-106.59042710527410236,41.651767123729769082,-58.461320050057338449,12.700159822204227567
2652,136.9511325827870678,-79.563305992775326558,17.027368512117845967,-145.24614042609982789,66.295257907276891274,-52.433988987221823663,0
2653,125.11376705015209154,-83.398993336079911387,21.120011133712864648,-150.02120514099124193,68.930368204829051137,-53.152837617189334196,0
2654,118.42157461022634379,-89.502345254324836787,3.6325841872806563515,-132.35042175019134447,69.922076381327201489,-55.060802635675941019,0
2655,107.92003296222083009,-92.625653708437312162,0,-88.630526496619040699,24.604776321716940402,-57.641754355811031019,33.154810265093658472
2656,100.89613196826394415,-95.595058148195562353,-11.380384560477125433,-67.2296184115430151,0,-61.734017557462038894,56.572428052495297379
2657,93.874496252060453116,-99.469078070218301946,-14.370341916042150388,-77.699057818058918201,0,-69.232106375360444872,55.596332774402696941
2658,157.58381552440914675,-101.03837406289517276,-13.948110667295225085,-90.459884649369541876,0,-76.939388565244371421,55.059711673650383545
2659,239.31728739955360652,-107.75021920090159711,-13.607353827040356009,-111.78664580342910995,0,-91.41868359396573851,59.044470300034390675
2660,303.46275569267254468,-120.58965219288415938,-16.995554781825489954,-125.93135984276250383,0,-98.472368245189386471,60.931317985115072133
2661,301.67238938914670143,-121.72080494679482854,-12.686886981135216956,-131.08072244730965394,0,-99.146805308463399342,61.451747931965371663
2662,294.05688606501826143,-125.9306222890626259,-11.100288443297074537,-135.86196123980471384,0,-100.31036114285052463,61.695771751488564405
2663,273.53631827728531789,-125.37206081290673865,-12.927796453063251647,-131.12232553156172798,0,-101.27416816232653218,62.313926877247411085
2664,244.92766945639050391,-131.65302761621114769,-23.528480719595052051,-118.43554508894703758,0,-101.98202327828528269,63.06218948971888949
2665,178.8141682222531017,-122.43457110313852354,-28.901480037769488263,-109.60983176237323278,0,-95.763227474132577299,58.312398841464926136
2666,175.9381733222553521,-117.76790834630673999,-33.099282093421606987,-97.958194963220648788,0,-90.767228597762823483,54.067425241655769241
2667,192.09916405394778849,-110.05239432951566414,-5.7560061324840035013,-119.24455812799715204,0,-86.233006449400363636,51.335168020691526181
2668,194.4078770156183964,-107.85059234108939563,0,-133.90879830711764953,11.186907985928485232,-84.969955958156333509,39.074439577761893361
2669,174.20663860100285092,-104.74036069913483971,-12.926667623729827028,-109.87244931316263319,0,-86.438071772693092498,51.44908435350214404
2670,190.3676293326952873,-101.5845322019838477,0,-127.79549719569240551,8.6289638531407035771,-84.17020119731455452,41.047189148091320021
2671,216.91782839190454979,-93.992655811782924502,0,-145.67605723260203376,34.663285935366957347,-83.195761161075211021,14.264604453393587846
2672,187.00656849498318479,-93.006239787584036094,-19.728545071175574321,-84.125028876116630272,0,-83.143516685927124854,50.505371383213514491
2673,163.18119564736571192,-92.927904021644167187,-5.1316774747191402639,-84.449985209855640278,0,-72.134353932544513555,50.635478869926146217
2674,111.1146960626483633,-88.826229495541156211,-32.226664556994194299,-41.895843832805894635,0,-61.50515268669357738,49.952559128559187229
2675,109.63375797847402282,-88.58447593226378558,0,-81.583207660295101959,20.992807620591065643,-60.273255084857623842,34.619716307713588321
2676,102.96736580409469752,-87.683921367271977942,0,-107.37880938988018897,50.584200449642935382,-58.812085076188964194,8.2815889019728388121
2677,94.20232118206058658,-91.072004352725457466,0,-107.15296942536224378,53.363362933032817637,-58.68716151181990881,7.7634054098992919535
2678,108.08905875445907441,-93.425939680543478971,0,-108.92615919342551933,55.163287274521735526,-62.252763188173958042,9.3948491846435331354
2679,104.60846191119890136,-97.533169235969012334,0,-89.788939850924180064,21.886857856996698501,-57.059589604503344162,37.213703226198219909
2680,105.74878733417608601,-102.0982193968603724,-12.071835518402053822,-64.893394329645161633,0,-58.693023084648302756,56.393168848580216945
2681,94.642534508628159529,-105.69922766462627806,-22.243852314028572437,-69.100171699005386472,0,-67.868406359835944386,57.393550857525838182
2682,105.84710880524562526,-109.06315589377675224,-20.046678201639338113,-87.673523038009079755,0,-78.588316253926222998,57.385455280574831249
2683,202.71950877230756305,-119.69224950191676271,-20.059755007946250771,-114.32830287241768019,0,-90.980280192667692063,58.475466891477992704
2684,276.78642089341246901,-133.75399040564525421,-15.204772920860705199,-133.99216085714533619,0,-100.7592263505024448,61.939795571011700304
2685,252.43549071301185904,-132.25455535976357169,-27.448372607308044735,-120.42202297437916059,0,-100.03618121059605528,61.923604417109686437
