Timestep,Hydro|Reservoir_MTKK_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Dakar_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Thies_0,Electricity|Gas|Fossil|OCGT|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Thies_0,Electricity|Oil|w/o CCS_ZS_0,Electricity|Oil|w/o CCS_MTKK_0,Solar|PV|Utility_Dakar_0,Solar|PV|Utility_Diourbel_0,Solar|PV|Utility_Thies_0,Solar|PV|Utility_LS_0,Solar|PV|Utility_FKK_0,Wind|Onshore_Thies_0,Hydro|Run of River_MTKK_0,SlackUnit_Dakar,SlackUnit_Diourbel,SlackUnit_Thies,SlackUnit_LS,SlackUnit_FKK,SlackUnit_ZS,SlackUnit_MTKK
46,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,203.42029596761776133,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
47,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,162.61788970203912186,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
48,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,121.92851153898500627,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
49,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,114.32164636450890782,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
50,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,97.554333665170872791,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
51,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,95.746622770546949255,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
52,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,96.757226981354278905,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
53,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,93.26443698961661255,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
54,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,87.721627491306989555,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
55,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,82.733616064866026818,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
56,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,74.689413395654597139,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
57,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,3.4703846860803673202,3.8739241386284084534,31.179464999310500417,7.5449129595566315487,13.259147965101298894,71.510590355373864213,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
58,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,10.045077649351130233,10.551877055393692473,89.366736407606325088,17.214625149790638403,31.140596565818579933,86.014386021149249473,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
59,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,17.859274001310193825,18.296705733987327136,153.71121260238837181,24.774922987728494661,49.396431225161364864,84.682427401203597128,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
60,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,22.620445088646448539,25.468694451549556135,201.01702821813546507,30.590617767587861664,58.307232156571529913,75.499817503297620647,22.411539899472099791,1500000,1500000,1500000,1500000,1500000,1500000,1500000
