Timestep,Hydro|Reservoir_MTKK_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Dakar_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Thies_0,Electricity|Gas|Fossil|OCGT|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Thies_0,Electricity|Oil|w/o CCS_ZS_0,Electricity|Oil|w/o CCS_MTKK_0,Solar|PV|Utility_Dakar_0,Solar|PV|Utility_Diourbel_0,Solar|PV|Utility_Thies_0,Solar|PV|Utility_LS_0,Solar|PV|Utility_FKK_0,Wind|Onshore_Thies_0,Hydro|Run of River_MTKK_0,SlackUnit_Dakar,SlackUnit_Diourbel,SlackUnit_Thies,SlackUnit_LS,SlackUnit_FKK,SlackUnit_ZS,SlackUnit_MTKK
30,37.734484685083174327,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,0,0,0,0,0,167.94867916489425852,26.019589666569782338,0,0,0,0,0,0,0
31,51.178456636539323199,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,2.222500353879809154,0,0,0,0,0,0,174.95642152141365955,26.019589666569782338,0,0,0,0,0,0,0
32,46.723611571426133082,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,0,0,0,0,0,177.16748760543879371,26.019589666569782338,0,0,0,0,0,0,0
33,16.871444341501966591,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,5.3109530823416175593,5.9729134532844900818,45.852154410750756597,8.6618972803848492958,11.45342742510695544,156.62518403093588404,26.019589666569782338,0,0,0,0,0,0,0
34,0,473.82447791831890527,164.01616543326449005,168.27959718743960593,0,0,0,0,13.3629480610695488,14.529866874780312358,114.28900934178005855,20.534597603754210837,31.035176880959859602,126.08765021357959313,26.019589666569782338,0,0,0,0,0,0,0
35,0,473.82447791831890527,164.01616543326449005,73.671779306757173345,0,0,0,0,19.935603753978035968,21.763425945572461018,169.83342173391042706,30.168692746776898161,48.373361559215993566,118.06191618857151582,26.019589666569782338,0,0,0,0,0,0,0
36,0,473.82447791831890527,164.01616543326449005,23.097838260065032046,0,0,0,0,24.494101565619107674,26.191556912017954772,205.34961307942486997,36.526967929272544211,58.709649876913111655,116.29409756542678167,26.019589666569782338,0,0,0,0,0,0,0
37,0,473.82447791831890527,164.01616543326449005,20.581813894814672494,0,0,0,0,27.105741668649958598,28.363237540834226991,226.3102598725097323,39.766643963191668831,64.114945333347606038,100.23671954926555827,26.019589666569782338,0,0,0,0,0,0,0
38,0,473.82447791831890527,164.01616543326449005,5.4201035499546605934,0,0,0,0,27.517270281829283363,28.265137408654513962,228.06210799135146772,39.127433879215814727,62.490140794122211787,97.447954274559592136,26.019589666569782338,0,0,0,0,0,0,0
39,0,473.82447791831890527,164.01616543326449005,68.294116791485919293,0,0,0,0,26.013624253066851111,26.423034926613187423,214.59814053424878466,36.401465256998349673,57.696726640668678954,110.84880250851082906,26.019589666569782338,0,0,0,0,0,0,0
40,0,473.82447791831890527,164.01616543326449005,129.04201972168749535,0,0,0,0,22.444396829065127008,22.590206789303305612,184.35110128140721031,30.743623544365462408,47.020274967913579189,131.55289140623514754,26.019589666569782338,0,0,0,0,0,0,0
41,0,473.82447791831890527,164.01616543326449005,186.0031823884423261,0,0,0,0,16.742287837166916376,16.371232869342815519,136.05487913038791703,22.115025041846809728,31.503976327819348313,150.76840758116929919,26.019589666569782338,0,0,0,0,0,0,0
42,56.837239468243069496,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,9.0814487679955746557,8.5281567610737010199,72.823279096207457428,11.156355095728770266,14.806908427953581864,158.19206380514813759,26.019589666569782338,0,0,0,0,0,0,0
43,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,29.086951684138966812,12,0,1.8124681154022954654,1.3256774618880484695,13.726064288121500923,1.8335403002274446305,1.8917072323750188101,188.34249484000224584,26.019589666569782338,0,0,0,0,0,0,0
44,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,30.969767562300035024,12,0,0,0,0,0,0,215.42934717440448367,26.019589666569782338,0,0,0,0,0,0,0
45,182.75047807013766032,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,19.485810023602823549,12,0,0,0,0,0,0,234.07529036210735285,26.019589666569782338,0,0,0,0,0,0,0
46,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,19.485810023602823549,12,0,0,0,0,0,0,205.09355513244133817,26.019589666569782338,0,0,0,0,0,0,0
47,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,8.5590356627255914646,12,0,0,0,0,0,0,194.92250339677201509,26.019589666569782338,0,0,0,0,0,0,0
48,140.97637283441136447,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,182.13333665883573076,25.533890659460478645,0,0,0,0,0,0,0
49,80.603646822636790148,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,181.21581441481325214,25.533890659460478645,0,0,0,0,0,0,0
50,27.751586926372393549,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,0,0,0,0,0,199.99547058654837883,25.533890659460478645,0,0,0,0,0,0,0
51,0,473.82447791831890527,164.01616543326449005,188.17014300753106681,0,0,0,0,0,0,0,0,0,227.63194977244233996,25.533890659460478645,0,0,0,0,0,0,0
52,0,473.82447791831890527,164.01616543326449005,140.25924183361286168,0,0,0,0,0,0,0,0,0,244.36823514951873904,25.533890659460478645,0,0,0,0,0,0,0
53,0,473.82447791831890527,164.01616543326449005,139.57152228344813238,0,0,0,0,0,0,0,0,0,240.63387529160121403,25.533890659460478645,0,0,0,0,0,0,0
54,0,473.82447791831890527,164.01616543326449005,198.54157862114499267,0,0,0,0,0,0,0,0,0,226.31550481362754113,25.533890659460478645,0,0,0,0,0,0,0
55,29.145321476951696837,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,0,0,0,0,0,199.69775604199040231,25.533890659460478645,0,0,0,0,0,0,0
56,39.018836247233409154,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,0,0,0,0,0,185.35796193674079291,25.533890659460478645,0,0,0,0,0,0,0
57,22.383395338418605292,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,4.8332483077394581272,5.5089263416236704529,42.716458689757480727,8.2403937630911840984,11.831768871581955338,155.7194817192035714,25.533890659460478645,0,0,0,0,0,0,0
58,22.236535230552089359,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,13.082015503182192973,13.64689203641499482,110.18183958798096,19.691169065649578584,28.904770590536067232,85.465497915425672204,25.533890659460478645,0,0,0,0,0,0,0
59,0,473.82447791831890527,164.01616543326449005,152.41980724199925135,0,0,0,0,19.979088938607262094,20.68145219042816052,167.04679402714094749,29.343283484036579267,44.924263354442039997,80.181988181731071563,25.533890659460478645,0,0,0,0,0,0,0
60,0,473.82447791831890527,164.01616543326449005,93.248260656081356501,0,0,0,0,24.763161754843558526,25.829499667426748744,207.24818809238098538,35.913680311610256979,56.579931480028371027,78.250906743828736012,25.533890659460478645,0,0,0,0,0,0,0
61,0,473.82447791831890527,164.01616543326449005,75.945099372103129554,0,0,0,0,27.339255002587833587,28.538153317055570568,228.44253296278515108,39.624597277863699674,64.292249893036569119,74.576385293130101672,25.533890659460478645,0,0,0,0,0,0,0
62,0,473.82447791831890527,164.01616543326449005,50.224741359067309077,0,0,0,0,27.707228180435787834,28.529757359796942495,229.84117158248855617,39.585924330152010953,65.854800066978341988,80.992392289374123493,25.533890659460478645,0,0,0,0,0,0,0
63,0,473.82447791831890527,164.01616543326449005,110.10314363520200232,0,0,0,0,26.199577861650954702,26.796655024621966135,216.57717868268701977,37.000421755072650853,62.56219764233723879,89.223497637923472325,25.533890659460478645,0,0,0,0,0,0,0
64,0,473.82447791831890527,164.01616543326449005,186.65227345073213883,0,0,0,0,22.65409517497504055,22.924645753438504414,186.183412535731037,31.457755878540261563,52.593244474490376206,92.532339933395761022,25.533890659460478645,0,0,0,0,0,0,0
65,39.180362913001005154,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,16.963858551739740221,16.951511353910365898,138.62969946581486624,22.99270074073154646,37.486070516743446035,93.136633971729409609,25.533890659460478645,0,0,0,0,0,0,0
66,131.46093006415938476,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,9.2713364158999294062,8.9331512256805005734,74.346162263346457166,11.696933356657895686,18.785340711023017946,90.16613723806247549,25.533890659460478645,0,0,0,0,0,0,0
67,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,16.744113518422295783,99.999999999999900524,12,0,1.8897438877644110455,1.333042336676313111,13.489408007291814329,1.9916041192125744086,2.3216406942784302281,98.256880890666366213,25.533890659460478645,0,0,0,0,0,0,0
68,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,52.187625621983215751,99.999999999999900524,12,0,0,0,0,0,0,98.445261061540534797,25.533890659460478645,0,0,0,0,0,0,0
69,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,42.341476736669392267,99.999999999999900524,12,0,0,0,0,0,0,97.150239730001587191,25.533890659460478645,0,0,0,0,0,0,0
70,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,28.38594365348330939,99.999999999999900524,12,0,0,0,0,0,0,96.428485114534638001,25.533890659460478645,0,0,0,0,0,0,0
71,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,89.965763051769272352,12,0,0,0,0,0,0,113.95818344658697185,25.533890659460478645,0,0,0,0,0,0,0
72,179.42547812016016451,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,144.16993038019617757,25.048191652351182057,0,0,0,0,0,0,0
73,96.483330146122966653,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,165.82183009843643617,25.048191652351182057,0,0,0,0,0,0,0
74,55.143433414568278295,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,9.4696941418329103612,0,0,0,0,0,0,163.61962896362885544,25.048191652351182057,0,0,0,0,0,0,0
75,43.810432182327545547,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,0,0,0,0,0,153.78913902706935346,25.048191652351182057,0,0,0,0,0,0,0
76,23.057302936552371619,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,0,0,0,0,0,143.36765247600263251,25.048191652351182057,0,0,0,0,0,0,0
77,24.576955741572167113,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,0,0,0,0,0,137.42592026290066087,25.048191652351182057,0,0,0,0,0,0,0
78,67.536361304069430389,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,127.118200560126553,25.048191652351182057,0,0,0,0,0,0,0
79,97.133362559108789469,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,120.1954139669425814,25.048191652351182057,0,0,0,0,0,0,0
80,102.82927001059265137,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,110.0332271804908828,25.048191652351182057,0,0,0,0,0,0,0
