Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2030,0.0010287141758902895
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2035,0.0016255627011114568
LS,Industry,CO2,HMI_Oil,Emissions,ID_ID,2022,0.06702371311608003
LS,Industry,CO2,HMI_Oil,Emissions,ID_ID,2025,0.06676596348371983
LS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2030,0.039429656486728984
LS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2035,0.061191038321999895
LS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2040,0.08896827971619675
LS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2045,0.10552948550885802
LS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2050,0.009638366534609005
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2025,0.036599951290588566
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2030,0.02907260391871349
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.03938708579533703
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.04169598090635091
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.04140057298131444
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.006480453879559858
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.010068665497416503
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.042363914909745275
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.0800491368276355
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2045,0.12119300094685688
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2050,0.000959642624661653
FKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2022,0.025039999993739962
FKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2025,0.026264376301293572
FKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2030,0.01795521305496957
FKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2035,0.008962275919946385
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2022,0.01828235293751999
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2025,0.018256235294639975
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2030,0.000820351207577767
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2035,0.0017576004871627613
FKK,Industry,CO2,HMI_Oil,Emissions,ID_ID,2022,0.05709427413592006
FKK,Industry,CO2,HMI_Oil,Emissions,ID_ID,2025,0.05687470963427999
FKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2022,0.03989890108871992
FKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2025,0.06602039836727454
FKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2030,0.1361170069182245
FKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2035,0.2110160568073887
FKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2030,0.018007861193992957
FKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2035,0.024476415328800037
FKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2040,0.17954683245673778
FKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2045,0.05546124223618314
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2025,0.0021614144462946006
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2030,0.0016630243232341592
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.0023111051011045014
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.0024592412846387375
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.002517868231094856
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.0003947415765635751
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.0060779128090491606
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.029696794281736084
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.05459251980212729
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2045,0.08018858922444538
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2050,0.0012741397811419156
ZS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2022,0.037559999990610014
ZS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2025,0.027835489098985075
ZS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2030,0.025191239807626865
ZS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2035,0.01389016128431726
ZS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2022,0.004788235293160007
ZS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2025,0.004781394958119997
ZS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2030,0.0005847686341992432
ZS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2035,0.0007711673090942934
ZS,Industry,CO2,HMI_Oil,Emissions,ID_ID,2022,0.005585309426339997
ZS,Industry,CO2,HMI_Oil,Emissions,ID_ID,2025,0.005563830290310009
ZS,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2022,0.02659926739247992
ZS,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2025,0.03498932938317084
ZS,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2030,0.025389384356639053
ZS,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2035,0.03527635226247814
ZS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2030,0.0003688162637608736
ZS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2035,0.024476415328799957
ZS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2040,0.05998078808193549
ZS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2045,0.04383921712330051
ZS,Industry,CO2,HMI_Gas,Emissions,ID_ID,2050,0.011284173328873453
MTKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2025,0.05380892726299122
MTKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2030,0.042576033634089204
MTKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.05792017061885638
MTKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.0613185424969823
MTKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.06259452134359628
MTKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.009350599428776786
MTKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.005664996579010289
MTKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.03244562564710798
MTKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.06446358650325772
MTKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2045,0.09835589004798469
MTKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2050,0.008240722665809722
MTKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2022,0.03255199999186206
MTKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2025,0.02322839341786283
MTKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2030,0.023341776971460438
MTKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2035,0.011650958695930299
MTKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2022,0.013494117644360001
MTKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2025,0.013474840336519984
MTKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2030,0.0007105551524190666
MTKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2035,0.0015078018130194018
MTKK,Industry,CO2,HMI_Oil,Emissions,ID_ID,2022,0.04157952572942
MTKK,Industry,CO2,HMI_Oil,Emissions,ID_ID,2025,0.04141962549452996
MTKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2022,0.05984835163308003
MTKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2025,0.08674056685553094
MTKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2030,0.12503764702491574
MTKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2035,0.20184610014766194
MTKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2030,0.019274902913972033
MTKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2035,0.0244764153288
MTKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2040,0.17326567754118077
MTKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2045,0.0717599293326244
MTKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2050,0.03817547347913714
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,ID_ID,2022,0.004354124402392471
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,ID_ID,2025,0.009748381332605702
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,ID_ID,2030,0.011310193722240467
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,ID_ID,2035,0.013599920756671883
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,ID_ID,2040,0.016321760507212256
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,ID_ID,2045,0.019673985057333348
