Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,Diourbel,Gas_Natural,2035,0.9217097078673335
Final Energy Demand [TWh],Industry,Diourbel,Gas_Natural,2040,2.112295238500779
Final Energy Demand [TWh],Industry,Diourbel,Gas_Natural,2045,2.201291588340419
Final Energy Demand [TWh],Industry,Diourbel,Gas_Natural,2050,2.0813938649688883
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2022,0.49762583083333334
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2025,0.7060391582572365
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2030,0.5207897697640239
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2035,0.624506711261711
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2040,0.10885521166849027
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2045,0.1080863875344807
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2050,0.016599000075221172
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2022,0.25648881343055546
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2025,0.29884087484999994
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2030,0.3057246241781232
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2035,0.4484101536632121
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2040,0.5389512781974007
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2045,1.7077777777777736
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2050,2.759999999999996
Final Energy Demand [TWh],Industry,Diourbel,Power,2025,0.07474852817685707
Final Energy Demand [TWh],Industry,Diourbel,Power,2030,0.2152303940387272
Final Energy Demand [TWh],Industry,Diourbel,Power,2035,0.22145072203465646
Final Energy Demand [TWh],Industry,Diourbel,Power,2040,0.3194869824081882
Final Energy Demand [TWh],Industry,Diourbel,Power,2045,0.42344680341199675
Final Energy Demand [TWh],Industry,Diourbel,Power,2050,1.3626151050457262
Final Energy Demand [TWh],Industry,Diourbel,Gas_Bio,2030,0.10000000000000012
Final Energy Demand [TWh],Industry,Diourbel,Gas_Bio,2050,0.2666666666666669
Final Energy Demand [TWh],Industry,Thies,H2,2035,0.1366073475206848
Final Energy Demand [TWh],Industry,Thies,H2,2040,0.3397899490919642
Final Energy Demand [TWh],Industry,Thies,H2,2045,1.0465404273718892
Final Energy Demand [TWh],Industry,Thies,H2,2050,1.3005807079855922
Final Energy Demand [TWh],Industry,Thies,Gas_Synth,2035,0.19253601863297418
Final Energy Demand [TWh],Industry,Thies,Gas_Synth,2040,0.23194044567739133
Final Energy Demand [TWh],Industry,Thies,Gas_Synth,2045,0.03461831396638896
Final Energy Demand [TWh],Industry,Thies,Gas_Synth,2050,0.18223508631626584
Final Energy Demand [TWh],Industry,Thies,Oil,2022,0.3530744280833335
Final Energy Demand [TWh],Industry,Thies,Oil,2025,0.3518943542500046
Final Energy Demand [TWh],Industry,Thies,Oil,2030,0.00235140140839877
Final Energy Demand [TWh],Industry,Thies,Oil,2035,0.007766711330120445
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2030,1.129103462187937
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2035,1.3958068018540877
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2040,6.173055218579254
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2045,5.825866135664878
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2050,6.6123993497253055
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2022,1.8616436028381975
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2025,2.693685934425077
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2030,2.622607998061702
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2035,3.997934716980457
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2040,0.49435823671150547
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2045,0.4580534728059437
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2050,0.06394464095763301
Final Energy Demand [TWh],Industry,Thies,Biomass,2022,0.19782632600694325
Final Energy Demand [TWh],Industry,Thies,Biomass,2025,0.23309702294111095
Final Energy Demand [TWh],Industry,Thies,Biomass,2030,0.2384343845778201
Final Energy Demand [TWh],Industry,Thies,Biomass,2035,0.36134602320502734
Final Energy Demand [TWh],Industry,Thies,Biomass,2040,0.45777777777777895
Final Energy Demand [TWh],Industry,Thies,Biomass,2045,1.4577777777777736
Final Energy Demand [TWh],Industry,Thies,Biomass,2050,2.2722222222222266
Final Energy Demand [TWh],Industry,Thies,Power,2025,0.14977801063375867
Final Energy Demand [TWh],Industry,Thies,Power,2030,0.3342947742473579
Final Energy Demand [TWh],Industry,Thies,Power,2035,0.3442811727361537
Final Energy Demand [TWh],Industry,Thies,Power,2040,0.4194027978119524
Final Energy Demand [TWh],Industry,Thies,Power,2045,2.833417202395502
Final Energy Demand [TWh],Industry,Thies,Power,2050,5.935610288779766
Final Energy Demand [TWh],Industry,Thies,Gas_Bio,2030,0.09255555555555563
Final Energy Demand [TWh],Industry,Thies,Gas_Bio,2050,0.26527896784866567
Final Energy Demand [TWh],Industry,LS,H2,2035,0.08457256289558901
Final Energy Demand [TWh],Industry,LS,H2,2040,0.21038425709659883
Final Energy Demand [TWh],Industry,LS,H2,2045,0.38952738606168236
Final Energy Demand [TWh],Industry,LS,H2,2050,0.4701069048586316
Final Energy Demand [TWh],Industry,LS,Gas_Synth,2035,0.03792410566112486
Final Energy Demand [TWh],Industry,LS,Gas_Synth,2040,0.011209238335751751
Final Energy Demand [TWh],Industry,LS,Oil,2022,0.31368201795555567
Final Energy Demand [TWh],Industry,LS,Oil,2025,0.3126257871722215
Final Energy Demand [TWh],Industry,LS,Oil,2030,0.003861539699287879
Final Energy Demand [TWh],Industry,LS,Oil,2035,0.006101962091259223
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2030,0.3398169868494672
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2035,0.6641171169280768
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2040,1.1100477524390313
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2045,1.5152383679753223
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2050,0.07383210777200354
Final Energy Demand [TWh],Industry,LS,Hardcoal,2022,0.18518518513888912
Final Energy Demand [TWh],Industry,LS,Hardcoal,2025,0.26715406400484826
Final Energy Demand [TWh],Industry,LS,Hardcoal,2030,0.19251315997971014
Final Energy Demand [TWh],Industry,LS,Hardcoal,2035,0.15538390232230678
Final Energy Demand [TWh],Industry,LS,Hardcoal,2040,0.09434707037801997
Final Energy Demand [TWh],Industry,LS,Hardcoal,2045,0.08786523184740724
Final Energy Demand [TWh],Industry,LS,Hardcoal,2050,0.014381299909449684
Final Energy Demand [TWh],Industry,LS,Biomass,2022,0.25798139763888867
Final Energy Demand [TWh],Industry,LS,Biomass,2025,0.3573068383993516
Final Energy Demand [TWh],Industry,LS,Biomass,2030,0.36554729280103565
Final Energy Demand [TWh],Industry,LS,Biomass,2035,0.5767411585956094
Final Energy Demand [TWh],Industry,LS,Biomass,2040,0.8545179887830315
Final Energy Demand [TWh],Industry,LS,Biomass,2045,1.0910506089684553
Final Energy Demand [TWh],Industry,LS,Biomass,2050,1.6568128978947716
Final Energy Demand [TWh],Industry,LS,Power,2025,0.06462750014384679
Final Energy Demand [TWh],Industry,LS,Power,2030,0.25199851605018986
Final Energy Demand [TWh],Industry,LS,Power,2035,0.2592005985887063
Final Energy Demand [TWh],Industry,LS,Power,2040,0.29115288432306274
Final Energy Demand [TWh],Industry,LS,Power,2045,0.6064538802279363
Final Energy Demand [TWh],Industry,LS,Power,2050,1.642873031117464
Final Energy Demand [TWh],Industry,LS,Gas_Bio,2030,0.0800000000000002
Final Energy Demand [TWh],Industry,LS,Gas_Bio,2050,1.4323137842428506
Final Energy Demand [TWh],Industry,FKK,H2,2035,0.09287681151803147
Final Energy Demand [TWh],Industry,FKK,H2,2040,0.23106957373885154
Final Energy Demand [TWh],Industry,FKK,H2,2045,0.4258463139968408
Final Energy Demand [TWh],Industry,FKK,H2,2050,0.5884360736511476
Final Energy Demand [TWh],Industry,FKK,Gas_Synth,2035,0.040208943739435475
Final Energy Demand [TWh],Industry,FKK,Gas_Synth,2040,0.012177612159353896
Final Energy Demand [TWh],Industry,FKK,Oil,2022,0.2829452968222221
Final Energy Demand [TWh],Industry,FKK,Oil,2025,0.28202306655000003
Final Energy Demand [TWh],Industry,FKK,Oil,2030,0.0030793964248414588
Final Energy Demand [TWh],Industry,FKK,Oil,2035,0.0065975994262866405
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2030,0.15299839107991295
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2035,0.33273760572752553
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2040,1.2922937539046853
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2045,0.8794018477849377
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2050,0.005385866111995811
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2022,0.19210419205555526
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2025,0.38127063649022863
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2030,0.5339221210010184
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2035,0.7672625089417583
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2040,0.12334629306103077
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2045,0.1224724085354229
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2050,0.01880896852338122
Final Energy Demand [TWh],Industry,FKK,Biomass,2022,0.38697209645833347
Final Energy Demand [TWh],Industry,FKK,Biomass,2025,0.4576279067511838
Final Energy Demand [TWh],Industry,FKK,Biomass,2030,0.4679792126269047
Final Energy Demand [TWh],Industry,FKK,Biomass,2035,0.7127880553207723
Final Energy Demand [TWh],Industry,FKK,Biomass,2040,1.0488888888888874
Final Energy Demand [TWh],Industry,FKK,Biomass,2045,2.6753033755359428
Final Energy Demand [TWh],Industry,FKK,Biomass,2050,3.898597891699481
Final Energy Demand [TWh],Industry,FKK,Power,2025,0.04829611774989003
Final Energy Demand [TWh],Industry,FKK,Power,2030,0.24460400425389037
Final Energy Demand [TWh],Industry,FKK,Power,2035,0.2516270818217061
Final Energy Demand [TWh],Industry,FKK,Power,2040,0.275885169606006
Final Energy Demand [TWh],Industry,FKK,Power,2045,0.4068452246344441
Final Energy Demand [TWh],Industry,FKK,Power,2050,1.0910358706179384
Final Energy Demand [TWh],Industry,FKK,Gas_Bio,2030,0.10999999999999989
Final Energy Demand [TWh],Industry,FKK,Gas_Bio,2050,0.866588418633422
Final Energy Demand [TWh],Industry,ZS,H2,2035,0.04645442428386354
Final Energy Demand [TWh],Industry,ZS,H2,2040,0.07897252128256783
Final Energy Demand [TWh],Industry,ZS,H2,2045,0.15439127910742037
Final Energy Demand [TWh],Industry,ZS,H2,2050,0.21614779075038895
Final Energy Demand [TWh],Industry,ZS,Oil,2022,0.03893973243055557
Final Energy Demand [TWh],Industry,ZS,Oil,2025,0.03883342810972226
Final Energy Demand [TWh],Industry,ZS,Oil,2030,0.0021950774557028697
Final Energy Demand [TWh],Industry,ZS,Oil,2035,0.0028947721812848846
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2030,0.03260865881982652
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2035,0.2696794584355637
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2040,0.570356968757779
