,Hydro,WindPower,Solar,NaturalGaz,Oil,Non Served
2030-10-21 07:00:00,0.0,0.0,0.0,692.5126984960045,121.44271465535813,0.0
2030-10-21 08:00:00,0.0,0.0,1.6915930010199671,692.5126984960045,127.94975852662313,0.0
2030-10-21 09:00:00,0.0,0.0,7.988440046628975,692.5126984960045,116.77087672166672,0.0
2030-10-21 10:00:00,0.0,0.0,14.495911869282468,692.5126984960045,91.64037982594537,0.0
2030-10-21 11:00:00,0.0,0.0,19.80436666102897,692.5126984960045,91.11761515265118,0.0
2030-10-21 12:00:00,0.0,0.0,23.70031692871149,690.9041894317149,94.90284589793995,0.0
2030-10-21 13:00:00,0.0,0.0,25.343164723778944,690.4488353737959,90.25786139160073,0.0
2030-10-21 14:00:00,0.0,0.0,25.414372591743085,690.2380168834056,77.76146157105728,0.0
2030-10-21 15:00:00,0.0,0.0,22.961683483658444,692.5126984960045,102.90249400316486,0.0
2030-10-21 16:00:00,0.0,0.0,19.469222514428257,692.5126984960045,106.8442288228398,0.0
2030-10-21 17:00:00,0.0,0.0,13.560080312632854,692.5126984960045,100.03285303814349,0.0
2030-10-21 18:00:00,0.0,0.0,6.818159943569144,692.5126984960045,126.55624500335631,0.0
2030-10-21 19:00:00,0.0,0.0,0.9847831240396819,692.5126984960045,257.1255065475008,0.0
2030-10-21 20:00:00,0.0,0.0,0.0,692.5126984960045,290.72457577115824,0.0
2030-10-21 21:00:00,0.0,0.0,0.0,692.5126984960045,327.72635640711025,0.0
2030-10-21 22:00:00,0.0,0.0,0.0,692.5126984960045,379.5166033749992,0.0
2030-10-21 23:00:00,0.0,0.0,0.0,692.5126984960045,398.67400764297486,0.0
2030-10-22 00:00:00,0.0,0.0,0.0,692.5126984960045,379.5345333537744,0.0
2030-10-22 01:00:00,0.0,0.0,0.0,692.5126984960045,324.5963618755821,0.0
2030-10-22 02:00:00,0.0,0.0,0.0,692.5126984960045,279.74161316294635,0.0
2030-10-22 03:00:00,0.0,0.0,0.0,692.5126984960045,240.95219517206692,0.0
2030-10-22 04:00:00,0.0,0.0,0.0,692.5126984960045,214.89909814181937,0.0
2030-10-22 05:00:00,0.0,0.0,0.0,692.5126984960045,197.09842207314048,0.0
2030-10-22 06:00:00,0.0,0.0,0.0,692.5126984960045,179.36311550711582,0.0
2030-10-22 07:00:00,0.0,0.0,0.0,692.5126984960045,149.70555715299008,0.0
2030-10-22 08:00:00,0.0,0.0,1.8933881429383042,692.5126984960045,153.06796318952718,0.0
2030-10-22 09:00:00,0.0,0.0,8.875464927961701,692.5126984960045,129.15190392144928,0.0
2030-10-22 10:00:00,0.0,0.0,16.077650334819477,692.5126984960045,93.87943365633085,0.0
2030-10-22 11:00:00,0.0,0.0,22.0132068006223,692.5126984960045,91.5655541073924,0.0
2030-10-22 12:00:00,0.0,0.0,25.239527375436033,692.5126984960045,93.85245508656462,0.0
2030-10-22 13:00:00,0.0,0.0,27.87130747663875,692.5126984960045,90.64795931745425,0.0
2030-10-22 14:00:00,0.0,0.0,27.509792972719474,692.5126984960045,80.47582490157852,0.0
2030-10-22 15:00:00,0.0,0.0,25.361342092959582,692.5126984960045,100.83525662338427,0.0
2030-10-22 16:00:00,0.0,0.0,21.236756524469545,692.5126984960045,101.48955802136354,0.0
2030-10-22 17:00:00,0.0,0.0,15.02049142489246,692.5126984960045,90.49903807117518,0.0
2030-10-22 18:00:00,0.0,0.0,7.3599465305363605,692.5126984960045,121.2739115298995,0.0
2030-10-22 19:00:00,0.0,0.0,1.1304216109289602,692.5126984960045,247.35479880790135,0.0
2030-10-22 20:00:00,0.0,0.0,0.0,692.5126984960045,282.2549815552999,0.0
2030-10-22 21:00:00,0.0,0.0,0.0,692.5126984960045,318.871666581668,0.0
2030-10-22 22:00:00,0.0,0.0,0.0,692.5126984960045,363.6378112361512,0.0
2030-10-22 23:00:00,0.0,0.0,0.0,692.5126984960045,376.97599794229734,0.0
2030-10-23 00:00:00,0.0,0.0,0.0,692.5126984960045,358.60705860826795,0.0
2030-10-23 01:00:00,0.0,0.0,0.0,692.5126984960045,308.29430672522386,0.0
2030-10-23 02:00:00,0.0,0.0,0.0,692.5126984960045,264.11615778338546,0.0
2030-10-23 03:00:00,0.0,0.0,0.0,692.5126984960045,222.0288038838354,0.0
2030-10-23 04:00:00,0.0,0.0,0.0,692.5126984960045,192.2711910876679,0.0
2030-10-23 05:00:00,0.0,0.0,0.0,692.5126984960045,172.77989524332116,0.0
2030-10-23 06:00:00,0.0,0.0,0.0,692.5126984960045,153.72303276621022,0.0
2030-10-23 07:00:00,0.0,0.0,0.0,692.5126984960045,126.74520390598602,0.0
2030-10-23 08:00:00,0.0,0.0,1.8137853160675597,692.5126984960045,131.94192044396115,0.0
2030-10-23 09:00:00,0.0,0.0,8.701849098942228,690.3009235323558,116.95445015351842,0.0
2030-10-23 10:00:00,0.0,0.0,15.917123089743837,689.7782745806263,92.055936420559,0.0
2030-10-23 11:00:00,0.0,0.0,21.421726623223584,685.8767158937274,89.4920234777191,0.0
2030-10-23 12:00:00,0.0,0.0,25.318721870100546,683.6456285338895,90.86101836772471,0.0
2030-10-23 13:00:00,0.0,0.0,26.992756586252554,685.9271473268731,84.2558235237086,0.0
2030-10-23 14:00:00,0.0,0.0,26.598053016237518,688.3149600761046,74.1667289572222,0.0
2030-10-23 15:00:00,0.0,0.0,24.41802444586239,692.5126984960045,99.26217979037061,0.0
2030-10-23 16:00:00,0.0,0.0,20.465030608036198,692.5126984960045,101.62386271853572,0.0
2030-10-23 17:00:00,0.0,0.0,14.460558203426798,692.5126984960045,87.73840413324496,0.0
2030-10-23 18:00:00,0.0,0.0,7.019977038831903,692.5126984960045,118.57738452080565,0.0
2030-10-23 19:00:00,0.0,0.0,1.026187131617792,692.5126984960045,237.26102013663453,0.0
2030-10-23 20:00:00,0.0,0.0,0.0,692.5126984960045,262.27902784992165,0.0
2030-10-23 21:00:00,0.0,0.0,0.0,692.5126984960045,299.46592371638735,0.0
2030-10-23 22:00:00,0.0,0.0,0.0,692.5126984960045,348.49537132594077,0.0
2030-10-23 23:00:00,0.0,0.0,0.0,692.5126984960045,365.1498761466543,0.0
2030-10-24 00:00:00,0.0,0.0,0.0,692.5126984960045,347.68777817658207,0.0
2030-10-24 01:00:00,0.0,0.0,0.0,692.5126984960045,294.0478815440649,0.0
2030-10-24 02:00:00,0.0,0.0,0.0,692.5126984960045,250.07934925317448,0.0
2030-10-24 03:00:00,0.0,0.0,0.0,692.5126984960045,209.21369859121558,0.0
2030-10-24 04:00:00,0.0,0.0,0.0,692.5126984960045,183.85654180149402,0.0
2030-10-24 05:00:00,0.0,0.0,0.0,692.5126984960045,168.00247581031493,0.0
2030-10-24 06:00:00,0.0,0.0,0.0,692.5126984960045,153.18484072939765,0.0
2030-10-24 07:00:00,0.0,0.0,0.0,692.5126984960045,125.31717255069198,0.0
2030-10-24 08:00:00,0.0,0.0,1.9753619310065238,692.5126984960045,131.99748565092213,0.0
2030-10-24 09:00:00,0.0,0.0,9.167742974245858,692.5126984960045,116.46955359466007,0.0
2030-10-24 10:00:00,0.0,0.0,16.431121133342884,692.5126984960045,93.79928450744916,0.0
2030-10-24 11:00:00,0.0,0.0,22.246048362220897,692.19744481774,90.44581812145157,0.0
2030-10-24 12:00:00,0.0,0.0,25.896595364627085,689.993247959036,94.3267458918452,0.0
2030-10-24 13:00:00,0.0,0.0,27.59667113793136,690.2622573683573,88.14443589802093,0.0
2030-10-24 14:00:00,0.0,0.0,27.321661592368798,690.0903658197204,80.4389271326177,0.0
2030-10-24 15:00:00,0.0,0.0,24.76884328037973,692.5126984960045,101.67264113696402,0.0
2030-10-24 16:00:00,0.0,0.0,20.669776279444722,692.5126984960045,103.0882443711348,0.0
2030-10-24 17:00:00,0.0,0.0,14.352170151351167,692.5126984960045,86.37141989659622,0.0
2030-10-24 18:00:00,0.0,0.0,7.0578026512693794,692.5126984960045,100.11447275803486,0.0
