,Hydro,WindPower,Solar,NaturalGaz,Oil,Non Served
2030-08-17 00:00:00,288.091685272549,0.0,0.0,0.0,0.0,0.0
2030-08-17 01:00:00,274.84725286174967,0.0,0.0,0.0,0.0,0.0
2030-08-17 02:00:00,263.77577386972155,0.0,0.0,0.0,0.0,0.0
2030-08-17 03:00:00,256.5549578516604,0.0,0.0,0.0,0.0,0.0
2030-08-17 04:00:00,242.53123196452736,0.0,0.0,0.0,0.0,0.0
2030-08-17 05:00:00,237.26078756426125,0.0,0.0,0.0,0.0,0.0
2030-08-17 06:00:00,235.40659298695303,0.0,0.0,0.0,0.0,0.0
2030-08-17 07:00:00,227.99005735281384,0.0,0.0,0.0,0.0,0.0
2030-08-17 08:00:00,225.07155603726252,0.0,0.0,0.0,0.0,0.0
2030-08-17 09:00:00,219.02743822460258,0.0,0.0,0.0,0.0,0.0
2030-08-17 10:00:00,203.99356324948783,0.0,0.0,0.0,0.0,0.0
2030-08-17 11:00:00,200.7385239659451,0.0,0.0,0.0,0.0,0.0
2030-08-17 12:00:00,195.10755124494514,0.0,0.0,0.0,0.0,0.0
2030-08-17 13:00:00,199.0180460804153,0.0,0.0,0.0,0.0,0.0
2030-08-17 14:00:00,187.55010794827297,0.0,0.0,0.0,0.0,0.0
2030-08-17 15:00:00,193.72576738222685,0.0,0.0,0.0,0.0,0.0
2030-08-17 16:00:00,209.95555208837493,0.0,0.0,0.0,0.0,0.0
2030-08-17 17:00:00,227.49116139766423,0.0,0.0,0.0,0.0,0.0
2030-08-17 18:00:00,235.7957944957544,0.0,0.0,0.0,0.0,0.0
2030-08-17 19:00:00,262.3655036378768,0.0,0.0,0.0,0.0,0.0
2030-08-17 20:00:00,302.1087385172648,0.0,0.0,0.0,0.0,0.0
2030-08-17 21:00:00,308.037617280139,0.0,0.0,0.0,0.0,0.0
2030-08-17 22:00:00,310.9567698297828,0.0,0.0,0.0,0.0,0.0
2030-08-17 23:00:00,304.0051488604313,0.0,0.0,0.0,0.0,0.0
2030-08-18 00:00:00,287.5196667442237,0.0,0.0,0.0,0.0,0.0
2030-08-18 01:00:00,274.5753180611614,0.0,0.0,0.0,0.0,0.0
2030-08-18 02:00:00,263.3848697915855,0.0,0.0,0.0,0.0,0.0
2030-08-18 03:00:00,255.9039783457434,0.0,0.0,0.0,0.0,0.0
2030-08-18 04:00:00,241.79801677978935,0.0,0.0,0.0,0.0,0.0
2030-08-18 05:00:00,238.38996642601202,0.0,0.0,0.0,0.0,0.0
2030-08-18 06:00:00,236.7145621087206,0.0,0.0,0.0,0.0,0.0
2030-08-18 07:00:00,231.04625656732486,0.0,0.0,0.0,0.0,0.0
2030-08-18 08:00:00,226.04844126319276,0.0,0.0,0.0,0.0,0.0
