,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
5634,251.93471734161952,252.2307429817733,252.00313796077333,252.3871653577733,252.3173977250973,252.39146163263806,251.6177529184886
5635,251.9347173416195,252.23067158264254,252.0030665616426,252.38709395864265,252.31718594845356,252.39146163263806,251.61470630989245
5636,251.93471710478832,252.230435164953,252.00283014395302,252.38685754095297,252.31705745388695,252.39146163263806,251.61257108360104
5637,251.93470299964827,252.23027851259522,252.00267349159526,252.38670088859527,252.3155499551483,252.39146163263806,251.61248619891603
5638,251.93463974504613,252.2301297537224,252.00252473272235,252.38655212972247,252.31318871738787,252.39146163263806,251.6120217297379
5639,251.93462563990616,252.22985652177422,252.00225150077424,252.38627889777428,252.31098402427955,252.39146163263806,251.61182698717792
5640,251.93461944246354,252.22181777450623,251.99421275350622,252.3782401505062,252.30865759097298,252.39146163263806,251.61180170701965
5641,251.93461129793494,252.22104180177323,251.99343678077327,252.37746417777322,252.30737300098872,252.39146163263806,251.6117459053448
5642,251.93461129793494,252.2208156831582,251.99321066215828,252.37723805915823,252.30703487807781,252.39120063263806,251.61171371073453
5643,251.93461129793494,252.22009859533998,251.99249357434007,252.37652097134006,252.30688015859357,252.39115576915032,251.61131805545838
5644,251.93454804333282,252.21945692017783,251.99185189917787,252.37587929617786,252.30679043161808,252.38935895858577,251.6112157338648
5645,251.93454804333282,252.2128212204019,251.985216199402,252.36924359640196,252.30665189167914,252.38289088054867,251.61118521234835
5646,251.934513398779,252.21091882234668,251.98331380134672,252.36734119834668,252.3066070281914,252.38255275763777,251.61104832884033
5647,251.9344563416195,252.21072263010768,251.98311760910778,252.36714500610776,252.30657429510583,252.38255275763777,251.6110010896684
5648,251.9344422364795,252.2102689590496,251.98266393804968,252.36669133504967,252.3064765588869,252.38215115895997,251.61091548573032
5649,251.93444223647944,252.21000843271204,251.98240341171208,252.3664308087121,252.30630964573092,252.3821263826289,251.61090508601856
5650,251.93442789450827,252.2097330907408,251.9821280697409,252.3661554667409,252.3062684930091,252.38087835250744,251.61085801096178
5651,251.93442789450825,252.20969272240683,251.9820877014069,252.36611509840688,252.3062349851645,252.3802855623243,251.61084645282367
5652,251.93435053476608,252.20958667872222,251.98198165772232,252.36600905472227,252.30307601988233,252.38007749644655,251.61073208230363
5653,251.93434433732355,252.20938320954423,251.98177818854424,252.36580558554422,252.30143733092405,252.371557833457,251.61066699887272
5654,251.9343302321835,252.2085577311871,251.98095271018713,252.3649801071872,252.29867128189954,252.37111382865842,251.6106491072083
5655,251.9342729381928,252.20186950652854,251.97426448552858,252.35829188252856,252.29686905175006,252.37111032821196,251.61056278401696
