Timestep,Hydro|Reservoir_MTKK_0
228,352774.33082377334358
229,352791.06187961326214
230,352807.79293545318069
231,352824.52399129309924
232,352841.2550471330178
233,352857.98610297293635
234,352826.13449956587283
235,352642.86555540579138
236,352459.59661124570994
237,352276.32766708562849
238,352123.32886426674668
239,352002.15114562871167
240,351943.1512546496815
241,351918.9291343181394
242,351934.91294209240004
243,351951.23509332299
244,351926.47956459480338
245,351901.12682720716111
246,351880.29242006532149
247,351878.12321424123365
248,351853.66647452418692
249,351788.65705538215116
250,351785.81498300109524
251,351802.1371342316852
252,351818.45928546227515
253,351834.7814366928651
254,351851.10358792345505
255,351867.425739154045
256,351883.74789038463496
257,351900.07004161522491
258,351851.28012777905678
259,351667.60227900964674
260,351483.92443024023669
261,351300.24658147082664
262,351120.9666911722743
263,350946.72006194083951
264,350803.37443845189409
265,350728.0629559562658
266,350678.74363885814091
267,350657.83168829372153
268,350664.97144270577701
269,350680.89831851777853
270,350696.82519432978006
271,350712.75207014178159
272,350728.67894595378311
273,350744.60582176578464
274,350760.53269757778617
275,350776.45957338978769
276,350792.38644920178922
277,350808.31332501379075
278,350824.24020082579227
279,350840.1670766377938
280,350856.09395244979532
281,350872.02082826179685
282,350861.31944609625498
283,350677.2463219082565
284,350493.17319772025803
285,350309.10007353225956
286,350125.02694934426108
287,349940.95382515626261
288,349756.36616062209941
289,349571.77849608793622
290,349437.25964935339289
291,349344.52928979665739
292,349279.34091529931175
293,349213.50957584398566
294,349103.12282665993553
295,348969.43343093368458
296,348837.51118961104658
297,348745.78109323634999
298,348737.45250034891069
299,348752.86483581474749
300,348768.2771712805843
301,348783.6895067464211
302,348799.10184221225791
303,348814.51417767809471
304,348829.92651314393152
305,348824.55861654662294
306,348740.80394387326669
307,348556.21627933910349
308,348371.6286148049403
309,348187.0409502707771
310,348002.45328573661391
311,347817.86562120245071
312,347633.14506253768923
313,347448.42450387292774
314,347300.41811271978077
315,347194.96259437710978
316,347127.26739255874418
317,347071.16654943150934
318,346967.31891485722736
319,346839.52518617670285
320,346704.25099237426184
321,346601.93121626385255
322,346574.4948340941919
323,346589.77427542943042
324,346605.05371676466893
325,346620.33315809990745
326,346635.61259943514597
327,346650.89204077038448
328,346666.171482105623
329,346675.10187464073533
330,346606.85667391971219
331,346422.13611525495071
332,346237.41555659018923
333,346052.69499792542774
334,345903.16742336878087
335,345784.31809328967938
336,345660.1205236701644
337,345607.87869777926244
338,345595.02853041474009
339,345610.21256085124332
340,345625.39659128774656
341,345640.5806217242498
342,345655.76465216075303
343,345670.94868259725627
344,345686.1327130337595
345,345701.31674347026274
346,345716.50077390676597
347,345731.68480434326921
348,345746.86883477977244
349,345762.05286521627568
350,345777.23689565277891
351,345792.42092608928215
352,345807.60495652578538
353,345822.78898696228862
354,345837.97301739879185
355,345738.16777665581321
356,345595.62639818631578
357,345459.32381131983129
358,345337.57072657905519
359,345234.26299514132552
360,345197.41305077134166
361,345212.47440930706216
362,345227.53576784278266
363,345242.59712637850316
364,345257.65848491422366
365,345272.71984344994416
366,345287.78120198566467
367,345295.60576880391454
368,345305.91407342086313
369,345320.97543195658363
370,345336.03679049230414
371,345351.09814902802464
372,345366.15950756374514
373,345381.22086609946564
374,345396.28222463518614
375,345411.34358317090664
376,345426.40494170662714
377,345441.46630024234764
378,345430.79210871894611
379,345245.85346725466661
380,345060.91482579038711
381,344875.97618432610761
382,344691.03754286182811
383,344506.09890139754862
384,344363.79047968261875
385,344282.71195188874844
386,344234.53250691463472
387,344209.74947362532839
388,344203.08941685175523
389,344202.98325639334507
390,344166.9635342018446
391,344121.77766799158417
392,344077.05890012858436
393,344079.1312897473108
394,344094.00523344642716
395,344108.87917714554351
396,344123.75312084465986
397,344138.62706454377621
398,344153.50100824289257
399,344168.37495194200892
400,344183.24889564112527
401,344198.12283934024163
402,344212.99678303935798
403,344077.33900541940238
404,343916.28212655911921
405,343762.62516326375771
406,343626.58349703188287
407,343502.13974957814207
408,343430.17152459057979
409,343379.65796044893796
410,343353.97389986843336
411,343347.14907617168501
412,343361.82878978981171
413,343376.50850340793841
414,343374.08620499633253
415,343374.03754747787025
416,343355.45861704315757
417,343321.27799200330628
418,343335.95770562143298
419,343350.63741923955968
420,343365.31713285768637
421,343379.99684647581307
422,343394.67656009393977
423,343409.35627371206647
424,343424.03598733019317
425,343438.71570094831986
426,343453.39541456644656
427,343328.37992550560739
428,343158.60234963311814
429,343028.53730619535781
430,342933.09137236146489
431,342833.80045295326272
432,342766.25282579526538
433,342753.47017440095078
434,342765.65504802373471
435,342780.21890498546418
436,342794.78276194719365
437,342809.34661890892312
438,342823.91047587065259
439,342838.47433283238206
440,342853.03818979411153
441,342867.602046755841
442,342882.16590371757047
443,342896.72976067929994
444,342911.29361764102941
445,342925.85747460275888
446,342940.42133156448836
447,342954.98518852621783
448,342969.5490454879473
449,342984.11290244967677
450,342998.67675941140624
451,342931.55755878274795
452,342830.46503378916532
453,342704.58351960388245
454,342580.6374130184995
455,342469.10652727313573
456,342409.74188617430627
457,342401.14373093185714
458,342415.59513822261943
459,342430.04654551338172
460,342444.49795280414401
461,342444.14245776680764
462,342386.44589373405324
463,342293.36080239247531
464,342198.24645095202141
465,342142.87413804611424
466,342140.33524607022991
467,342154.7866533609922
468,342169.23806065175449
469,342183.68946794251679
470,342198.14087523327908
471,342212.59228252404137
472,342227.04368981480366
473,342241.49509710556595
474,342220.37134984589648
475,342037.29967668949394
476,341851.75108398025623
477,341666.20249127101852
478,341487.70156982139451
479,341332.86372376495274
480,341268.53825832501752
481,341259.89043727563694
482,341274.24984062853036
483,341288.60924398142379
484,341302.96864733431721
485,341317.32805068721063
486,341331.68745404010406
487,341346.04685739299748
488,341360.4062607458909
489,341374.76566409878433
490,341389.12506745167775
491,341403.48447080457117
492,341417.8438741574646
493,341432.20327751035802
494,341446.56268086325144
495,341460.92208421614487
496,341475.28148756903829
497,341420.8311004776624
498,341296.27235834253952
499,341110.63176169543294
500,340924.99116504832637
501,340739.35056840121979
502,340553.70997175411321
503,340377.76823710696772
504,340192.0151920869248
505,340036.1339088883833
506,339914.98778338206466
507,339830.10284921637503
508,339781.63445302273612
509,339738.36647082766285
510,339662.43550834862981
511,339569.3881563898176
512,339485.50206522783265
513,339433.88834829733241
514,339437.30650825344492
515,339451.553463233402
516,339465.80041821335908
517,339480.04737319331616
518,339494.29432817327324
519,339508.54128315323032
520,339522.78823813318741
521,339537.03519311314449
522,339539.49630085710669
523,339362.24418546061497
524,339176.49114044057205
525,338990.73809542052913
526,338837.29717495106161
527,338697.88390809111297
528,338626.8776051622699
529,338592.5668967065285
530,338583.15051356574986
531,338587.4628370917635
532,338601.61437986267265
533,338615.76592263358179
534,338585.92787976714317
535,338534.29626170528354
536,338468.07153426588047
537,338416.01547726406716
538,338426.51223470229888
539,338440.66377747320803
540,338454.81532024411717
541,338468.96686301502632
542,338483.11840578593547
543,338497.26994855684461
544,338511.42149132775376
545,338525.5730340986629
546,338498.12586790736532
547,338312.27741067827446
548,338126.42895344918361
549,337940.58049622009275
550,337755.68321084155468
551,337586.44029725401197
552,337501.36077815695899
553,337461.06538094836287
554,337456.87994730653008
555,337466.76895335095469
556,337480.72285906772595
557,337494.67676478449721
558,337458.46102041652193
559,337409.57969332614448
560,337352.08757032663561
561,337308.15715691144578
562,337322.11106262821704
563,337336.0649683449883
564,337350.01887406175956
565,337363.97277977853082
566,337377.92668549530208
567,337391.88059121207334
568,337405.8344969288446
569,337419.78840264561586
570,337416.07112808845704
571,337261.27931463613641
572,337078.59446021349868
573,336904.65139693592209
574,336765.46603079681518
575,336641.68024061218603
576,336582.10242707404541
577,336560.31107058213092
578,336573.59934461658122
579,336587.45443115115631
580,336601.30951768573141
581,336615.1646042203065
582,336628.37322913372191
583,336642.228315668297
584,336656.08340220287209
585,336666.20479350711685
586,336680.05988004169194
587,336693.91496657626703
588,336707.77005311084213
589,336721.62513964541722
590,336735.48022617999231
591,336749.33531271456741
592,336763.1903992491425
593,336698.11528652650304
594,336515.77529993280768
595,336329.63038646738278
596,336143.48547300195787
597,335957.34055953653296
598,335771.19564607110806
599,335585.05073260568315
600,335398.90581914025825
601,335212.76090567483334
602,335088.80929887131788
603,335030.59849102207227
604,334981.13872100587469
605,334936.73698469105875
606,334900.49893319787225
607,334914.35401973244734
608,334928.20910626702243
609,334942.06419280159753
610,334955.91927933617262
611,334969.77436587074772
612,334983.62945240532281
613,334997.4845389398979
614,335011.339625474473
615,335025.19471200904809
616,335039.04979854362318
617,335052.90488507819828
618,334985.92659524769988
619,334799.78168178227497
620,334613.63676831685007
621,334427.49185485142516
622,334241.34694138600025
623,334063.74594924238045
624,334003.4648688629386
625,334014.3264545701677
626,334028.09635243576486
627,334041.86625030136202
628,334055.63614816695917
629,334069.40604603255633
630,334083.17594389815349
631,334070.38912530458765
632,334042.22021685313666
633,334007.49579088739119
634,334012.72765898605576
635,334026.49755685165292
636,334040.26745471725008
637,334054.03735258284723
638,334067.80725044844439
639,334081.57714831404155
640,334095.34704617963871
641,334109.11694404523587
642,334113.20416331372689
643,333926.97406117932405
644,333740.74395904492121
645,333554.51385691051837
646,333368.28375477611553
647,333182.05365264171269
648,333096.07842631364474
649,333073.56429238402052
650,333087.23537106742151
651,333100.9064497508225
652,333114.5775284342235
653,333128.24860711762449
654,333106.30951610457851
655,333057.49224903160939
656,333007.53272714384366
657,332993.83081077138195
658,333007.50188945478294
659,333021.17296813818393
660,333034.84404682158493
661,333048.51512550498592
662,333062.18620418838691
663,333075.8572828717879
664,333089.52836155518889
665,333082.79118878109148
666,333014.52848662197357
667,332828.19956530537456
668,332641.87064398877556
669,332455.54172267217655
670,332269.21280135557754
671,332101.0240391761763
672,331922.10453542490723
673,331800.26539061509538
674,331726.53639562963508
675,331677.8628070235136
676,331665.15801311592804
677,331657.35823496908415
678,331610.08173799182987
679,331548.50790538592264
680,331494.84389824565733
681,331463.61078993591946
682,331477.28186861932045
683,331490.95294730272144
684,331504.62402598612243
685,331518.29510466952343
686,331531.96618335292442
687,331545.63726203632541
688,331559.3083407197264
689,331519.29759737284621
690,331422.54924432816915
691,331236.22032301157014
692,331049.89140169497114
693,330864.44389985746238
694,330678.11497854086338
695,330491.78605722426437
696,330307.98860836715903
697,330184.90319264767459
698,330112.14416405692464
699,330063.1078444798477
700,330048.89969613531139
701,330057.17871283303248
702,330029.78573766385671
