,MTKK-0,MTKK-1,MTKK-2,MTKK-3,MTKK-4,MTKK-5,MTKK-6,MTKK-7,MTKK-8,MTKK-9,MTKK-10,MTKK-11,MTKK-12,MTKK-13,MTKK-14,MTKK-15
2030-09-23 03:00:00,243337.18053589377,389122.93884486833,348228.37336883193,480344.9077582225,262858.0146761213,330427.7286936901,191273.69547883683,382715.80462680734,321915.02839312895,324454.5215435661,413604.88569292746,317162.3128664198,326575.4975777173,368842.61552456534,287959.61366317066,372662.7351671969
2030-09-23 04:00:00,243594.80569244755,389323.66724447545,348414.61570562574,480745.6863824429,263011.52718765126,330494.6780775505,191393.6608820888,382934.35430270183,322082.946352463,324904.84744201123,413818.83195029513,317431.78566436906,326909.36215103784,368958.4660160469,288246.1130063769,372867.54750634846
2030-09-23 05:00:00,243859.2590666077,389530.8213896092,348607.62131130724,481152.772407384,263172.43714089756,330568.8789662366,191521.03176653307,383160.74130935175,322258.3418423784,325362.08780102956,414039.67058383435,317707.81688270695,327249.88903749245,369081.06902334304,288539.3058833823,373078.9478036728
2030-09-23 06:00:00,244127.67548725137,389741.34076184087,348800.66017167404,481559.7690937016,263333.26394972263,330643.1259585994,191652.36127940408,383390.587388101,322433.9129102887,325818.72307321354,414260.5429799073,317983.36730414093,327593.01670530497,369203.5469218847,288832.0643458738,373289.86911838327
2030-09-23 07:00:00,244402.9556673036,389963.692570845,349009.52519812435,481982.4971235493,263510.16275991127,330733.1949956163,191790.534530938,383632.58067539806,322625.26517688605,326290.9117040388,414497.4321647228,318274.8414356471,327948.0564059057,369342.0807112528,289140.4759477276,373516.38778157945
2030-09-23 08:00:00,244683.98818489327,390186.57104038267,349216.581378329,482399.20095339074,263684.32891839487,330820.1147516762,191932.84398152155,383872.6589148724,322811.03040018823,326756.8422383912,414731.59499868733,318561.8788865138,328302.71100210387,369477.1126857112,289444.00432558137,373737.9240537901
2030-09-23 09:00:00,244954.14337261577,390423.4368767557,349430.35433492967,482816.2618730624,263867.29519275133,330915.35622415337,192065.8232731832,384121.49908219685,323001.38247559854,327225.4003044746,414973.56911787007,318852.47179322026,328667.2785169674,369620.3291824036,289754.9024037152,373956.2675748329
2030-09-23 10:00:00,245224.60494384888,390691.74714534805,349655.79807270254,483240.07907179097,264062.9872560028,331023.70725559373,192195.83974570045,384382.28261766786,323204.18463419616,327701.03965185286,415222.8268852465,319161.2289895166,329045.22804337554,369776.468117181,290076.8249238927,374178.4650355304
2030-09-23 11:00:00,245521.95720475304,390960.0574139404,349897.19373744493,483667.50711605535,264279.3460686228,331162.71711626765,192355.8910415357,384658.8050665464,323408.98517670046,328171.4370542531,415477.1112772711,319472.880279975,329470.14916923014,369939.8952840178,290400.57761140773,374404.4455740449
2030-09-23 12:00:00,245797.8562253024,391228.3676825328,350157.18958275765,484095.40153059736,264509.3895664626,331316.7571125729,192495.14784658744,384935.32751542487,323637.3044115621,328660.8087159309,415765.1024761593,319821.472350434,329853.0116121264,370143.1640132112,290752.91798361926,374640.0135926398
2030-09-23 13:00:00,246105.4523321883,391496.6779511252,350417.1854280704,484536.5111477173,264712.3702959198,331467.15868118906,192650.9362990588,385211.84996430343,323880.24964398955,329118.1664251485,416054.4703739728,320165.12437564414,330276.5116479606,370346.48366437183,291088.1690713404,374876.8883843519
2030-09-23 14:00:00,246446.17297711037,391764.9882197176,350677.1812733831,484954.6353079999,264928.97112738085,331604.9279273574,192851.9815791088,385488.3724131821,324136.6334977032,329636.4543421499,416351.84701537056,320513.7164461032,330667.1435665319,370551.4476236103,291429.3079642003,375109.7688650807
2030-09-23 15:00:00,246769.15134263792,392033.29848831,350937.1771186958,485404.77471779584,265144.653029652,331747.52680150286,193045.9485262748,385748.9949693393,324379.4305751992,330154.7422591513,416606.1081557124,320862.3085165621,331054.31711778126,370731.6456981003,291773.6993872168,375360.42118493066
2030-09-23 16:00:00,247073.20559601407,392301.60875690234,351155.04229786474,485809.18876295513,265315.9148490898,331841.53120618354,193204.3801744278,386022.4965884313,324577.0289329243,330623.0632149986,416841.7844356097,321155.604121792,331440.4944166555,370878.9351472357,292078.1630535732,375579.52897417423
2030-09-23 17:00:00,247359.98486508208,392569.9190254947,351358.240817151,486207.81554908224,265479.28967312595,331924.70148021035,193352.64405266207,386291.50358779606,324763.988728012,331085.75171591213,417063.7944913906,321440.8353661811,331820.5751469855,371012.334481578,292366.49211272085,375789.09550683625
2030-09-23 18:00:00,247647.24054924276,392838.2292940871,351549.80115711,486606.2995409268,265634.7700674143,331995.12719182525,193500.29576469644,386543.576800344,324937.9933986762,331539.82423257915,417278.6722619273,321713.6641075908,332185.91663593973,371132.48119017447,292646.3762662464,375993.0813286492
2030-09-23 19:00:00,247876.3772953853,393032.60699357314,351705.43957951746,486974.1090703255,265756.31387246784,332031.2254432877,193587.5786801168,386753.9778956714,325072.587288993,331959.10854461836,417463.4223156708,321953.87736895593,332516.0621483303,371214.3799453658,292901.4071904544,376167.5623813854
2030-09-23 20:00:00,248084.05350384724,393187.5533854301,351837.8901922851,487322.28135103406,265856.97113173554,332047.1968119488,193654.75045867325,386928.6165985304,325187.4795349653,332357.17780472,417626.0574156487,322172.8775461403,332809.0760971982,371274.90591113234,293134.80163857905,376320.945091268
2030-09-23 21:00:00,248291.1037636616,393338.62682308885,351967.2401018113,487664.20227809093,265951.9547706411,332056.8161390921,193719.59136731696,387096.9179383534,325297.24070198974,332749.1384337761,417783.6523490238,322386.81898323185,333095.82853279694,371330.89514962607,293361.69056950667,376469.46848168573
2030-09-23 22:00:00,248491.0229270957,393496.35123289935,352094.29892431793,488006.27150990814,266046.29743046773,332064.5094054448,193780.96895505037,387271.7490338679,325405.98395412206,333140.71420240286,417938.6819025365,322597.28493945824,333385.9759729933,371384.6617297472,293586.2418902106,376615.16899674287
2030-09-23 23:00:00,248695.09518135976,393653.7338091838,352226.1212390705,488352.95571645943,266145.0957944436,332076.7256158204,193846.49474585307,387445.5745379822,325519.32947281125,333537.0193193591,418098.3674879714,322812.3012111663,333675.6946479338,371443.4498758679,293815.24688955257,376765.90972169663
2030-09-24 00:00:00,248942.85000795705,393814.8556530442,352360.22888060845,488693.01024233934,266268.58011259406,332108.78648495034,193926.9545306241,387619.88410510967,325647.03565525985,333923.5273605586,418268.0090017433,323035.2345928418,333937.0245078527,371518.9226070084,294032.4484700862,376898.7996999943
2030-09-24 01:00:00,249204.30442922743,393984.90029071935,352502.9392189839,489041.56402349327,266400.82509172516,332155.4338305916,194021.232193872,387802.91900052817,325783.52262798644,334318.5995747672,418446.14097282034,323272.5589406092,334207.1774512723,371602.9980349863,294258.20209370705,377040.39755145926
2030-09-24 02:00:00,249488.5521847144,394170.815645856,352662.12030373316,489406.67366846045,266551.2634048399,332196.9170516521,194138.759708166,388004.30075287126,325937.112893701,334729.95980351436,418641.0076997445,323504.441539,334493.51834688155,371703.5295460566,294500.19876447,377198.1768642843
2030-09-24 03:00:00,249776.5029516498,394366.3608190015,352831.5081734499,489782.69360701577,266712.9780153238,332248.32831849856,194258.85529592328,388216.90475559,326101.81873894413,335152.2315618843,418846.7059378335,323746.8680409982,334790.90644063405,371815.4350392987,294754.3423322244,377367.187366268
